question_id	n_runs	mean_gpt_edges	mean_matched_edges	kg_edges	mean_precision	mean_recall	mean_f1	match_rate	gpt_edge_rate
Q162	25	0.44	0.08	10.0	0.08	0.008	0.014545454545454545	0.08	0.44
Q163	25	0.28	0.2	7.0	0.2	0.028571428571428567	0.05	0.2	0.28
Q17	25	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Q18	25	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Q19	25	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Q2	25	0.68	0.0	5.0	0.0	0.0	0.0	0.0	0.68
Q20	25	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Q21	25	1.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0
Q22	25	0.44	0.0	1.0	0.0	0.0	0.0	0.0	0.44
Q23	25	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Q24	25	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0
Q25	25	1.0	0.0	4.0	0.0	0.0	0.0	0.0	1.0
Q26	25	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
Q27	25	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
Q28	25	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Q29	25	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
Q3	25	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Q30	25	1.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0
Q31	25	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
Q32	25	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
Q33	25	0.64	0.0	5.0	0.0	0.0	0.0	0.0	0.64
Q34	25	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
Q35	25	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
Q36	25	1.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0
Q37	25	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
Q38	25	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Q39	25	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Q4	25	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
Q40	25	1.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0
Q41	25	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Q42	25	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Q43	25	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Q44	25	0.92	0.0	1.0	0.0	0.0	0.0	0.0	0.92
Q45	25	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
Q46	25	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Q47	25	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Q48	25	0.16	0.0	2.0	0.0	0.0	0.0	0.0	0.16
Q49	25	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0
Q5	25	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0
Q50	25	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
Q51	25	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Q52	25	0.92	0.0	2.0	0.0	0.0	0.0	0.0	0.92
Q53	25	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
Q54	25	0.04	0.0	1.0	0.0	0.0	0.0	0.0	0.04
Q55	25	0.96	0.0	5.0	0.0	0.0	0.0	0.0	0.96
Q56	25	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0
Q57	25	0.08	0.0	2.0	0.0	0.0	0.0	0.0	0.08
Q58	25	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
Q59	25	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Q6	25	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Q60	25	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0
Q61	25	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Q62	25	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Q63	25	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Q64	25	0.2	0.0	1.0	0.0	0.0	0.0	0.0	0.2
Q65	25	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
Q66	25	0.04	0.0	1.0	0.0	0.0	0.0	0.0	0.04
Q67	25	0.04	0.0	1.0	0.0	0.0	0.0	0.0	0.04
Q68	25	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
Q69	25	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
Q7	25	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Q70	25	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Q71	25	1.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0
Q72	25	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
Q73	25	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0
Q74	25	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
Q75	25	0.72	0.0	3.0	0.0	0.0	0.0	0.0	0.72
Q76	25	1.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0
Q77	25	1.0	0.0	5.0	0.0	0.0	0.0	0.0	1.0
Q78	25	1.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0
Q79	25	0.72	0.0	3.0	0.0	0.0	0.0	0.0	0.72
Q8	25	0.92	0.0	5.0	0.0	0.0	0.0	0.0	0.92
Q80	25	0.12	0.0	2.0	0.0	0.0	0.0	0.0	0.12
Q81	25	0.76	0.0	2.0	0.0	0.0	0.0	0.0	0.76
Q82	25	1.0	0.0	3.0	0.0	0.0	0.0	0.0	1.0
Q83	25	0.8	0.0	3.0	0.0	0.0	0.0	0.0	0.8
Q84	25	0.84	0.0	1.0	0.0	0.0	0.0	0.0	0.84
Q85	25	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
Q86	25	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Q87	25	0.36	0.36	5.0	0.36	0.07200000000000001	0.12000000000000002	0.36	0.36
Q88	25	1.0	0.0	3.0	0.0	0.0	0.0	0.0	1.0
Q89	25	0.2	0.0	3.0	0.0	0.0	0.0	0.0	0.2
Q9	25	1.0	0.0	4.0	0.0	0.0	0.0	0.0	1.0
Q90	25	1.0	0.0	3.0	0.0	0.0	0.0	0.0	1.0
Q91	25	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
Q92	25	0.52	0.0	5.0	0.0	0.0	0.0	0.0	0.52
Q93	25	0.28	0.12	5.0	0.12	0.024000000000000004	0.04	0.12	0.28
Q94	25	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
Q95	25	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0
Q96	25	0.72	0.0	8.0	0.0	0.0	0.0	0.0	0.72
Q97	25	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0
Q98	25	0.28	0.0	1.0	0.0	0.0	0.0	0.0	0.28
Q99	25	0.16	0.0	5.0	0.0	0.0	0.0	0.0	0.16
