question_id,query_n0,query_n1,edge_id,subject,subject_name,predicate,object,object_name,knowledge_level,agent_type,sources
Q3,NCBIGene:7157,MONDO:0004992,uuid:0ec4400b-198e-11f0-be82-6045bdb3d4c0_e_413,NCBIGene:7157,TP53,biolink:contributes_to,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,e_5_e_414,MONDO:0021063,colon cancer,biolink:related_to,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,e_6_e_415,MONDO:0002586,thymus cancer,biolink:related_to,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,e_7_e_416,MONDO:0001406,peripheral nervous system neoplasm,biolink:related_to,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,e_8_e_417,MONDO:0003059,bile duct cancer,biolink:related_to,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,e_9_e_418,MONDO:0002367,kidney cancer,biolink:related_to,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,e_10_e_419,MONDO:0008903,lung cancer,biolink:related_to,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,e_11_e_420,MONDO:0002691,liver cancer,biolink:related_to,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,e_12_e_421,MONDO:0100342,malignant glioma,biolink:related_to,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,e_13_e_422,MONDO:0005411,gallbladder cancer,biolink:related_to,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,e_14_e_423,MONDO:0002334,hematopoietic and lymphoid system neoplasm,biolink:related_to,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,e_15_e_424,MONDO:0007254,breast cancer,biolink:related_to,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,e_16_e_425,MONDO:0004669,salivary gland cancer,biolink:related_to,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,e_17_e_426,MONDO:0006519,rectal cancer,biolink:related_to,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,e_18_e_427,MONDO:0009831,malignant pancreatic neoplasm,biolink:related_to,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,e_19_e_428,MONDO:0005105,melanoma,biolink:related_to,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,e_20_e_429,MONDO:0002236,ocular cancer,biolink:related_to,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,e_21_e_430,MONDO:0002108,thyroid cancer,biolink:related_to,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,e_22_e_431,MONDO:0002974,cervical cancer,biolink:related_to,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,e_23_e_432,MONDO:0002817,Adrenal Cancer,biolink:related_to,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,e_24_e_433,MONDO:0005627,head and neck cancer,biolink:related_to,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,e_25_e_434,MONDO:0016642,meningioma,biolink:related_to,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,e_26_e_435,MONDO:0002898,skin cancer,biolink:related_to,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,e_27_e_436,MONDO:0007576,esophageal cancer,biolink:related_to,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,e_28_e_437,MONDO:0001187,urinary bladder cancer,biolink:related_to,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,e_29_e_438,MONDO:0002129,bone cancer,biolink:related_to,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,e_30_e_439,MONDO:0002352,larynx cancer,biolink:related_to,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,e_31_e_440,MONDO:0002715,uterine cancer,biolink:related_to,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,e_32_e_441,MONDO:0005864,muscle cancer,biolink:related_to,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,e_33_e_442,MONDO:0013662,Barrett esophagus,biolink:related_to,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,e_34_e_443,MONDO:0005517,pharynx cancer,biolink:related_to,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,e_35_e_444,MONDO:0008170,ovarian cancer,biolink:related_to,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,e_36_e_445,MONDO:0001056,gastric cancer,biolink:related_to,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,e_37_e_446,MONDO:0001657,brain cancer,biolink:related_to,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,e_38_e_447,MONDO:0005089,sarcoma,biolink:related_to,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,e_39_e_448,MONDO:0008315,prostate cancer,biolink:related_to,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,uuid:0eae102a-198e-11f0-be82-6045bdb3d4c0_e_449,NCBIGene:7157,TP53,biolink:causes,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,uuid:0ec4393a-198e-11f0-be82-6045bdb3d4c0_e_450,NCBIGene:7157,TP53,biolink:causes,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,uuid:0eae151d-198e-11f0-be82-6045bdb3d4c0_e_451,NCBIGene:7157,TP53,biolink:causes,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,uuid:13ff5322-198e-11f0-be82-6045bdb3d4c0_e_452,NCBIGene:7157,TP53,biolink:has_phenotype,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,uuid:166184a8-198e-11f0-be82-6045bdb3d4c0_e_453,NCBIGene:7157,TP53,biolink:has_phenotype,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,uuid:1c575bc8-198e-11f0-be82-6045bdb3d4c0_e_454,NCBIGene:7157,TP53,biolink:has_phenotype,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,uuid:132f0d78-198e-11f0-be82-6045bdb3d4c0_e_455,NCBIGene:7157,TP53,biolink:has_phenotype,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,uuid:1c575bd4-198e-11f0-be82-6045bdb3d4c0_e_456,NCBIGene:7157,TP53,biolink:has_phenotype,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,uuid:1d887dfe-198e-11f0-be82-6045bdb3d4c0_e_457,NCBIGene:7157,TP53,biolink:has_phenotype,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,uuid:11fe3b11-198e-11f0-be82-6045bdb3d4c0_e_458,NCBIGene:7157,TP53,biolink:has_phenotype,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,uuid:1c57540e-198e-11f0-be82-6045bdb3d4c0_e_459,NCBIGene:7157,TP53,biolink:has_phenotype,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,uuid:1c575408-198e-11f0-be82-6045bdb3d4c0_e_460,NCBIGene:7157,TP53,biolink:has_phenotype,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,uuid:126386f5-198e-11f0-be82-6045bdb3d4c0_e_461,NCBIGene:7157,TP53,biolink:has_phenotype,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,uuid:15306b56-198e-11f0-be82-6045bdb3d4c0_e_462,NCBIGene:7157,TP53,biolink:has_phenotype,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,uuid:1b2632ca-198e-11f0-be82-6045bdb3d4c0_e_463,NCBIGene:7157,TP53,biolink:has_phenotype,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,uuid:19f513e5-198e-11f0-be82-6045bdb3d4c0_e_464,NCBIGene:7157,TP53,biolink:has_phenotype,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,uuid:1b264a9c-198e-11f0-be82-6045bdb3d4c0_e_465,NCBIGene:7157,TP53,biolink:has_phenotype,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,uuid:1feab918-198e-11f0-be82-6045bdb3d4c0_e_466,NCBIGene:7157,TP53,biolink:has_phenotype,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,uuid:1792922a-198e-11f0-be82-6045bdb3d4c0_e_467,NCBIGene:7157,TP53,biolink:has_phenotype,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,uuid:166184a9-198e-11f0-be82-6045bdb3d4c0_e_468,NCBIGene:7157,TP53,biolink:has_phenotype,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,uuid:1b2632cb-198e-11f0-be82-6045bdb3d4c0_e_469,NCBIGene:7157,TP53,biolink:has_phenotype,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,uuid:19f4de26-198e-11f0-be82-6045bdb3d4c0_e_470,NCBIGene:7157,TP53,biolink:has_phenotype,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,uuid:19f4d663-198e-11f0-be82-6045bdb3d4c0_e_471,NCBIGene:7157,TP53,biolink:has_phenotype,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,uuid:1d886ea7-198e-11f0-be82-6045bdb3d4c0_e_448,NCBIGene:7157,TP53,biolink:has_phenotype,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,uuid:19f52362-198e-11f0-be82-6045bdb3d4c0_e_428,NCBIGene:7157,TP53,biolink:has_phenotype,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,uuid:1c574bda-198e-11f0-be82-6045bdb3d4c0_e_472,NCBIGene:7157,TP53,biolink:has_phenotype,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,uuid:166184b1-198e-11f0-be82-6045bdb3d4c0_e_457,NCBIGene:7157,TP53,biolink:has_phenotype,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,uuid:1d88b40f-198e-11f0-be82-6045bdb3d4c0_e_465,NCBIGene:7157,TP53,biolink:has_phenotype,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,uuid:19f51b12-198e-11f0-be82-6045bdb3d4c0_e_414,NCBIGene:7157,TP53,biolink:has_phenotype,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,uuid:18c3acc9-198e-11f0-be82-6045bdb3d4c0_e_473,NCBIGene:7157,TP53,biolink:has_phenotype,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,uuid:1c575bc9-198e-11f0-be82-6045bdb3d4c0_e_448,NCBIGene:7157,TP53,biolink:has_phenotype,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,uuid:18c3c542-198e-11f0-be82-6045bdb3d4c0_e_465,NCBIGene:7157,TP53,biolink:has_phenotype,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,uuid:16617c4e-198e-11f0-be82-6045bdb3d4c0_e_474,NCBIGene:7157,TP53,biolink:has_phenotype,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,uuid:1b264a9d-198e-11f0-be82-6045bdb3d4c0_e_428,NCBIGene:7157,TP53,biolink:has_phenotype,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,uuid:19f513dd-198e-11f0-be82-6045bdb3d4c0_e_469,NCBIGene:7157,TP53,biolink:has_phenotype,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,uuid:19f513da-198e-11f0-be82-6045bdb3d4c0_e_414,NCBIGene:7157,TP53,biolink:has_phenotype,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,uuid:153029c0-198e-11f0-be82-6045bdb3d4c0_e_411,NCBIGene:7157,TP53,biolink:has_phenotype,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,uuid:1792a2bf-198e-11f0-be82-6045bdb3d4c0_e_410,NCBIGene:7157,TP53,biolink:has_phenotype,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,uuid:132f0d6c-198e-11f0-be82-6045bdb3d4c0_e_475,NCBIGene:7157,TP53,biolink:has_phenotype,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,uuid:1c57540d-198e-11f0-be82-6045bdb3d4c0_e_476,NCBIGene:7157,TP53,biolink:has_phenotype,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,uuid:132f0d6d-198e-11f0-be82-6045bdb3d4c0_e_477,NCBIGene:7157,TP53,biolink:has_phenotype,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,uuid:1d88bbcf-198e-11f0-be82-6045bdb3d4c0_e_478,NCBIGene:7157,TP53,biolink:has_phenotype,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,uuid:153063c5-198e-11f0-be82-6045bdb3d4c0_e_479,NCBIGene:7157,TP53,biolink:has_phenotype,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,uuid:19f513d5-198e-11f0-be82-6045bdb3d4c0_e_411,NCBIGene:7157,TP53,biolink:has_phenotype,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,uuid:16617c61-198e-11f0-be82-6045bdb3d4c0_e_480,NCBIGene:7157,TP53,biolink:has_phenotype,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,uuid:19f4de25-198e-11f0-be82-6045bdb3d4c0_e_475,NCBIGene:7157,TP53,biolink:has_phenotype,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,uuid:1c5763d5-198e-11f0-be82-6045bdb3d4c0_e_481,NCBIGene:7157,TP53,biolink:has_phenotype,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,uuid:132f0d79-198e-11f0-be82-6045bdb3d4c0_e_482,NCBIGene:7157,TP53,biolink:has_phenotype,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,uuid:11fe33c4-198e-11f0-be82-6045bdb3d4c0_e_483,NCBIGene:7157,TP53,biolink:has_phenotype,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,uuid:1feb08cd-198e-11f0-be82-6045bdb3d4c0_e_484,NCBIGene:7157,TP53,biolink:has_phenotype,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,uuid:13ff0dff-198e-11f0-be82-6045bdb3d4c0_e_428,NCBIGene:7157,TP53,biolink:has_phenotype,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,uuid:1eb99273-198e-11f0-be82-6045bdb3d4c0_e_468,NCBIGene:7157,TP53,biolink:has_phenotype,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,uuid:17929237-198e-11f0-be82-6045bdb3d4c0_e_484,NCBIGene:7157,TP53,biolink:has_phenotype,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,uuid:132ecf7f-198e-11f0-be82-6045bdb3d4c0_e_457,NCBIGene:7157,TP53,biolink:has_phenotype,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,uuid:1d88b414-198e-11f0-be82-6045bdb3d4c0_e_485,NCBIGene:7157,TP53,biolink:has_phenotype,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,uuid:1d886652-198e-11f0-be82-6045bdb3d4c0_e_486,NCBIGene:7157,TP53,biolink:has_phenotype,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,uuid:126386f2-198e-11f0-be82-6045bdb3d4c0_e_487,NCBIGene:7157,TP53,biolink:has_phenotype,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,uuid:18c3c53c-198e-11f0-be82-6045bdb3d4c0_e_452,NCBIGene:7157,TP53,biolink:has_phenotype,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,uuid:15306b5c-198e-11f0-be82-6045bdb3d4c0_e_474,NCBIGene:7157,TP53,biolink:has_phenotype,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,uuid:18c3c53b-198e-11f0-be82-6045bdb3d4c0_e_456,NCBIGene:7157,TP53,biolink:has_phenotype,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,uuid:18c40273-198e-11f0-be82-6045bdb3d4c0_e_488,NCBIGene:7157,TP53,biolink:has_phenotype,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,uuid:1c575415-198e-11f0-be82-6045bdb3d4c0_e_457,NCBIGene:7157,TP53,biolink:has_phenotype,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,uuid:153029c1-198e-11f0-be82-6045bdb3d4c0_e_411,NCBIGene:7157,TP53,biolink:has_phenotype,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,uuid:1d88764b-198e-11f0-be82-6045bdb3d4c0_e_489,NCBIGene:7157,TP53,biolink:has_phenotype,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,uuid:18c3fa6c-198e-11f0-be82-6045bdb3d4c0_e_450,NCBIGene:7157,TP53,biolink:has_phenotype,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,uuid:1d88b40d-198e-11f0-be82-6045bdb3d4c0_e_490,NCBIGene:7157,TP53,biolink:has_phenotype,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,uuid:1792a9e1-198e-11f0-be82-6045bdb3d4c0_e_411,NCBIGene:7157,TP53,biolink:has_phenotype,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,uuid:1d886ea9-198e-11f0-be82-6045bdb3d4c0_e_491,NCBIGene:7157,TP53,biolink:has_phenotype,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,uuid:19f4d66a-198e-11f0-be82-6045bdb3d4c0_e_465,NCBIGene:7157,TP53,biolink:has_phenotype,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,uuid:19f51b1c-198e-11f0-be82-6045bdb3d4c0_e_414,NCBIGene:7157,TP53,biolink:has_phenotype,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,uuid:1b264297-198e-11f0-be82-6045bdb3d4c0_e_485,NCBIGene:7157,TP53,biolink:has_phenotype,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,uuid:18c4027d-198e-11f0-be82-6045bdb3d4c0_e_492,NCBIGene:7157,TP53,biolink:has_phenotype,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,uuid:18c3c539-198e-11f0-be82-6045bdb3d4c0_e_493,NCBIGene:7157,TP53,biolink:has_phenotype,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,uuid:1eb9927c-198e-11f0-be82-6045bdb3d4c0_e_448,NCBIGene:7157,TP53,biolink:has_phenotype,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,uuid:18c3bceb-198e-11f0-be82-6045bdb3d4c0_e_469,NCBIGene:7157,TP53,biolink:has_phenotype,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,uuid:18c3b519-198e-11f0-be82-6045bdb3d4c0_e_465,NCBIGene:7157,TP53,biolink:has_phenotype,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,uuid:1feab919-198e-11f0-be82-6045bdb3d4c0_e_461,NCBIGene:7157,TP53,biolink:has_phenotype,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
