prompt_version,question_id,mean_f1,median_f1,p25_f1,p75_f1,mean_jaccard,median_jaccard,mean_precision,mean_recall,mean_n_pred,mean_n_ref,iqr_f1,zero_f1_rate
v2,Q128,0.18285714285714286,0.2857142857142857,0.0,0.2857142857142857,0.10666666666666666,0.16666666666666666,0.64,0.10666666666666666,1.0,6.0,0.2857142857142857,0.36
v2,Q129,0.08,0.0,0.0,0.2222222222222222,0.045,0.0,0.36,0.045,1.0,8.0,0.2222222222222222,0.64
v2,Q13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,1.0,0.0,1.0
v2,Q130,0.17777777777777778,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.1,0.125,0.8,0.1,1.0,8.0,0.0,0.2
v2,Q131,0.24000000000000005,0.33333333333333337,0.0,0.33333333333333337,0.14400000000000002,0.2,0.72,0.14400000000000002,1.0,5.0,0.33333333333333337,0.28
v2,Q132,0.11,0.0,0.0,0.25,0.06285714285714286,0.0,0.44,0.06285714285714286,1.0,7.0,0.25,0.56
v2,Q133,0.02666666666666667,0.0,0.0,0.0,0.016,0.0,0.08,0.016,0.32,5.0,0.0,0.92
v2,Q134,0.08,0.0,0.0,0.25,0.045714285714285714,0.0,0.32,0.045714285714285714,1.0,7.0,0.25,0.68
v2,Q135,0.07999999999999999,0.0,0.0,0.19999999999999998,0.044444444444444446,0.0,0.4,0.044444444444444446,0.48,9.0,0.19999999999999998,0.6
v2,Q136,0.13333333333333333,0.0,0.0,0.0,0.1,0.0,0.2,0.1,1.0,2.0,0.0,0.8
v2,Q137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0
v2,Q138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0
v2,Q139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0
v2,Q14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0
v2,Q140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0
v2,Q141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0
v2,Q142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,2.0,0.0,1.0
v2,Q143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
v2,Q144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0
v2,Q145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0
v2,Q146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0
v2,Q147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,6.0,0.0,1.0
v2,Q148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,7.0,0.0,1.0
v2,Q149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,2.0,0.0,1.0
v2,Q15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0
v2,Q150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,5.0,0.0,1.0
v2,Q151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,1.0,0.0,1.0
v2,Q152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,2.0,0.0,1.0
v2,Q153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0
v2,Q154,0.12000000000000002,0.0,0.0,0.33333333333333337,0.07200000000000001,0.0,0.36,0.07200000000000001,1.0,5.0,0.33333333333333337,0.64
v2,Q155,0.17600000000000002,0.0,0.0,0.4,0.11,0.0,0.44,0.11,1.0,4.0,0.4,0.56
v2,Q156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0
v2,Q157,0.128,0.0,0.0,0.4,0.08,0.0,0.32,0.08,1.0,4.0,0.4,0.68
v2,Q158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0
v2,Q159,0.013333333333333334,0.0,0.0,0.0,0.008,0.0,0.04,0.008,1.0,5.0,0.0,0.96
v2,Q16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
v2,Q160,0.16,0.25,0.0,0.25,0.09142857142857143,0.14285714285714285,0.64,0.09142857142857143,0.96,7.0,0.25,0.36
v2,Q161,0.08,0.0,0.0,0.25,0.045714285714285714,0.0,0.32,0.045714285714285714,0.64,7.0,0.25,0.68
v2,Q162,0.03636363636363637,0.0,0.0,0.0,0.02,0.0,0.2,0.02,1.0,10.0,0.0,0.8
v2,Q163,0.07,0.0,0.0,0.25,0.04,0.0,0.28,0.04,1.0,7.0,0.25,0.72
v2,Q17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
v2,Q18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
v2,Q19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,1.0,0.0,1.0
v2,Q2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0
v2,Q20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
v2,Q21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0
v2,Q22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
v2,Q23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.0,1.0
v2,Q24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,8.0,0.0,1.0
v2,Q25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0
v2,Q26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,4.0,0.0,1.0
v2,Q27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
v2,Q28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
v2,Q29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
v2,Q3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,0.0,1.0
v2,Q30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0
v2,Q31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,2.0,0.0,1.0
v2,Q32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
v2,Q33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0
v2,Q34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,3.0,0.0,1.0
v2,Q35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
v2,Q36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0
v2,Q37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
v2,Q38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
v2,Q39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,1.0,0.0,1.0
v2,Q4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0
v2,Q40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0
v2,Q41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,1.0,0.0,1.0
v2,Q42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
v2,Q43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
v2,Q44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
v2,Q45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,2.0,0.0,1.0
v2,Q46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
v2,Q47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,1.0,0.0,1.0
v2,Q48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0
v2,Q49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,7.0,0.0,1.0
v2,Q5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0
v2,Q50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
v2,Q51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,1.0,0.0,1.0
v2,Q52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0
v2,Q53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
v2,Q54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
v2,Q55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0
v2,Q56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0
v2,Q57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0
v2,Q58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
v2,Q59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,1.0,0.0,1.0
v2,Q6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
v2,Q60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0
v2,Q61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
v2,Q62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,1.0,0.0,1.0
v2,Q63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,1.0,0.0,1.0
v2,Q64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
v2,Q65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0
v2,Q66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
v2,Q67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
v2,Q68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0
v2,Q69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,2.0,0.0,1.0
v2,Q7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
v2,Q70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
v2,Q71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0
v2,Q72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
v2,Q73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0
v2,Q74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,4.0,0.0,1.0
v2,Q75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0
v2,Q76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0
v2,Q77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0
v2,Q78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0
v2,Q79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0
v2,Q8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0
v2,Q80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0
v2,Q81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0
v2,Q82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0
v2,Q83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0
v2,Q84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
v2,Q85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
v2,Q86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.0,1.0
v2,Q87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0
v2,Q88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0
v2,Q89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0
v2,Q9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0
v2,Q90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0
v2,Q91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
v2,Q92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0
v2,Q93,0.20000000000000004,0.33333333333333337,0.0,0.33333333333333337,0.12,0.2,0.6,0.12,1.0,5.0,0.33333333333333337,0.4
v2,Q94,0.12,0.0,0.0,0.0,0.08,0.0,0.24,0.08,1.0,3.0,0.0,0.76
v2,Q95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0
v2,Q96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,8.0,0.0,1.0
v2,Q97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,5.0,0.0,1.0
v2,Q98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,0.0,1.0
v2,Q99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,5.0,0.0,1.0
v3,Q1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.0,0.0,1.0
v3,Q10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
v3,Q100,0.22,0.0,0.0,0.5,0.14666666666666667,0.0,0.44,0.14666666666666667,0.76,3.0,0.5,0.56
v3,Q101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0
v3,Q102,0.02666666666666667,0.0,0.0,0.0,0.016,0.0,0.08,0.016,0.36,5.0,0.0,0.92
v3,Q103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0
v3,Q104,0.02,0.0,0.0,0.0,0.011428571428571429,0.0,0.08,0.011428571428571429,0.96,7.0,0.0,0.92
v3,Q105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,7.0,0.0,1.0
v3,Q106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0
v3,Q107,0.11,0.0,0.0,0.25,0.06285714285714286,0.0,0.44,0.06285714285714286,0.52,7.0,0.25,0.56
v3,Q108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,5.0,0.0,1.0
v3,Q109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,7.0,0.0,1.0
v3,Q11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0
v3,Q110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,3.0,0.0,1.0
v3,Q111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,1.0,0.0,1.0
v3,Q112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0
v3,Q113,0.017777777777777778,0.0,0.0,0.0,0.01,0.0,0.08,0.01,0.16,8.0,0.0,0.92
v3,Q114,0.03,0.0,0.0,0.0,0.01714285714285714,0.0,0.12,0.01714285714285714,0.48,7.0,0.0,0.88
v3,Q115,0.02666666666666667,0.0,0.0,0.0,0.016,0.0,0.08,0.016,0.08,5.0,0.0,0.92
v3,Q116,0.017777777777777778,0.0,0.0,0.0,0.01,0.0,0.08,0.01,0.36,8.0,0.0,0.92
v3,Q117,0.013333333333333334,0.0,0.0,0.0,0.008,0.0,0.04,0.008,0.04,5.0,0.0,0.96
v3,Q118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,3.0,0.0,1.0
v3,Q119,0.06,0.0,0.0,0.0,0.03428571428571428,0.0,0.24,0.03428571428571428,0.36,7.0,0.0,0.76
v3,Q12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
v3,Q120,0.048,0.0,0.0,0.0,0.026666666666666665,0.0,0.24,0.026666666666666665,0.24,9.0,0.0,0.76
v3,Q121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0
v3,Q122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0
v3,Q123,0.02666666666666667,0.0,0.0,0.0,0.016,0.0,0.08,0.016,0.08,5.0,0.0,0.92
v3,Q124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,1.0,0.0,1.0
v3,Q125,0.013333333333333334,0.0,0.0,0.0,0.008,0.0,0.04,0.008,0.04,5.0,0.0,0.96
v3,Q126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,5.0,0.0,1.0
v3,Q127,0.01,0.0,0.0,0.0,0.005714285714285714,0.0,0.04,0.005714285714285714,0.08,7.0,0.0,0.96
v3,Q128,0.12571428571428572,0.0,0.0,0.2857142857142857,0.07333333333333333,0.0,0.44,0.07333333333333333,0.44,6.0,0.2857142857142857,0.56
v3,Q129,0.008,0.0,0.0,0.0,0.0044444444444444444,0.0,0.02,0.005,0.32,8.0,0.0,0.96
v3,Q13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
v3,Q130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,8.0,0.0,1.0
v3,Q131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,5.0,0.0,1.0
v3,Q132,0.14,0.25,0.0,0.25,0.08,0.14285714285714285,0.56,0.08,0.64,7.0,0.25,0.44
v3,Q133,0.013333333333333334,0.0,0.0,0.0,0.008,0.0,0.04,0.008,0.04,5.0,0.0,0.96
v3,Q134,0.12,0.0,0.0,0.25,0.06857142857142856,0.0,0.48,0.06857142857142856,0.76,7.0,0.25,0.52
v3,Q135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0
v3,Q136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,2.0,0.0,1.0
v3,Q137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,5.0,0.0,1.0
v3,Q138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
v3,Q139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,3.0,0.0,1.0
v3,Q14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0
v3,Q140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0
v3,Q141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0
v3,Q142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
v3,Q143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
v3,Q144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,2.0,0.0,1.0
v3,Q145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,5.0,0.0,1.0
v3,Q146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,2.0,0.0,1.0
v3,Q147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0
v3,Q148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0
v3,Q149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
v3,Q15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,2.0,0.0,1.0
v3,Q150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0
v3,Q151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
v3,Q152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
v3,Q153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0
v3,Q154,0.06666666666666668,0.0,0.0,0.0,0.04,0.0,0.2,0.04,0.24,5.0,0.0,0.8
v3,Q155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,4.0,0.0,1.0
v3,Q156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,5.0,0.0,1.0
v3,Q157,0.016,0.0,0.0,0.0,0.01,0.0,0.04,0.01,0.28,4.0,0.0,0.96
v3,Q158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,4.0,0.0,1.0
v3,Q159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0
v3,Q16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
v3,Q160,0.01,0.0,0.0,0.0,0.005714285714285714,0.0,0.04,0.005714285714285714,0.04,7.0,0.0,0.96
v3,Q161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0
v3,Q162,0.021818181818181816,0.0,0.0,0.0,0.012000000000000002,0.0,0.12,0.012000000000000002,0.2,10.0,0.0,0.88
v3,Q163,0.04,0.0,0.0,0.0,0.022857142857142857,0.0,0.16,0.022857142857142857,0.28,7.0,0.0,0.84
v3,Q17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
v3,Q18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
v3,Q19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
