question_id	subject_text	subject_curie	subject_label	object_text	object_curie	object_label	notes
Q11	TNF	NCBIGene:7124	TNF	tamoxifen	CHEBI:41774	tamoxifen	SUBJ:GENE_NCBI|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=1
Q12	Alzheimer disease	MONDO:0004975	Alzheimer disease	aspirin	CHEBI:15365	aspirin	SUBJ:DISEASE_MONDO|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=2
Q13	Non-small cell lung carcinoma	MONDO:0005233	non-small cell lung carcinoma	TP53	NCBIGene:7157	TP53	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=3
Q14	TNF	NCBIGene:7124	TNF	ibuprofen	CHEBI:5855	ibuprofen	SUBJ:GENE_NCBI|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=1
Q15	Type 2 diabetes mellitus	MONDO:0005148	Type 2 diabetes mellitus	warfarin	CHEBI:10033	warfarin	SUBJ:DISEASE_MONDO|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=2
Q16	HIF1A	NCBIGene:3091	HIF1A	VEGFA	NCBIGene:7422	VEGFA	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=5
Q17	CDKN2A	NCBIGene:1029	CDKN2A	RB1	NCBIGene:5925	RB1	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=4
Q18	VEGFA	NCBIGene:7422	VEGFA	ibuprofen	CHEBI:5855	ibuprofen	SUBJ:GENE_NCBI|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=2
Q19	TNF	NCBIGene:7124	TNF	clofibrate	CHEBI:3756	clofibrate	SUBJ:GENE_NCBI|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=1
Q20	Type 2 diabetes mellitus	MONDO:0005148	Type 2 diabetes mellitus	ACE	NCBIGene:1636	ACE	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=1
Q21	Asthma	MONDO:0004979	Asthma	metformin	CHEBI:6801	metformin	SUBJ:DISEASE_MONDO|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=1
Q22	Asthma	MONDO:0004979	Asthma	EGFR	NCBIGene:1956	EGFR	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=1
Q23	IL6	NCBIGene:3569	IL6	warfarin	CHEBI:10033	warfarin	SUBJ:GENE_NCBI|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=2
Q24	APOE	NCBIGene:348	APOE	tamoxifen	CHEBI:41774	tamoxifen	SUBJ:GENE_NCBI|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=2
Q25	Alzheimer disease	MONDO:0004975	Alzheimer disease	TNF	NCBIGene:7124	TNF	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=4
Q26	Rheumatoid arthritis	MONDO:0008383	rheumatoid arthritis	warfarin	CHEBI:10033	warfarin	SUBJ:DISEASE_MONDO|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=3
Q27	BRCA1	NCBIGene:672	BRCA1	metformin	CHEBI:6801	metformin	SUBJ:GENE_NCBI|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=3
Q28	Thyroid carcinoma	MONDO:0005089	thyroid carcinoma	RET	NCBIGene:5979	RET	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=4
Q29	Asthma	MONDO:0004979	Asthma	ibuprofen	CHEBI:5855	ibuprofen	SUBJ:DISEASE_MONDO|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=4
Q30	BRCA2	NCBIGene:675	BRCA2	aspirin	CHEBI:15365	aspirin	SUBJ:GENE_NCBI|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=1
Q31	ACE	NCBIGene:1636	ACE	dexamethasone	CHEBI:41879	dexamethasone	SUBJ:GENE_NCBI|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=3
Q32	Celiac disease	MONDO:0005130	celiac disease	HLA-DQA1	NCBIGene:3117	HLA-DQA1	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=4
Q33	Type 2 diabetes mellitus	MONDO:0005148	Type 2 diabetes mellitus	ibuprofen	CHEBI:5855	ibuprofen	SUBJ:DISEASE_MONDO|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=1
Q34	BRCA2	NCBIGene:675	BRCA2	metformin	CHEBI:6801	metformin	SUBJ:GENE_NCBI|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=1
Q35	IL6	NCBIGene:3569	IL6	aspirin	CHEBI:15365	aspirin	SUBJ:GENE_NCBI|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=2
Q36	TP53	NCBIGene:7157	TP53	tamoxifen	CHEBI:41774	tamoxifen	SUBJ:GENE_NCBI|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=5
Q37	IL6	NCBIGene:3569	IL6	cisplatin	CHEBI:27899	cisplatin	SUBJ:GENE_NCBI|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=4
Q38	BRCA1	NCBIGene:672	BRCA1	dexamethasone	CHEBI:41879	dexamethasone	SUBJ:GENE_NCBI|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=1
Q39	Parkinson disease	MONDO:0005180	Parkinson disease	TNF	NCBIGene:7124	TNF	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=3
Q40	Rheumatoid arthritis	MONDO:0008383	rheumatoid arthritis	EGFR	NCBIGene:1956	EGFR	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=1
Q41	Chronic kidney disease	MONDO:0005300	chronic kidney disease	warfarin	CHEBI:10033	warfarin	SUBJ:DISEASE_MONDO|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=1
Q42	Parkinson disease	MONDO:0005180	Parkinson disease	aspirin	CHEBI:15365	aspirin	SUBJ:DISEASE_MONDO|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=2
Q43	Breast carcinoma	MONDO:0007254	breast carcinoma	APOE	NCBIGene:348	APOE	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=0
Q44	CYP2D6	NCBIGene:1565	CYP2D6	Codeine	CHEBI:16714	codeine	SUBJ:GENE_NCBI|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=2
Q45	WNT1	NCBIGene:7471	WNT1	CTNNB1	NCBIGene:1499	CTNNB1	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=5
Q46	EIF2AK3	NCBIGene:9451	EIF2AK3	ATF4	NCBIGene:468	ATF4	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=3
Q47	FOXP3	NCBIGene:50943	FOXP3	IL2RA	NCBIGene:3559	IL2RA	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=3
Q48	Bipolar disorder	MONDO:0004985	bipolar disorder	CACNA1C	NCBIGene:775	CACNA1C	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=3
Q49	COVID-19	MONDO:0100096	COVID-19	ACE2	NCBIGene:59272	ACE2	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=4
Q50	Influenza	MONDO:0005812	influenza	TLR7	NCBIGene:51284	TLR7	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=3
Q51	HIV infection	MONDO:0005109	HIV infection	CCR5	NCBIGene:1234	CCR5	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=4
Q52	APOE	NCBIGene:348	APOE	LPL	NCBIGene:4023	LPL	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=3
Q53	PINK1	NCBIGene:65018	PINK1	PARK7	NCBIGene:11315	PARK7	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=3
Q54	FGF2	NCBIGene:2247	FGF2	FGFR1	NCBIGene:2260	FGFR1	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=4
Q55	AR	NCBIGene:367	AR	KDM1A	NCBIGene:23028	KDM1A	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=3
Q56	HIF1A	NCBIGene:3091	HIF1A	EPAS1	NCBIGene:2034	EPAS1	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=3
Q57	TLR4	NCBIGene:7099	TLR4	MYD88	NCBIGene:4615	MYD88	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=4
Q58	PTEN	NCBIGene:5728	PTEN	PIK3CA	NCBIGene:5290	PIK3CA	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=4
Q59	AMPK	NCBIGene:5562	PRKAA1	MTOR	NCBIGene:2475	MTOR	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=4
Q60	EIF2AK3	NCBIGene:9451	EIF2AK3	XBP1	NCBIGene:7494	XBP1	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=3
Q61	LAG3	NCBIGene:3902	LAG3	LGALS3	NCBIGene:3958	LGALS3	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=2
Q62	Peptic ulcer disease	MONDO:0005113	peptic ulcer disease	PTGS2	NCBIGene:5743	PTGS2	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=2
Q63	Erectile dysfunction	MONDO:0005149	erectile dysfunction	NOS3	NCBIGene:4846	NOS3	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=2
Q64	STAT3	NCBIGene:6774	STAT3	IL6ST	NCBIGene:3572	IL6ST	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=3
Q65	TGFBR2	NCBIGene:7048	TGFBR2	SMAD7	NCBIGene:4092	SMAD7	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=3
Q66	FOXO1	NCBIGene:2308	FOXO1	INSR	NCBIGene:3643	INSR	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=3
Q67	GCK	NCBIGene:2645	GCK	G6PC	NCBIGene:2538	G6PC	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=2
Q68	SREBF1	NCBIGene:6720	SREBF1	FASN	NCBIGene:2194	FASN	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=3
Q69	PPARG	NCBIGene:5468	PPARG	CIDEA	NCBIGene:1149	CIDEA	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=2
Q70	HNF1A	NCBIGene:6927	HNF1A	HNF4A	NCBIGene:3172	HNF4A	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=3
Q71	KLF4	NCBIGene:9314	KLF4	SOX2	NCBIGene:6657	SOX2	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=2
Q72	E2F1	NCBIGene:1869	E2F1	RB1	NCBIGene:5925	RB1	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=4
Q73	HDAC1	NCBIGene:3065	HDAC1	SIN3A	NCBIGene:25942	SIN3A	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=3
Q74	RNA polymerase II	MONDO:0000001	biological process	CDK9	NCBIGene:1025	CDK9	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=1
Q75	SERCA	NCBIGene:489	ATP2A2	PLN	NCBIGene:5350	PLN	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=3
Q76	RYR2	NCBIGene:6262	RYR2	CALM1	NCBIGene:801	CALM1	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=4
Q77	SCN5A	NCBIGene:6331	SCN5A	ANK2	NCBIGene:287	ANK2	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=3
Q78	KCNH2	NCBIGene:3757	KCNH2	CACNB2	NCBIGene:783	CACNB2	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=3
Q79	GABRA1	NCBIGene:2554	GABRA1	GABRB2	NCBIGene:2561	GABRB2	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=4
Q80	SYT1	NCBIGene:6857	SYT1	VAMP2	NCBIGene:6844	VAMP2	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=4
Q81	HTR2A	NCBIGene:3356	HTR2A	GNAQ	NCBIGene:2776	GNAQ	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=3
Q82	DRD2	NCBIGene:1813	DRD2	GNAI2	NCBIGene:2771	GNAI2	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=3
Q83	OPRM1	NCBIGene:4988	OPRM1	ARRB2	NCBIGene:409	ARRB2	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=3
Q84	CNR1	NCBIGene:1268	CNR1	GNAO1	NCBIGene:2775	GNAO1	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=3
Q85	ADRA1A	NCBIGene:148	ADRA1A	GNA11	NCBIGene:2767	GNA11	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=2
Q86	CHRM2	NCBIGene:1129	CHRM2	GNAI1	NCBIGene:2770	GNAI1	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=2
Q87	FGFR2	NCBIGene:2263	FGFR2	FRS2	NCBIGene:10818	FRS2	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=3
Q88	DVL2	NCBIGene:1856	DVL2	FZD7	NCBIGene:8324	FZD7	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=3
Q89	Multiple sclerosis	MONDO:0005301	multiple sclerosis	IL2RA	NCBIGene:3559	IL2RA	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=6
Q90	Rheumatoid arthritis	MONDO:0008383	rheumatoid arthritis	IL1B	NCBIGene:3553	IL1B	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=5
Q91	Asthma	MONDO:0004979	asthma	IL13	NCBIGene:3596	IL13	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=4
Q92	Type 2 diabetes mellitus	MONDO:0005148	Type 2 diabetes mellitus	SLC2A4	NCBIGene:6517	SLC2A4	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=4
Q93	Type 2 diabetes mellitus	MONDO:0005148	Type 2 diabetes mellitus	TCF7L2	NCBIGene:6934	TCF7L2	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=6
Q94	Obesity	MONDO:0005148	obesity	FTO	NCBIGene:79068	FTO	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=5
Q95	Lung adenocarcinoma	MONDO:0005061	lung adenocarcinoma	ALK	NCBIGene:238	ALK	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=6
Q96	Schizophrenia	MONDO:0005090	schizophrenia	GRIN2A	NCBIGene:2903	GRIN2A	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=4
Q97	Psoriasis	MONDO:0005083	psoriasis	TNF	NCBIGene:7124	TNF	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=7
Q98	Systemic lupus erythematosus	MONDO:0007915	systemic lupus erythematosus	IRF5	NCBIGene:3663	IRF5	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=4
Q99	Type 2 diabetes mellitus	MONDO:0005148	Type 2 diabetes mellitus	Metformin	CHEBI:6801	metformin	SUBJ:DISEASE_MONDO|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=5
Q100	Lung adenocarcinoma	MONDO:0005061	lung adenocarcinoma	Erlotinib	CHEBI:49668	erlotinib	SUBJ:DISEASE_MONDO|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=6
Q101	TNF	NCBIGene:7124	TNF	Methotrexate	CHEBI:44185	methotrexate	SUBJ:GENE_NCBI|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=6
Q102	DRD2	NCBIGene:1813	DRD2	Clozapine	CHEBI:3766	clozapine	SUBJ:GENE_NCBI|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=6
Q103	SCN1A	NCBIGene:6323	SCN1A	Valproic acid	CHEBI:39867	valproic acid	SUBJ:GENE_NCBI|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=2
Q104	SCN1A	NCBIGene:6323	SCN1A	Carbamazepine	CHEBI:3387	carbamazepine	SUBJ:GENE_NCBI|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=5
Q105	SNCA	NCBIGene:6622	SNCA	LRRK2	NCBIGene:120892	LRRK2	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=5
Q106	PIK3CA	NCBIGene:5290	PIK3CA	MTOR	NCBIGene:2475	MTOR	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=8
Q107	KRAS	NCBIGene:3845	KRAS	BRAF	NCBIGene:673	BRAF	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=9
Q108	BRAF	NCBIGene:673	BRAF	MAPK1	NCBIGene:5594	MAPK1	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=9
Q109	IFNG	NCBIGene:3458	IFNG	JAK1	NCBIGene:3716	JAK1	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=6
Q110	HIF1A	NCBIGene:3091	HIF1A	VEGFA	NCBIGene:7422	VEGFA	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=5
Q111	ESR1	NCBIGene:2099	ESR1	PIK3CA	NCBIGene:5290	PIK3CA	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=6
Q112	AR	NCBIGene:367	AR	FOXO1	NCBIGene:2308	FOXO1	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=5
Q113	PPARG	NCBIGene:5468	PPARG	ADIPOQ	NCBIGene:9370	ADIPOQ	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=5
Q114	LDLR	NCBIGene:3949	LDLR	APOB	NCBIGene:338	APOB	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=6
Q115	ACE	NCBIGene:1636	ACE	AGTR1	NCBIGene:185	AGTR1	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=6
