question_id	subject_text	subject_curie	subject_label	object_text	object_curie	object_label	notes
Q323	Inflammatory bowel disease	MONDO:0005265	inflammatory bowel disease	TNF	NCBIGene:7124	TNF	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=7
Q324	Crohn disease	MONDO:0005011	Crohn disease	IL23R	NCBIGene:149233	IL23R	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=5
Q325	Psoriasis	MONDO:0005083	psoriasis	TNF	NCBIGene:7124	TNF	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=7
Q326	Systemic lupus erythematosus	MONDO:0007915	systemic lupus erythematosus	IRF5	NCBIGene:3663	IRF5	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=4
Q327	Chronic kidney disease	MONDO:0005300	chronic kidney disease	ACE	NCBIGene:1636	ACE	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=3
Q328	Heart failure	MONDO:0004995	heart failure	ACE	NCBIGene:1636	ACE	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=4
Q329	Myocardial infarction	MONDO:0005060	myocardial infarction	PTGS2	NCBIGene:5743	PTGS2	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=3
Q330	Osteoporosis	MONDO:0005184	osteoporosis	RANKL	NCBIGene:8600	TNFSF11	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=5
Q331	Parkinson disease	MONDO:0005180	Parkinson disease	Levodopa	CHEBI:15765	levodopa	SUBJ:DISEASE_MONDO|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=4
Q332	Alzheimer disease	MONDO:0004975	Alzheimer disease	Donepezil	CHEBI:53289	donepezil	SUBJ:DISEASE_MONDO|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=3
Q333	Epilepsy	MONDO:0005027	epilepsy	Valproic acid	CHEBI:39867	valproic acid	SUBJ:DISEASE_MONDO|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=4
Q334	Epilepsy	MONDO:0005027	epilepsy	Carbamazepine	CHEBI:3387	carbamazepine	SUBJ:DISEASE_MONDO|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=4
Q335	Schizophrenia	MONDO:0005090	schizophrenia	Clozapine	CHEBI:3766	clozapine	SUBJ:DISEASE_MONDO|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=5
Q336	Major depressive disorder	MONDO:0002050	major depressive disorder	Fluoxetine	CHEBI:5118	fluoxetine	SUBJ:DISEASE_MONDO|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=4
Q337	Major depressive disorder	MONDO:0002050	major depressive disorder	Sertraline	CHEBI:6376	sertraline	SUBJ:DISEASE_MONDO|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=4
Q338	Type 2 diabetes mellitus	MONDO:0005148	Type 2 diabetes mellitus	Metformin	CHEBI:6801	metformin	SUBJ:DISEASE_MONDO|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=5
Q339	Hypercholesterolemia	MONDO:0004691	hypercholesterolemia	Atorvastatin	CHEBI:39548	atorvastatin	SUBJ:DISEASE_MONDO|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=5
Q340	Hypercholesterolemia	MONDO:0004691	hypercholesterolemia	Ezetimibe	CHEBI:4912	ezetimibe	SUBJ:DISEASE_MONDO|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=3
Q341	Rheumatoid arthritis	MONDO:0008383	rheumatoid arthritis	Methotrexate	CHEBI:44185	methotrexate	SUBJ:DISEASE_MONDO|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=6
Q342	Rheumatoid arthritis	MONDO:0008383	rheumatoid arthritis	Infliximab	CHEBI:70439	infliximab	SUBJ:DISEASE_MONDO|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=7
Q343	Asthma	MONDO:0004979	asthma	Omalizumab	CHEBI:82742	omalizumab	SUBJ:DISEASE_MONDO|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=6
Q344	Multiple sclerosis	MONDO:0005301	multiple sclerosis	Interferon beta-1a	CHEBI:64043	interferon beta-1a	SUBJ:DISEASE_MONDO|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=6
Q345	Psoriasis	MONDO:0005083	psoriasis	Secukinumab	CHEBI:82744	secukinumab	SUBJ:DISEASE_MONDO|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=6
Q346	Crohn disease	MONDO:0005011	Crohn disease	Vedolizumab	CHEBI:82746	vedolizumab	SUBJ:DISEASE_MONDO|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=5
Q347	Melanoma	MONDO:0005105	melanoma	Vemurafenib	CHEBI:63637	vemurafenib	SUBJ:DISEASE_MONDO|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=7
Q348	Lung adenocarcinoma	MONDO:0005061	lung adenocarcinoma	Erlotinib	CHEBI:49668	erlotinib	SUBJ:DISEASE_MONDO|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=6
Q349	Leukemia	MONDO:0005092	leukemia	Ruxolitinib	CHEBI:70357	ruxolitinib	SUBJ:DISEASE_MONDO|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=6
Q350	Breast cancer	MONDO:0007254	breast cancer	Trastuzumab	CHEBI:64329	trastuzumab	SUBJ:DISEASE_MONDO|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=8
Q351	TNF	NCBIGene:7124	TNF	Methotrexate	CHEBI:44185	methotrexate	SUBJ:GENE_NCBI|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=6
Q352	TNF	NCBIGene:7124	TNF	Infliximab	CHEBI:70439	infliximab	SUBJ:GENE_NCBI|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=8
Q353	IL6	NCBIGene:3569	IL6	Tocilizumab	CHEBI:64323	tocilizumab	SUBJ:GENE_NCBI|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=7
Q354	EGFR	NCBIGene:1956	EGFR	Erlotinib	CHEBI:49668	erlotinib	SUBJ:GENE_NCBI|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=8
Q355	BRAF	NCBIGene:673	BRAF	Vemurafenib	CHEBI:63637	vemurafenib	SUBJ:GENE_NCBI|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=8
Q356	BRCA1	NCBIGene:672	BRCA1	Olaparib	CHEBI:83713	olaparib	SUBJ:GENE_NCBI|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=6
Q357	BRCA2	NCBIGene:675	BRCA2	Olaparib	CHEBI:83713	olaparib	SUBJ:GENE_NCBI|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=6
Q358	MTOR	NCBIGene:2475	MTOR	Rapamycin	CHEBI:9168	rapamycin	SUBJ:GENE_NCBI|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=7
Q359	HMGCR	NCBIGene:3156	HMGCR	Atorvastatin	CHEBI:39548	atorvastatin	SUBJ:GENE_NCBI|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=6
Q360	ACE	NCBIGene:1636	ACE	Lisinopril	CHEBI:63627	lisinopril	SUBJ:GENE_NCBI|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=5
Q361	DRD2	NCBIGene:1813	DRD2	Clozapine	CHEBI:3766	clozapine	SUBJ:GENE_NCBI|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=6
Q362	DRD2	NCBIGene:1813	DRD2	Risperidone	CHEBI:8871	risperidone	SUBJ:GENE_NCBI|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=6
Q363	SLC6A4	NCBIGene:6532	SLC6A4	Fluoxetine	CHEBI:5118	fluoxetine	SUBJ:GENE_NCBI|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=6
Q364	SLC6A4	NCBIGene:6532	SLC6A4	Sertraline	CHEBI:6376	sertraline	SUBJ:GENE_NCBI|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=6
Q365	SCN1A	NCBIGene:6323	SCN1A	Valproic acid	CHEBI:39867	valproic acid	SUBJ:GENE_NCBI|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=5
Q366	SCN1A	NCBIGene:6323	SCN1A	Carbamazepine	CHEBI:3387	carbamazepine	SUBJ:GENE_NCBI|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=5
Q367	PDCD1	NCBIGene:5133	PDCD1	Nivolumab	CHEBI:82717	nivolumab	SUBJ:GENE_NCBI|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=6
Q368	CTLA4	NCBIGene:1493	CTLA4	Ipilimumab	CHEBI:82718	ipilimumab	SUBJ:GENE_NCBI|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=6
Q369	VEGFA	NCBIGene:7422	VEGFA	Bevacizumab	CHEBI:63635	bevacizumab	SUBJ:GENE_NCBI|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=7
Q370	JAK2	NCBIGene:3717	JAK2	Ruxolitinib	CHEBI:70357	ruxolitinib	SUBJ:GENE_NCBI|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=7
Q371	TP53	NCBIGene:7157	TP53	MDM2	NCBIGene:4193	MDM2	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=9
Q372	APP	NCBIGene:351	APP	PSEN1	NCBIGene:5663	PSEN1	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=7
Q373	APP	NCBIGene:351	APP	BACE1	NCBIGene:23621	BACE1	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=6
Q374	SNCA	NCBIGene:6622	SNCA	LRRK2	NCBIGene:120892	LRRK2	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=5
Q375	PRKN	NCBIGene:5071	PRKN	PINK1	NCBIGene:65018	PINK1	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=6
Q376	PTEN	NCBIGene:5728	PTEN	AKT1	NCBIGene:207	AKT1	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=8
Q377	PIK3CA	NCBIGene:5290	PIK3CA	MTOR	NCBIGene:2475	MTOR	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=8
Q378	EGFR	NCBIGene:1956	EGFR	GRB2	NCBIGene:2885	GRB2	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=7
Q379	KRAS	NCBIGene:3845	KRAS	BRAF	NCBIGene:673	BRAF	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=9
Q380	BRAF	NCBIGene:673	BRAF	MAPK1	NCBIGene:5594	MAPK1	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=9
Q381	MAPK1	NCBIGene:5594	MAPK1	MAPK3	NCBIGene:5595	MAPK3	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=8
Q382	JAK2	NCBIGene:3717	JAK2	STAT3	NCBIGene:6774	STAT3	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=8
Q383	IL6	NCBIGene:3569	IL6	IL6R	NCBIGene:3570	IL6R	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=7
Q384	TNF	NCBIGene:7124	TNF	TNFRSF1A	NCBIGene:7132	TNFRSF1A	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=7
Q385	IFNG	NCBIGene:3458	IFNG	JAK1	NCBIGene:3716	JAK1	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=6
Q386	CTNNB1	NCBIGene:1499	CTNNB1	APC	NCBIGene:324	APC	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=8
Q387	CTNNB1	NCBIGene:1499	CTNNB1	GSK3B	NCBIGene:2932	GSK3B	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=7
Q388	BRCA1	NCBIGene:672	BRCA1	RAD51	NCBIGene:5888	RAD51	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=7
Q389	BRCA2	NCBIGene:675	BRCA2	PALB2	NCBIGene:79728	PALB2	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=6
Q390	HIF1A	NCBIGene:3091	HIF1A	VEGFA	NCBIGene:7422	VEGFA	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=8
Q391	VEGFA	NCBIGene:7422	VEGFA	KDR	NCBIGene:3791	KDR	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=8
Q392	ESR1	NCBIGene:2099	ESR1	PIK3CA	NCBIGene:5290	PIK3CA	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=6
Q393	AR	NCBIGene:367	AR	FOXO1	NCBIGene:2308	FOXO1	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=5
Q394	SIRT1	NCBIGene:23411	SIRT1	FOXO3	NCBIGene:2309	FOXO3	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=5
Q395	INSR	NCBIGene:3643	INSR	IRS1	NCBIGene:3667	IRS1	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=6
Q396	IRS1	NCBIGene:3667	IRS1	PIK3R1	NCBIGene:5295	PIK3R1	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=6
Q397	PPARG	NCBIGene:5468	PPARG	ADIPOQ	NCBIGene:9370	ADIPOQ	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=5
Q398	LDLR	NCBIGene:3949	LDLR	APOB	NCBIGene:338	APOB	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=6
Q399	PCSK9	NCBIGene:255738	PCSK9	LDLR	NCBIGene:3949	LDLR	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=7
Q400	ACE	NCBIGene:1636	ACE	AGTR1	NCBIGene:185	AGTR1	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=6
