question_id	n_nonzero_runs	mean_gpt_edges	kg_edges	mean_precision	mean_recall	mean_f1	match_rate_nonzero
Q123	72	1.0277777777777777	5.0	0.9027777777777778	0.18333333333333335	0.3042328042328043	0.9166666666666666
Q124	100	1.17	1.0	0.0	0.0	0.0	0.0
Q125	99	1.292929292929293	5.0	0.0	0.0	0.0	0.0
Q126	100	1.25	5.0	0.5883333333333334	0.14200000000000002	0.2248809523809524	0.71
Q127	100	1.25	7.0	0.36833333333333335	0.07285714285714286	0.11911111111111111	0.47
Q128	98	1.3673469387755102	6.0	0.8112244897959183	0.18537414965986393	0.2957968901846453	0.8673469387755102
Q129	99	1.3131313131313131	8.0	0.015151515151515152	0.003787878787878788	0.0060606060606060615	0.030303030303030304
Q130	100	1.25	8.0	0.19	0.0375	0.06177777777777778	0.3
Q131	90	1.4	5.0	0.0	0.0	0.0	0.0
Q132	100	1.14	7.0	0.135	0.02571428571428571	0.0425	0.18
Q133	100	1.09	5.0	0.055	0.016	0.02428571428571429	0.08
Q134	100	1.2	7.0	0.13166666666666665	0.03	0.04788888888888889	0.2
Q135	91	1.021978021978022	9.0	0.0	0.0	0.0	0.0
Q136	71	1.1549295774647887	2.0	0.8380281690140845	0.45774647887323944	0.5845070422535211	0.9154929577464789
Q137	100	1.26	5.0	0.0	0.0	0.0	0.0
Q138	96	1.09375	2.0	0.0	0.0	0.0	0.0
Q139	100	1.22	3.0	0.0	0.0	0.0	0.0
Q140	100	1.2	2.0	0.0	0.0	0.0	0.0
Q141	100	1.12	4.0	0.0	0.0	0.0	0.0
Q142	21	1.0	2.0	0.0	0.0	0.0	0.0
Q143	100	1.19	1.0	0.0	0.0	0.0	0.0
Q144	94	1.127659574468085	2.0	0.0	0.0	0.0	0.0
Q145	100	1.11	5.0	0.0	0.0	0.0	0.0
Q146	100	1.16	2.0	0.0	0.0	0.0	0.0
Q147	2	2.0	6.0	0.8333333333333333	0.25	0.36507936507936506	1.0
Q148	6	1.1666666666666667	7.0	0.25	0.047619047619047616	0.0787037037037037	0.3333333333333333
Q15	100	1.23	2.0	0.0	0.0	0.0	0.0
Q150	1	1.0	5.0	1.0	0.2	0.33333333333333337	1.0
Q152	3	1.0	2.0	0.0	0.0	0.0	0.0
Q154	98	1.0918367346938775	5.0	0.11734693877551021	0.0326530612244898	0.0500485908649174	0.16326530612244897
Q155	100	1.46	4.0	0.1716666666666667	0.075	0.10085714285714285	0.3
Q156	89	1.0224719101123596	5.0	0.0056179775280898875	0.0022471910112359553	0.003210272873194222	0.011235955056179775
Q157	100	1.19	4.0	0.7483333333333333	0.21	0.32352380952380955	0.84
Q158	100	1.18	4.0	0.035	0.0125	0.018000000000000002	0.05
Q159	93	1.086021505376344	5.0	0.8315412186379928	0.17419354838709677	0.28635432667690736	0.8709677419354839
Q16	33	1.0606060606060606	1.0	0.030303030303030304	0.030303030303030304	0.030303030303030304	0.030303030303030304
Q160	89	1.0449438202247192	7.0	0.0	0.0	0.0	0.0
Q161	82	1.0975609756097562	7.0	0.6869918699186992	0.10452961672473868	0.18028455284552847	0.7317073170731707
Q162	97	1.1546391752577319	10.0	0.04639175257731959	0.007216494845360825	0.012339893783192753	0.07216494845360824
Q163	100	1.34	7.0	0.68	0.12	0.20072222222222222	0.84
Q17	10	1.0	1.0	0.0	0.0	0.0	0.0
Q19	1	1.0	1.0	1.0	1.0	1.0	1.0
Q2	95	1.2421052631578948	5.0	0.0	0.0	0.0	0.0
Q20	3	1.6666666666666667	1.0	0.0	0.0	0.0	0.0
Q21	100	1.16	2.0	0.0	0.0	0.0	0.0
Q22	100	1.18	1.0	0.0	0.0	0.0	0.0
Q24	17	1.0	8.0	0.47058823529411764	0.058823529411764705	0.1045751633986928	0.47058823529411764
Q25	100	1.23	4.0	0.0	0.0	0.0	0.0
Q26	8	1.0	4.0	0.0	0.0	0.0	0.0
Q28	12	1.25	1.0	0.08333333333333333	0.08333333333333333	0.08333333333333333	0.08333333333333333
Q29	100	1.16	1.0	0.0	0.0	0.0	0.0
Q3	10	1.0	1.0	0.0	0.0	0.0	0.0
Q30	92	1.2065217391304348	2.0	0.0	0.0	0.0	0.0
Q32	100	1.19	1.0	0.0	0.0	0.0	0.0
Q33	100	1.16	5.0	0.0	0.0	0.0	0.0
Q36	100	1.14	2.0	0.0	0.0	0.0	0.0
Q38	8	1.0	1.0	0.0	0.0	0.0	0.0
Q40	99	1.1515151515151516	2.0	0.0	0.0	0.0	0.0
Q41	1	1.0	1.0	0.0	0.0	0.0	0.0
Q42	10	1.1	1.0	0.0	0.0	0.0	0.0
Q43	6	1.5	1.0	0.0	0.0	0.0	0.0
Q44	99	1.1616161616161615	1.0	0.0	0.0	0.0	0.0
Q45	1	1.0	2.0	0.0	0.0	0.0	0.0
Q46	13	1.0	1.0	0.0	0.0	0.0	0.0
Q47	1	1.0	1.0	0.0	0.0	0.0	0.0
Q48	85	1.2470588235294118	2.0	0.11176470588235295	0.07647058823529412	0.08823529411764706	0.15294117647058825
Q49	1	1.0	7.0	0.0	0.0	0.0	0.0
Q5	1	1.0	7.0	0.0	0.0	0.0	0.0
Q50	100	1.24	1.0	0.0	0.0	0.0	0.0
Q52	99	1.1111111111111112	2.0	0.0	0.0	0.0	0.0
Q53	1	1.0	2.0	0.0	0.0	0.0	0.0
Q54	15	1.0	1.0	0.0	0.0	0.0	0.0
Q55	95	1.1578947368421053	5.0	0.0	0.0	0.0	0.0
Q57	39	1.3076923076923077	2.0	0.038461538461538464	0.02564102564102564	0.029914529914529912	0.05128205128205128
Q59	9	1.3333333333333333	1.0	0.0	0.0	0.0	0.0
Q61	37	1.2432432432432432	1.0	0.0	0.0	0.0	0.0
Q62	1	1.0	1.0	0.0	0.0	0.0	0.0
Q63	13	1.0769230769230769	1.0	0.0	0.0	0.0	0.0
Q64	16	1.3125	1.0	0.03125	0.0625	0.041666666666666664	0.0625
Q65	1	1.0	4.0	0.0	0.0	0.0	0.0
Q66	12	1.0833333333333333	1.0	0.0	0.0	0.0	0.0
Q67	36	1.1666666666666667	1.0	0.013888888888888888	0.027777777777777776	0.018518518518518517	0.027777777777777776
Q68	14	1.2142857142857142	2.0	0.0	0.0	0.0	0.0
Q69	7	1.1428571428571428	2.0	0.0	0.0	0.0	0.0
Q7	17	1.0588235294117647	1.0	0.0	0.0	0.0	0.0
Q70	21	1.1904761904761905	1.0	0.0	0.0	0.0	0.0
Q71	100	1.26	2.0	0.0	0.0	0.0	0.0
Q72	100	1.18	1.0	0.0	0.0	0.0	0.0
Q74	9	1.1111111111111112	4.0	0.05555555555555555	0.027777777777777776	0.037037037037037035	0.1111111111111111
Q75	98	1.1224489795918366	3.0	0.0	0.0	0.0	0.0
Q76	100	1.24	2.0	0.0	0.0	0.0	0.0
Q77	100	1.24	5.0	0.0	0.0	0.0	0.0
Q78	98	1.153061224489796	2.0	0.0	0.0	0.0	0.0
Q79	89	1.2921348314606742	3.0	0.0	0.0	0.0	0.0
Q8	90	1.1777777777777778	5.0	0.0	0.0	0.0	0.0
Q80	87	1.264367816091954	2.0	0.0	0.0	0.0	0.0
Q81	98	1.2244897959183674	2.0	0.0	0.0	0.0	0.0
Q82	100	1.08	3.0	0.0	0.0	0.0	0.0
Q83	96	1.125	3.0	0.0	0.0	0.0	0.0
Q84	94	1.2553191489361701	1.0	0.0	0.0	0.0	0.0
Q85	100	1.11	1.0	0.0	0.0	0.0	0.0
Q86	6	1.0	1.0	0.0	0.0	0.0	0.0
Q87	100	1.1	5.0	0.77	0.16400000000000003	0.2685714285714286	0.82
Q88	97	1.134020618556701	3.0	0.0	0.0	0.0	0.0
Q89	85	1.1764705882352942	3.0	0.0	0.0	0.0	0.0
Q9	80	1.2	4.0	0.0	0.0	0.0	0.0
Q90	100	1.22	3.0	0.0	0.0	0.0	0.0
Q92	51	1.2745098039215685	5.0	0.5686274509803921	0.13725490196078433	0.21755368814192347	0.6862745098039216
Q93	99	1.2222222222222223	5.0	0.8114478114478114	0.18383838383838383	0.295935545935546	0.9191919191919192
Q94	90	1.0666666666666667	3.0	0.6333333333333333	0.2222222222222222	0.32666666666666666	0.6666666666666666
Q95	39	1.0256410256410255	7.0	0.0	0.0	0.0	0.0
Q96	99	1.0909090909090908	8.0	0.0	0.0	0.0	0.0
Q97	20	1.05	5.0	0.0	0.0	0.0	0.0
Q98	8	1.375	1.0	0.0	0.0	0.0	0.0
Q10	0	0.0	1.0	0.0	0.0	0.0	0.0
Q101	0	0.0	8.0	0.0	0.0	0.0	0.0
Q11	0	0.0	5.0	0.0	0.0	0.0	0.0
Q13	0	0.0	1.0	0.0	0.0	0.0	0.0
Q14	0	0.0	6.0	0.0	0.0	0.0	0.0
Q149	0	0.0	2.0	0.0	0.0	0.0	0.0
Q151	0	0.0	1.0	0.0	0.0	0.0	0.0
Q153	0	0.0	10.0	0.0	0.0	0.0	0.0
Q18	0	0.0	1.0	0.0	0.0	0.0	0.0
Q23	0	0.0	1.0	0.0	0.0	0.0	0.0
Q27	0	0.0	2.0	0.0	0.0	0.0	0.0
Q31	0	0.0	2.0	0.0	0.0	0.0	0.0
Q34	0	0.0	3.0	0.0	0.0	0.0	0.0
Q35	0	0.0	2.0	0.0	0.0	0.0	0.0
Q37	0	0.0	2.0	0.0	0.0	0.0	0.0
Q39	0	0.0	1.0	0.0	0.0	0.0	0.0
Q4	0	0.0	3.0	0.0	0.0	0.0	0.0
Q51	0	0.0	1.0	0.0	0.0	0.0	0.0
Q56	0	0.0	9.0	0.0	0.0	0.0	0.0
Q58	0	0.0	2.0	0.0	0.0	0.0	0.0
Q6	0	0.0	1.0	0.0	0.0	0.0	0.0
Q60	0	0.0	8.0	0.0	0.0	0.0	0.0
Q73	0	0.0	10.0	0.0	0.0	0.0	0.0
Q91	0	0.0	2.0	0.0	0.0	0.0	0.0
Q99	0	0.0	5.0	0.0	0.0	0.0	0.0
