prompt_version,question_id,n_runs,mean_edges,median_edges,min_edges,max_edges,zero_edge_rate
v3,Q146,25,0.44,0.0,0,1,0.56
v3,Q147,25,0.0,0.0,0,0,1.0
v3,Q148,25,0.0,0.0,0,0,1.0
v3,Q149,25,0.0,0.0,0,0,1.0
v3,Q15,25,0.84,1.0,0,1,0.16
v3,Q150,25,0.0,0.0,0,0,1.0
v3,Q151,25,0.0,0.0,0,0,1.0
v3,Q152,25,0.0,0.0,0,0,1.0
v3,Q153,25,0.0,0.0,0,0,1.0
v3,Q154,25,0.24,0.0,0,1,0.76
v3,Q155,25,0.28,0.0,0,1,0.72
v3,Q156,25,0.48,0.0,0,1,0.52
v3,Q157,25,0.28,0.0,0,1,0.72
v3,Q158,25,0.32,0.0,0,1,0.68
v3,Q159,25,0.0,0.0,0,0,1.0
v3,Q16,25,0.0,0.0,0,0,1.0
v3,Q160,25,0.04,0.0,0,1,0.96
v3,Q161,25,0.0,0.0,0,0,1.0
v3,Q162,25,0.2,0.0,0,1,0.8
v3,Q163,25,0.28,0.0,0,1,0.72
v3,Q17,25,0.0,0.0,0,0,1.0
v3,Q18,25,0.0,0.0,0,0,1.0
v3,Q19,25,0.0,0.0,0,0,1.0
v3,Q2,25,0.16,0.0,0,1,0.84
v3,Q20,25,0.0,0.0,0,0,1.0
v3,Q21,25,0.44,0.0,0,1,0.56
v3,Q22,25,0.84,1.0,0,1,0.16
v3,Q23,25,0.0,0.0,0,0,1.0
v3,Q24,25,0.0,0.0,0,0,1.0
v3,Q25,25,1.08,1.0,1,2,0.0
v3,Q26,25,0.0,0.0,0,0,1.0
v3,Q27,25,0.0,0.0,0,0,1.0
v3,Q28,25,0.0,0.0,0,0,1.0
v3,Q29,25,1.0,1.0,1,1,0.0
v3,Q3,25,0.0,0.0,0,0,1.0
v3,Q30,25,0.88,1.0,0,1,0.12
v3,Q31,25,0.0,0.0,0,0,1.0
v3,Q32,25,1.04,1.0,1,2,0.0
v3,Q33,25,0.44,0.0,0,1,0.56
v3,Q34,25,0.0,0.0,0,0,1.0
v3,Q35,25,0.0,0.0,0,0,1.0
v3,Q36,25,0.68,1.0,0,1,0.32
v3,Q37,25,0.0,0.0,0,0,1.0
v3,Q38,25,0.0,0.0,0,0,1.0
v3,Q39,25,0.0,0.0,0,0,1.0
v3,Q4,25,0.0,0.0,0,0,1.0
v3,Q40,25,0.04,0.0,0,1,0.96
v3,Q41,25,0.0,0.0,0,0,1.0
v3,Q42,25,0.0,0.0,0,0,1.0
v3,Q43,25,0.0,0.0,0,0,1.0
v3,Q44,25,0.76,1.0,0,1,0.24
v3,Q45,25,0.0,0.0,0,0,1.0
v3,Q46,25,0.04,0.0,0,1,0.96
v3,Q47,25,0.0,0.0,0,0,1.0
v3,Q48,25,0.08,0.0,0,1,0.92
v3,Q49,25,0.0,0.0,0,0,1.0
v3,Q5,25,0.0,0.0,0,0,1.0
v3,Q50,25,1.0,1.0,1,1,0.0
v3,Q51,25,0.0,0.0,0,0,1.0
v3,Q52,25,0.08,0.0,0,1,0.92
v3,Q53,25,0.0,0.0,0,0,1.0
v3,Q54,25,0.0,0.0,0,0,1.0
v3,Q55,25,0.68,1.0,0,1,0.32
v3,Q56,25,0.0,0.0,0,0,1.0
v3,Q57,25,0.48,0.0,0,1,0.52
v3,Q58,25,0.0,0.0,0,0,1.0
v3,Q59,25,0.0,0.0,0,0,1.0
v3,Q6,25,0.0,0.0,0,0,1.0
v3,Q60,25,0.0,0.0,0,0,1.0
v3,Q61,25,0.0,0.0,0,0,1.0
v3,Q62,25,0.0,0.0,0,0,1.0
v3,Q63,25,0.0,0.0,0,0,1.0
v3,Q64,25,0.04,0.0,0,1,0.96
v3,Q65,25,0.0,0.0,0,0,1.0
v3,Q66,25,0.04,0.0,0,1,0.96
v3,Q67,25,0.0,0.0,0,0,1.0
v3,Q68,25,0.0,0.0,0,0,1.0
v3,Q69,25,0.0,0.0,0,0,1.0
v3,Q7,25,0.0,0.0,0,0,1.0
v3,Q70,25,0.44,0.0,0,1,0.56
v3,Q71,25,1.0,1.0,1,1,0.0
v3,Q72,25,0.96,1.0,0,1,0.04
v3,Q73,25,0.0,0.0,0,0,1.0
v3,Q74,25,0.0,0.0,0,0,1.0
v3,Q75,25,0.12,0.0,0,1,0.88
v3,Q76,25,0.96,1.0,0,2,0.16
v3,Q77,25,1.0,1.0,1,1,0.0
v3,Q78,25,0.4,0.0,0,1,0.6
v3,Q79,25,0.12,0.0,0,1,0.88
v3,Q8,25,0.36,0.0,0,1,0.64
v3,Q80,25,0.08,0.0,0,1,0.92
v3,Q81,25,0.76,1.0,0,1,0.24
v3,Q82,25,0.12,0.0,0,1,0.88
v3,Q83,25,0.08,0.0,0,1,0.92
v3,Q84,25,1.0,1.0,1,1,0.0
v3,Q85,25,0.28,0.0,0,1,0.72
v3,Q86,25,0.0,0.0,0,0,1.0
v3,Q87,25,1.04,1.0,1,2,0.0
v3,Q88,25,0.04,0.0,0,1,0.96
v3,Q89,25,0.44,0.0,0,1,0.56
v3,Q9,25,0.44,0.0,0,1,0.56
v3,Q90,25,0.08,0.0,0,1,0.92
v3,Q91,25,0.0,0.0,0,0,1.0
v3,Q92,25,0.0,0.0,0,0,1.0
v3,Q93,25,0.0,0.0,0,0,1.0
v3,Q94,25,0.04,0.0,0,1,0.96
v3,Q95,25,0.0,0.0,0,0,1.0
v3,Q96,25,0.0,0.0,0,0,1.0
v3,Q97,25,0.0,0.0,0,0,1.0
v3,Q98,25,0.0,0.0,0,0,1.0
v3,Q99,25,0.0,0.0,0,0,1.0
