prompt_version	question_id	n_runs	mean_edges	median_edges	min_edges	max_edges	zero_edge_rate
v2	Q88	25	1.0	1.0	1	1	0.0
v2	Q89	25	1.0	1.0	1	1	0.0
v2	Q9	25	1.0	1.0	1	1	0.0
v2	Q90	25	1.0	1.0	1	1	0.0
v2	Q91	25	0.0	0.0	0	0	1.0
v2	Q92	25	1.0	1.0	1	1	0.0
v2	Q93	25	1.0	1.0	1	1	0.0
v2	Q94	25	1.0	1.0	1	1	0.0
v2	Q95	25	0.0	0.0	0	0	1.0
v2	Q96	25	0.88	1.0	0	1	0.12
v2	Q97	25	0.08	0.0	0	1	0.92
v2	Q98	25	0.6	1.0	0	1	0.4
v2	Q99	25	0.08	0.0	0	1	0.92
