question_id	robokop_n_edges	v1_mean_edges	v1_zero_edge_rate	v1_median_edges	v1_max_edges	v2_mean_edges	v2_zero_edge_rate	v2_median_edges	v2_max_edges	v3_mean_edges	v3_zero_edge_rate	v3_median_edges	v3_max_edges	v4_mean_edges	v4_zero_edge_rate	v4_median_edges	v4_max_edges
Q2	2	1.18	0.05	1.0	2	1.0	0.0	1.0	1	0.16	0.84	0.0	1	0.68	0.32	1.0	1
Q20	1	0.05	0.97	0.0	2	1.0	0.0	1.0	1	0.0	1.0	0.0	0	0.0	1.0	0.0	0
Q21	2	1.16	0.0	1.0	2	1.0	0.0	1.0	1	0.44	0.56	0.0	1	1.0	0.0	1.0	1
Q22	1	1.18	0.0	1.0	2	1.0	0.0	1.0	1	0.84	0.16	1.0	1	0.44	0.56	0.0	1
Q23	1	0.0	1.0	0.0	0	0.4	0.6	0.0	1	0.0	1.0	0.0	0	0.0	1.0	0.0	0
Q24	2	0.17	0.83	0.0	1	0.68	0.32	1.0	1	0.0	1.0	0.0	0	0.0	1.0	0.0	0
Q25	1	1.23	0.0	1.0	2	1.0	0.0	1.0	1	1.08	0.0	1.0	2	1.0	0.0	1.0	1
Q26	1	0.08	0.92	0.0	1	0.08	0.92	0.0	1	0.0	1.0	0.0	0	0.0	1.0	0.0	0
Q27	2	0.0	1.0	0.0	0	0.0	1.0	0.0	0	0.0	1.0	0.0	0	0.0	1.0	0.0	0
Q28	1	0.15	0.88	0.0	2	1.0	0.0	1.0	1	0.0	1.0	0.0	0	0.0	1.0	0.0	0
Q29	1	1.16	0.0	1.0	2	1.0	0.0	1.0	1	1.0	0.0	1.0	1	1.0	0.0	1.0	1
Q3	1	0.1	0.9	0.0	1	0.6	0.4	1.0	1	0.0	1.0	0.0	0	0.0	1.0	0.0	0
Q30	2	1.11	0.08	1.0	2	1.0	0.0	1.0	1	0.88	0.12	1.0	1	1.0	0.0	1.0	1
Q31	2	0.0	1.0	0.0	0	0.4	0.6	0.0	1	0.0	1.0	0.0	0	0.0	1.0	0.0	0
Q32	1	1.19	0.0	1.0	2	1.0	0.0	1.0	1	1.04	0.0	1.0	2	1.0	0.0	1.0	1
Q33	2	1.16	0.0	1.0	2	1.0	0.0	1.0	1	0.44	0.56	0.0	1	0.64	0.36	1.0	1
Q34	3	0.0	1.0	0.0	0	0.12	0.88	0.0	1	0.0	1.0	0.0	0	0.0	1.0	0.0	0
Q35	2	0.0	1.0	0.0	0	0.0	1.0	0.0	0	0.0	1.0	0.0	0	0.0	1.0	0.0	0
Q36	2	1.14	0.0	1.0	2	1.0	0.0	1.0	1	0.68	0.32	1.0	1	1.0	0.0	1.0	1
Q37	2	0.0	1.0	0.0	0	0.0	1.0	0.0	0	0.0	1.0	0.0	0	0.0	1.0	0.0	0
Q38	1	0.08	0.92	0.0	1	1.0	0.0	1.0	1	0.0	1.0	0.0	0	0.0	1.0	0.0	0
Q39	1	0.0	1.0	0.0	0	0.04	0.96	0.0	1	0.0	1.0	0.0	0	0.0	1.0	0.0	0
Q4	3	0.0	1.0	0.0	0	0.0	1.0	0.0	0	0.0	1.0	0.0	0	0.0	1.0	0.0	0
Q40	2	1.14	0.01	1.0	2	1.0	0.0	1.0	1	0.04	0.96	0.0	1	1.0	0.0	1.0	1
Q41	1	0.01	0.99	0.0	1	0.52	0.48	1.0	1	0.0	1.0	0.0	0	0.0	1.0	0.0	0
Q42	1	0.11	0.9	0.0	2	1.0	0.0	1.0	1	0.0	1.0	0.0	0	0.0	1.0	0.0	0
Q43	1	0.09	0.94	0.0	2	1.0	0.0	1.0	1	0.0	1.0	0.0	0	0.0	1.0	0.0	0
Q44	1	1.15	0.01	1.0	2	1.0	0.0	1.0	1	0.76	0.24	1.0	1	0.92	0.08	1.0	1
Q45	2	0.01	0.99	0.0	1	0.52	0.48	1.0	1	0.0	1.0	0.0	0	0.0	1.0	0.0	0
Q46	1	0.13	0.87	0.0	1	1.0	0.0	1.0	1	0.04	0.96	0.0	1	0.0	1.0	0.0	0
Q47	1	0.01	0.99	0.0	1	0.24	0.76	0.0	1	0.0	1.0	0.0	0	0.0	1.0	0.0	0
Q48	2	1.06	0.15	1.0	2	1.0	0.0	1.0	1	0.08	0.92	0.0	1	0.16	0.84	0.0	1
Q49	1	0.01	0.99	0.0	1	0.16	0.84	0.0	1	0.0	1.0	0.0	0	0.0	1.0	0.0	0
Q5	1	0.01	0.99	0.0	1	0.0	1.0	0.0	0	0.0	1.0	0.0	0	0.0	1.0	0.0	0
Q50	1	1.24	0.0	1.0	2	1.0	0.0	1.0	1	1.0	0.0	1.0	1	1.0	0.0	1.0	1
Q51	1	0.0	1.0	0.0	0	0.92	0.08	1.0	1	0.0	1.0	0.0	0	0.0	1.0	0.0	0
Q52	2	1.1	0.01	1.0	2	1.0	0.0	1.0	1	0.08	0.92	0.0	1	0.92	0.08	1.0	1
Q53	2	0.01	0.99	0.0	1	0.0	1.0	0.0	0	0.0	1.0	0.0	0	0.0	1.0	0.0	0
Q54	1	0.15	0.85	0.0	1	1.0	0.0	1.0	1	0.0	1.0	0.0	0	0.04	0.96	0.0	1
Q55	2	1.1	0.05	1.0	2	1.0	0.0	1.0	1	0.68	0.32	1.0	1	0.96	0.04	1.0	1
Q56	3	0.0	1.0	0.0	0	0.0	1.0	0.0	0	0.0	1.0	0.0	0	0.0	1.0	0.0	0
Q57	2	0.51	0.61	0.0	3	1.0	0.0	1.0	1	0.48	0.52	0.0	1	0.08	0.92	0.0	1
Q58	2	0.0	1.0	0.0	0	0.0	1.0	0.0	0	0.0	1.0	0.0	0	0.0	1.0	0.0	0
Q59	1	0.12	0.91	0.0	2	0.76	0.24	1.0	1	0.0	1.0	0.0	0	0.0	1.0	0.0	0
Q6	1	0.0	1.0	0.0	0	0.0	1.0	0.0	0	0.0	1.0	0.0	0	0.0	1.0	0.0	0
Q60	3	0.0	1.0	0.0	0	0.0	1.0	0.0	0	0.0	1.0	0.0	0	0.0	1.0	0.0	0
Q61	1	0.46	0.63	0.0	3	1.0	0.0	1.0	1	0.0	1.0	0.0	0	0.0	1.0	0.0	0
Q62	1	0.01	0.99	0.0	1	0.32	0.68	0.0	1	0.0	1.0	0.0	0	0.0	1.0	0.0	0
Q63	1	0.14	0.87	0.0	2	0.52	0.48	1.0	1	0.0	1.0	0.0	0	0.0	1.0	0.0	0
Q64	1	0.21	0.84	0.0	2	1.0	0.0	1.0	1	0.04	0.96	0.0	1	0.2	0.8	0.0	1
Q65	1	0.01	0.99	0.0	1	0.0	1.0	0.0	0	0.0	1.0	0.0	0	0.0	1.0	0.0	0
Q66	1	0.13	0.88	0.0	2	1.0	0.0	1.0	1	0.04	0.96	0.0	1	0.04	0.96	0.0	1
Q67	1	0.42	0.64	0.0	2	1.0	0.0	1.0	1	0.0	1.0	0.0	0	0.04	0.96	0.0	1
Q68	2	0.17	0.86	0.0	2	1.0	0.0	1.0	1	0.0	1.0	0.0	0	0.0	1.0	0.0	0
Q69	2	0.08	0.93	0.0	2	0.88	0.12	1.0	1	0.0	1.0	0.0	0	0.0	1.0	0.0	0
Q7	1	0.18	0.83	0.0	2	1.0	0.0	1.0	1	0.0	1.0	0.0	0	0.0	1.0	0.0	0
Q70	1	0.25	0.79	0.0	2	1.0	0.0	1.0	1	0.44	0.56	0.0	1	0.0	1.0	0.0	0
Q71	2	1.26	0.0	1.0	2	1.0	0.0	1.0	1	1.0	0.0	1.0	1	1.0	0.0	1.0	1
Q72	1	1.18	0.0	1.0	2	1.0	0.0	1.0	1	0.96	0.04	1.0	1	1.0	0.0	1.0	1
Q73	1	0.0	1.0	0.0	0	0.0	1.0	0.0	0	0.0	1.0	0.0	0	0.0	1.0	0.0	0
Q74	1	0.1	0.91	0.0	2	0.96	0.04	1.0	1	0.0	1.0	0.0	0	0.0	1.0	0.0	0
Q75	0	1.1	0.02	1.0	2	1.0	0.0	1.0	1	0.12	0.88	0.0	1	0.72	0.28	1.0	1
Q76	2	1.24	0.0	1.0	2	1.0	0.0	1.0	1	0.96	0.16	1.0	2	1.0	0.0	1.0	1
Q77	2	1.24	0.0	1.0	2	1.0	0.0	1.0	1	1.0	0.0	1.0	1	1.0	0.0	1.0	1
Q78	2	1.13	0.02	1.0	2	1.0	0.0	1.0	1	0.4	0.6	0.0	1	1.0	0.0	1.0	1
Q79	3	1.15	0.11	1.0	2	1.0	0.0	1.0	1	0.12	0.88	0.0	1	0.72	0.28	1.0	1
Q8	2	1.06	0.1	1.0	2	1.0	0.0	1.0	1	0.36	0.64	0.0	1	0.92	0.08	1.0	1
Q80	2	1.1	0.13	1.0	2	1.0	0.0	1.0	1	0.08	0.92	0.0	1	0.12	0.88	0.0	1
Q81	2	1.2	0.02	1.0	2	1.0	0.0	1.0	1	0.76	0.24	1.0	1	0.76	0.24	1.0	1
Q82	3	1.08	0.0	1.0	2	1.0	0.0	1.0	1	0.12	0.88	0.0	1	1.0	0.0	1.0	1
Q83	3	1.08	0.04	1.0	2	1.0	0.0	1.0	1	0.08	0.92	0.0	1	0.8	0.2	1.0	1
Q84	1	1.18	0.06	1.0	2	1.0	0.0	1.0	1	1.0	0.0	1.0	1	0.84	0.16	1.0	1
Q85	1	1.11	0.0	1.0	2	1.0	0.0	1.0	1	0.28	0.72	0.0	1	1.0	0.0	1.0	1
Q86	1	0.06	0.94	0.0	1	0.2	0.8	0.0	1	0.0	1.0	0.0	0	0.0	1.0	0.0	0
Q87	1	1.1	0.0	1.0	2	1.0	0.0	1.0	1	1.04	0.0	1.0	2	0.36	0.64	0.0	1
Q88	0	1.1	0.03	1.0	2	1.0	0.0	1.0	1	0.04	0.96	0.0	1	1.0	0.0	1.0	1
Q89	3	1.0	0.15	1.0	2	1.0	0.0	1.0	1	0.44	0.56	0.0	1	0.2	0.8	0.0	1
Q9	1	0.96	0.2	1.0	2	1.0	0.0	1.0	1	0.44	0.56	0.0	1	1.0	0.0	1.0	1
Q90	3	1.22	0.0	1.0	2	1.0	0.0	1.0	1	0.08	0.92	0.0	1	1.0	0.0	1.0	1
Q91	2	0.0	1.0	0.0	0	0.0	1.0	0.0	0	0.0	1.0	0.0	0	0.0	1.0	0.0	0
Q92	5	0.65	0.49	1.0	2	1.0	0.0	1.0	1	0.0	1.0	0.0	0	0.52	0.48	1.0	1
Q93	5	1.21	0.01	1.0	3	1.0	0.0	1.0	1	0.0	1.0	0.0	0	0.28	0.72	0.0	1
Q94	3	0.96	0.1	1.0	2	1.0	0.0	1.0	1	0.04	0.96	0.0	1	0.0	1.0	0.0	0
Q95	3	0.4	0.61	0.0	2	0.0	1.0	0.0	0	0.0	1.0	0.0	0	0.0	1.0	0.0	0
Q96	2	1.08	0.01	1.0	2	0.88	0.12	1.0	1	0.0	1.0	0.0	0	0.72	0.28	1.0	1
Q97	2	0.21	0.8	0.0	2	0.08	0.92	0.0	1	0.0	1.0	0.0	0	0.0	1.0	0.0	0
Q98	1	0.11	0.92	0.0	2	0.6	0.4	1.0	1	0.0	1.0	0.0	0	0.28	0.72	0.0	1
Q99	1	0.0	1.0	0.0	0	0.08	0.92	0.0	1	0.0	1.0	0.0	0	0.16	0.84	0.0	1
