prompt_version	question_id	n_runs	mean_edges	median_edges	min_edges	max_edges	zero_edge_rate
v4	Q86	25	0.0	0.0	0	0	1.0
v4	Q87	25	0.36	0.0	0	1	0.64
v4	Q88	25	1.0	1.0	1	1	0.0
v4	Q89	25	0.2	0.0	0	1	0.8
v4	Q9	25	1.0	1.0	1	1	0.0
v4	Q90	25	1.0	1.0	1	1	0.0
v4	Q91	25	0.0	0.0	0	0	1.0
v4	Q92	25	0.52	1.0	0	1	0.48
v4	Q93	25	0.28	0.0	0	1	0.72
v4	Q94	25	0.0	0.0	0	0	1.0
v4	Q95	25	0.0	0.0	0	0	1.0
v4	Q96	25	0.72	1.0	0	1	0.28
v4	Q97	25	0.0	0.0	0	0	1.0
v4	Q98	25	0.28	0.0	0	1	0.72
v4	Q99	25	0.16	0.0	0	1	0.84
