question_id,mean_f1,median_f1,p25_f1,p75_f1,iqr_f1,mean_jaccard,median_jaccard,zero_f1_rate,zero_jaccard_rate,mean_precision,mean_recall,rank_median_f1
Q130,0.07785712,0.0,0.0,0.25,0.25,0.04476190000000001,0.0,0.7,0.7,0.19,0.050000100000000006,47
Q48,0.07500002,0.0,0.0,0.0,0.0,0.05333331,0.0,0.87,0.87,0.095,0.065,48
Q95,0.07285707,0.0,0.0,0.0,0.0,0.043666670000000005,0.0,0.78,0.78,0.215,0.044000000000000004,49
Q154,0.07100000000000001,0.0,0.0,0.0,0.0,0.04583331,0.0,0.84,0.84,0.115,0.05333328,50
Q36,0.07,0.0,0.0,0.0,0.0,0.04666662,0.0,0.86,0.86,0.07,0.07,51
Q78,0.07,0.0,0.0,0.0,0.0,0.04666662,0.0,0.86,0.86,0.07,0.07,52
Q137,0.06857136000000001,0.0,0.0,0.0,0.0,0.04000008,0.0,0.76,0.76,0.12,0.04800000000000001,53
Q114,0.06047613,0.0,0.0,0.0,0.0,0.035666710000000004,0.0,0.8,0.8,0.135,0.04,54
Q40,0.06,0.0,0.0,0.0,0.0,0.03999996,0.0,0.88,0.88,0.06,0.06,55
Q162,0.05666664,0.0,0.0,0.2,0.2,0.03166665,0.0,0.73,0.73,0.195,0.03375,56
Q144,0.055,0.0,0.0,0.0,0.0,0.03666663,0.0,0.89,0.89,0.055,0.055,57
Q21,0.055,0.0,0.0,0.0,0.0,0.03666663,0.0,0.89,0.89,0.055,0.055,58
Q134,0.05408728,0.0,0.0,0.0,0.0,0.03142857,0.0,0.8,0.8,0.13166667,0.03500006,59
Q25,0.05333328,0.0,0.0,0.0,0.0,0.032,0.0,0.84,0.84,0.08,0.04,60
Q83,0.049,0.0,0.0,0.0,0.0,0.030833330000000003,0.0,0.88,0.88,0.065,0.03999996,61
Q107,0.04857142,0.0,0.0,0.0,0.0,0.027857130000000004,0.0,0.81,0.81,0.11,0.031666730000000004,62
Q2,0.04857138000000001,0.0,0.0,0.0,0.0,0.02833339,0.0,0.83,0.83,0.085,0.034,63
Q132,0.04821426000000001,0.0,0.0,0.0,0.0,0.027857160000000002,0.0,0.82,0.82,0.135,0.03000006,64
Q138,0.045,0.0,0.0,0.0,0.0,0.02999997,0.0,0.91,0.91,0.045,0.045,65
Q52,0.045,0.0,0.0,0.0,0.0,0.02999997,0.0,0.91,0.91,0.045,0.045,66
Q141,0.04399996,0.0,0.0,0.0,0.0,0.026500000000000003,0.0,0.87,0.87,0.07,0.0325,67
Q8,0.03714282,0.0,0.0,0.0,0.0,0.02166671,0.0,0.87,0.87,0.065,0.026000000000000002,68
Q82,0.037000000000000005,0.0,0.0,0.0,0.0,0.02333333,0.0,0.91,0.91,0.05,0.02999997,69
Q1,0.035,0.0,0.0,0.0,0.0,0.02333331,0.0,0.93,0.93,0.035,0.035,70
Q33,0.034285680000000006,0.0,0.0,0.0,0.0,0.02000004,0.0,0.88,0.88,0.06,0.024000000000000004,71
Q77,0.034285680000000006,0.0,0.0,0.0,0.0,0.02000004,0.0,0.88,0.88,0.06,0.024000000000000004,72
Q145,0.031428540000000005,0.0,0.0,0.0,0.0,0.01833337,0.0,0.89,0.89,0.055,0.022000000000000002,73
Q55,0.031428540000000005,0.0,0.0,0.0,0.0,0.01833337,0.0,0.89,0.89,0.055,0.022000000000000002,74
Q133,0.028666650000000002,0.0,0.0,0.0,0.0,0.0175,0.0,0.92,0.92,0.055,0.02,75
Q105,0.028095210000000002,0.0,0.0,0.0,0.0,0.01666668,0.0,0.91,0.91,0.07,0.018000000000000002,76
Q158,0.022000000000000002,0.0,0.0,0.0,0.0,0.01416666,0.0,0.95,0.95,0.035,0.01666665,77
Q96,0.018000000000000002,0.0,0.0,0.0,0.0,0.00999999,0.0,0.91,0.91,0.045,0.01125,78
Q24,0.01777776,0.0,0.0,0.0,0.0,0.01,0.0,0.92,0.92,0.08,0.01,79
Q124,0.01333334,0.0,0.0,0.0,0.0,0.01,0.0,0.98,0.98,0.01,0.02,80
Q98,0.01333334,0.0,0.0,0.0,0.0,0.01,0.0,0.98,0.98,0.01,0.02,81
Q97,0.01285713,0.0,0.0,0.0,0.0,0.0076666699999999996,0.0,0.96,0.96,0.035,0.008,82
Q57,0.011666669999999999,0.0,0.0,0.0,0.0,0.00833333,0.0,0.98,0.98,0.015,0.01,83
Q118,0.01,0.0,0.0,0.0,0.0,0.00666666,0.0,0.98,0.98,0.01,0.01,84
Q16,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.99,0.99,0.01,0.01,85
Q19,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.99,0.99,0.01,0.01,86
Q28,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.99,0.99,0.01,0.01,87
Q121,0.00999999,0.0,0.0,0.0,0.0,0.006000000000000001,0.0,0.97,0.97,0.03,0.006000000000000001,88
Q103,0.008571420000000001,0.0,0.0,0.0,0.0,0.00500001,0.0,0.97,0.97,0.03,0.00500001,89
Q147,0.007301580000000001,0.0,0.0,0.0,0.0,0.0045238100000000005,0.0,0.98,0.98,0.016666669999999998,0.005,90
Q64,0.00666667,0.0,0.0,0.0,0.0,0.005,0.0,0.99,0.99,0.005,0.01,91
Q67,0.00666667,0.0,0.0,0.0,0.0,0.005,0.0,0.99,0.99,0.005,0.01,92
Q148,0.00472222,0.0,0.0,0.0,0.0,0.00267857,0.0,0.98,0.98,0.015,0.00285714,93
Q150,0.00333333,0.0,0.0,0.0,0.0,0.002,0.0,0.99,0.99,0.01,0.002,94
Q156,0.00333333,0.0,0.0,0.0,0.0,0.002,0.0,0.99,0.99,0.005,0.0025,95
Q74,0.00333333,0.0,0.0,0.0,0.0,0.002,0.0,0.99,0.99,0.005,0.0025,96
Q10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,97
Q101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,98
Q11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,99
Q110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100
Q12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,101
Q122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,102
Q13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,103
Q14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,104
Q142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,105
Q149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,106
Q151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,107
Q152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,108
Q153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,109
Q17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,110
Q18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,111
Q20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,112
Q22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,113
Q23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,114
Q26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,115
Q27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,116
Q29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,117
Q3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,118
Q31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,119
Q32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,120
Q34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,121
Q35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,122
Q37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,123
Q38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,124
Q39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,125
Q4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,126
Q41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,127
Q42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,128
Q43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,129
Q44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,130
Q45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,131
Q46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,132
Q47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,133
Q49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,134
Q5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,135
Q50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,136
Q51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,137
Q53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,138
Q54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,139
Q56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,140
Q58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,141
Q59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,142
Q6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,143
Q60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,144
Q61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,145
Q62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,146
Q63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,147
Q65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,148
Q66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,149
Q68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,150
Q69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,151
Q7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,152
Q70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,153
Q72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,154
Q73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,155
Q75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,156
Q84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,157
Q85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,158
Q86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,159
Q88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,160
Q9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,161
Q91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,162
Q99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,163
