question_id	n_runs	edge_count_mean	edge_count_var	edge_count_std	abstention_rate	predicate_set_stability	triple_set_stability
Q121	25	0.0	0.0	0.0	1.0	1.0	1.0
Q122	25	0.0	0.0	0.0	1.0	1.0	1.0
Q123	25	1.0	0.0	0.0	0.0	0.37333333333333335	0.37333333333333335
Q124	25	0.28	0.2016	0.44899888641287294	0.72	0.56	0.56
Q125	25	0.72	0.2016	0.44899888641287294	0.28	0.36333333333333334	0.36333333333333334
Q126	25	0.88	0.1056	0.32496153618543844	0.12	0.71	0.71
Q127	25	0.96	0.038400000000000004	0.19595917942265426	0.04	0.42333333333333334	0.42333333333333334
Q128	25	0.6	0.24	0.4898979485566356	0.4	0.38	0.38
Q129	25	0.64	0.2304	0.48	0.36	0.29	0.29
Q13	25	0.0	0.0	0.0	1.0	1.0	1.0
Q130	25	0.28	0.2016	0.44899888641287294	0.72	0.56	0.56
Q131	25	0.76	0.18239999999999998	0.4270831300812524	0.24	0.62	0.62
Q132	25	0.88	0.1056	0.32496153618543844	0.12	0.43333333333333335	0.43333333333333335
Q133	25	0.88	0.1056	0.32496153618543844	0.12	0.43333333333333335	0.43333333333333335
Q134	25	0.96	0.038400000000000004	0.19595917942265426	0.04	0.6033333333333334	0.6033333333333334
Q135	25	0.6	0.24	0.4898979485566356	0.4	0.5	0.5
Q136	25	0.64	0.2304	0.48	0.36	0.4266666666666667	0.4266666666666667
Q137	25	1.0	0.0	0.0	0.0	1.0	0.5466666666666666
Q138	25	0.96	0.038400000000000004	0.19595917942265426	0.04	0.92	0.7733333333333333
Q139	25	0.96	0.038400000000000004	0.19595917942265426	0.04	0.92	0.44333333333333336
Q14	25	0.0	0.0	0.0	1.0	1.0	1.0
Q140	25	1.0	0.0	0.0	0.0	0.6666666666666666	0.6666666666666666
Q141	25	0.92	0.0736	0.2712931993250107	0.08	0.8466666666666667	0.7733333333333333
Q142	25	0.04	0.0384	0.19595917942265423	0.96	0.92	0.92
Q143	25	1.0	0.0	0.0	0.0	1.0	1.0
Q144	25	1.0	0.0	0.0	0.0	1.0	0.48
Q145	25	1.0	0.0	0.0	0.0	1.0	0.52
Q146	25	1.0	0.0	0.0	0.0	1.0	0.92
Q147	25	0.0	0.0	0.0	1.0	1.0	1.0
Q148	25	0.0	0.0	0.0	1.0	1.0	1.0
Q149	25	0.0	0.0	0.0	1.0	1.0	1.0
Q15	25	1.0	0.0	0.0	0.0	1.0	0.62
Q150	25	0.0	0.0	0.0	1.0	1.0	1.0
Q151	25	0.0	0.0	0.0	1.0	1.0	1.0
Q152	25	0.0	0.0	0.0	1.0	1.0	1.0
Q153	25	0.0	0.0	0.0	1.0	1.0	1.0
Q154	25	1.0	0.0	0.0	0.0	0.92	0.92
Q155	25	0.0	0.0	0.0	1.0	1.0	1.0
Q156	25	1.0	0.0	0.0	0.0	0.72	0.72
Q157	25	1.0	0.0	0.0	0.0	0.8433333333333334	0.8433333333333334
Q158	25	1.0	0.0	0.0	0.0	0.6533333333333333	0.6533333333333333
Q159	25	0.6	0.24	0.4898979485566356	0.4	0.35333333333333333	0.35333333333333333
Q16	25	0.0	0.0	0.0	1.0	1.0	1.0
Q160	25	0.88	0.1056	0.32496153618543844	0.12	0.32666666666666666	0.32666666666666666
Q161	25	0.08	0.0736	0.2712931993250107	0.92	0.8466666666666667	0.8466666666666667
Q162	25	0.44	0.2464	0.4963869458396343	0.56	0.42333333333333334	0.42333333333333334
Q163	25	0.28	0.2016	0.44899888641287294	0.72	0.5433333333333333	0.5433333333333333
Q17	25	0.0	0.0	0.0	1.0	1.0	1.0
Q18	25	0.0	0.0	0.0	1.0	1.0	1.0
Q19	25	0.0	0.0	0.0	1.0	1.0	1.0
Q2	25	0.68	0.21760000000000002	0.46647615158762407	0.32	0.5466666666666666	0.4066666666666667
Q20	25	0.0	0.0	0.0	1.0	1.0	1.0
Q21	25	1.0	0.0	0.0	0.0	1.0	1.0
Q22	25	0.44	0.2464	0.4963869458396343	0.56	0.4866666666666667	0.3933333333333333
Q23	25	0.0	0.0	0.0	1.0	1.0	1.0
Q24	25	0.0	0.0	0.0	1.0	1.0	1.0
Q25	25	1.0	0.0	0.0	0.0	1.0	0.58
Q26	25	0.0	0.0	0.0	1.0	1.0	1.0
Q27	25	0.0	0.0	0.0	1.0	1.0	1.0
Q28	25	0.0	0.0	0.0	1.0	1.0	1.0
Q29	25	1.0	0.0	0.0	0.0	1.0	0.8466666666666667
Q3	25	0.0	0.0	0.0	1.0	1.0	1.0
Q30	25	1.0	0.0	0.0	0.0	1.0	1.0
Q31	25	0.0	0.0	0.0	1.0	1.0	1.0
Q32	25	1.0	0.0	0.0	0.0	1.0	0.58
Q33	25	0.64	0.2304	0.48	0.36	0.52	0.52
Q34	25	0.0	0.0	0.0	1.0	1.0	1.0
Q35	25	0.0	0.0	0.0	1.0	1.0	1.0
Q36	25	1.0	0.0	0.0	0.0	1.0	0.5
Q37	25	0.0	0.0	0.0	1.0	1.0	1.0
Q38	25	0.0	0.0	0.0	1.0	1.0	1.0
Q39	25	0.0	0.0	0.0	1.0	1.0	1.0
Q4	25	0.0	0.0	0.0	1.0	1.0	1.0
Q40	25	1.0	0.0	0.0	0.0	1.0	0.6666666666666666
Q41	25	0.0	0.0	0.0	1.0	1.0	1.0
Q42	25	0.0	0.0	0.0	1.0	1.0	1.0
Q43	25	0.0	0.0	0.0	1.0	1.0	1.0
Q44	25	0.92	0.0736	0.2712931993250107	0.08	0.8466666666666667	0.44666666666666666
Q45	25	0.0	0.0	0.0	1.0	1.0	1.0
Q46	25	0.0	0.0	0.0	1.0	1.0	1.0
Q47	25	0.0	0.0	0.0	1.0	1.0	1.0
Q48	25	0.16	0.13439999999999996	0.36660605559646714	0.84	0.71	0.71
Q49	25	0.0	0.0	0.0	1.0	1.0	1.0
Q5	25	0.0	0.0	0.0	1.0	1.0	1.0
Q50	25	1.0	0.0	0.0	0.0	1.0	0.52
Q51	25	0.0	0.0	0.0	1.0	1.0	1.0
Q52	25	0.92	0.0736	0.2712931993250107	0.08	0.7733333333333333	0.49
Q53	25	0.0	0.0	0.0	1.0	1.0	1.0
Q54	25	0.04	0.0384	0.19595917942265423	0.96	0.92	0.92
Q55	25	0.96	0.038400000000000004	0.19595917942265426	0.04	0.92	0.6033333333333334
Q56	25	0.0	0.0	0.0	1.0	1.0	1.0
Q57	25	0.08	0.0736	0.2712931993250107	0.92	0.8433333333333334	0.8433333333333334
Q58	25	0.0	0.0	0.0	1.0	1.0	1.0
Q59	25	0.0	0.0	0.0	1.0	1.0	1.0
Q6	25	0.0	0.0	0.0	1.0	1.0	1.0
Q60	25	0.0	0.0	0.0	1.0	1.0	1.0
Q61	25	0.0	0.0	0.0	1.0	1.0	1.0
Q62	25	0.0	0.0	0.0	1.0	1.0	1.0
Q63	25	0.0	0.0	0.0	1.0	1.0	1.0
Q64	25	0.2	0.16000000000000003	0.4	0.8	0.6466666666666666	0.6466666666666666
Q65	25	0.0	0.0	0.0	1.0	1.0	1.0
Q66	25	0.04	0.0384	0.19595917942265423	0.96	0.92	0.92
Q67	25	0.04	0.0384	0.19595917942265423	0.96	0.92	0.92
Q68	25	0.0	0.0	0.0	1.0	1.0	1.0
Q69	25	0.0	0.0	0.0	1.0	1.0	1.0
Q7	25	0.0	0.0	0.0	1.0	1.0	1.0
Q70	25	0.0	0.0	0.0	1.0	1.0	1.0
Q71	25	1.0	0.0	0.0	0.0	1.0	0.5466666666666666
Q72	25	1.0	0.0	0.0	0.0	0.8466666666666667	0.5466666666666666
Q73	25	0.0	0.0	0.0	1.0	1.0	1.0
Q74	25	0.0	0.0	0.0	1.0	1.0	1.0
Q75	25	0.72	0.2016	0.44899888641287294	0.28	0.58	0.31333333333333335
Q76	25	1.0	0.0	0.0	0.0	1.0	0.6666666666666666
Q77	25	1.0	0.0	0.0	0.0	1.0	0.48
Q78	25	1.0	0.0	0.0	0.0	1.0	0.72
Q79	25	0.72	0.2016	0.44899888641287294	0.28	0.58	0.31
Q8	25	0.92	0.0736	0.2712931993250107	0.08	0.8466666666666667	0.47333333333333333
Q80	25	0.12	0.1056	0.32496153618543844	0.88	0.78	0.7733333333333333
Q81	25	0.76	0.18239999999999998	0.4270831300812524	0.24	0.56	0.32
Q82	25	1.0	0.0	0.0	0.0	1.0	1.0
Q83	25	0.8	0.16	0.4	0.2	0.6666666666666666	0.36333333333333334
Q84	25	0.84	0.1344	0.3666060555964672	0.16	0.72	0.42
Q85	25	1.0	0.0	0.0	0.0	1.0	0.6666666666666666
Q86	25	0.0	0.0	0.0	1.0	1.0	1.0
Q87	25	0.36	0.2304	0.48	0.64	0.52	0.52
Q88	25	1.0	0.0	0.0	0.0	1.0	1.0
Q89	25	0.2	0.16000000000000003	0.4	0.8	0.6666666666666666	0.6666666666666666
Q9	25	1.0	0.0	0.0	0.0	1.0	0.8466666666666667
Q90	25	1.0	0.0	0.0	0.0	1.0	1.0
Q91	25	0.0	0.0	0.0	1.0	1.0	1.0
Q92	25	0.52	0.24960000000000002	0.4995998398718719	0.48	0.32666666666666666	0.32666666666666666
Q93	25	0.28	0.2016	0.44899888641287294	0.72	0.53	0.53
Q94	25	0.0	0.0	0.0	1.0	1.0	1.0
Q95	25	0.0	0.0	0.0	1.0	1.0	1.0
Q96	25	0.72	0.2016	0.44899888641287294	0.28	0.58	0.31333333333333335
Q97	25	0.0	0.0	0.0	1.0	1.0	1.0
Q98	25	0.28	0.2016	0.44899888641287294	0.72	0.58	0.5466666666666666
Q99	25	0.16	0.13439999999999996	0.36660605559646714	0.84	0.72	0.71
