question_id	n_runs_x	edge_count_mean	edge_count_var	edge_count_std	abstention_rate	predicate_set_stability	triple_set_stability	n_runs_y	mean_gpt_edges	mean_matched_edges	kg_edges	mean_precision	mean_recall	mean_f1	match_rate	gpt_edge_rate
Q110	100	1.14	0.1604	0.4004996878900157	0.02	0.8093939393939392	0.8093939393939392	100	1.14	0.0	3.0	0.0	0.0	0.0	0.0	0.98
Q111	100	1.14	0.22039999999999998	0.4694677837722201	0.05	0.7581818181818182	0.7581818181818182	100	1.14	0.0	1.0	0.0	0.0	0.0	0.0	0.95
Q112	100	1.26	0.2324	0.482078831727758	0.0	0.5401010101010112	0.5401010101010112	100	1.26	0.04	7.0	0.02	0.0057142857142857	0.0088888888888888	0.04	1.0
Q113	100	1.22	0.2916	0.54	0.0	0.6324309764309778	0.6324309764309778	100	1.22	0.03	8.0	0.015	0.00375	0.006	0.03	1.0
Q114	100	1.17	0.1411	0.375632799419859	0.0	0.6300336700336704	0.6300336700336704	100	1.17	0.2	7.0	0.135	0.0285714285714285	0.0463888888888888	0.2	1.0
Q115	100	1.25	0.1875	0.4330127018922193	0.0	0.6976094276094295	0.6976094276094295	100	1.25	0.0	5.0	0.0	0.0	0.0	0.0	1.0
Q116	100	1.27	0.19709999999999997	0.4439594576084622	0.0	0.5257912457912467	0.5257912457912467	100	1.27	0.0	8.0	0.0	0.0	0.0	0.0	1.0
Q117	100	1.1	0.09	0.3	0.0	0.6411447811447815	0.6411447811447815	100	1.1	0.0	5.0	0.0	0.0	0.0	0.0	1.0
Q118	100	1.16	0.1344	0.3666060555964672	0.0	0.6919865319865325	0.6919865319865325	100	1.16	0.02	3.0	0.01	0.0066666666666666	0.008	0.02	1.0
Q119	100	1.11	0.2379	0.4877499359302879	0.07	0.5613468013468008	0.5613468013468008	100	1.11	0.0	7.0	0.0	0.0	0.0	0.0	0.93
Q12	100	0.05	0.0475	0.21794494717703367	0.95	0.9032323232323233	0.9032323232323233	100	0.05	0.0	1.0	0.0	0.0	0.0	0.0	0.05
Q120	100	1.03	0.0891	0.298496231131986	0.03	0.7611447811447813	0.7611447811447813	100	1.03	1.0	9.0	0.94	0.1111111111111111	0.1978181818181818	0.94	0.97
Q121	100	0.07	0.06509999999999999	0.25514701644346144	0.93	0.8660606060606061	0.8660606060606061	100	0.07	0.03	9.0	0.03	0.0033333333333333	0.006	0.03	0.07
Q122	100	0.31	0.21389999999999998	0.46249324319388707	0.69	0.5036363636363637	0.5036363636363637	100	0.31	0.0	5.0	0.0	0.0	0.0	0.0	0.31
Q123	100	0.74	0.2324	0.482078831727758	0.28	0.49814814814814806	0.49814814814814806	100	0.74	0.66	5.0	0.65	0.132	0.219047619047619	0.66	0.72
Q124	100	1.17	0.1411	0.375632799419859	0.0	0.48404040404040377	0.48404040404040377	100	1.17	0.0	1.0	0.0	0.0	0.0	0.0	1.0
Q125	100	1.28	0.34159999999999996	0.5844655678480982	0.01	0.6247777777777802	0.6247777777777802	100	1.28	0.0	5.0	0.0	0.0	0.0	0.0	0.99
Q126	100	1.25	0.2075	0.45552167895721496	0.0	0.4184006734006728	0.4184006734006728	100	1.25	0.71	5.0	0.5883333333333334	0.142	0.2248809523809524	0.71	1.0
Q127	100	1.25	0.2275	0.47696960070847283	0.0	0.33360269360269285	0.33360269360269285	100	1.25	0.51	7.0	0.3683333333333333	0.0728571428571428	0.1191111111111111	0.47	1.0
Q128	100	1.34	0.3044	0.5517245689653488	0.02	0.4054208754208732	0.4054208754208732	100	1.34	1.09	6.0	0.795	0.1816666666666666	0.2898809523809523	0.85	0.98
Q129	100	1.3	0.27	0.5196152422706632	0.01	0.6882491582491622	0.6882491582491622	100	1.3	0.03	8.0	0.015	0.00375	0.006	0.03	0.99
Q13	100	0.0	0.0	0.0	1.0	1.0	1.0	100	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Q130	100	1.25	0.1875	0.4330127018922193	0.0	0.5811111111111124	0.5811111111111124	100	1.25	0.3	8.0	0.19	0.0375	0.0617777777777777	0.3	1.0
Q131	100	1.26	0.5124	0.7158212067269312	0.1	0.38122895622895375	0.38122895622895375	100	1.26	0.0	5.0	0.0	0.0	0.0	0.0	0.9
Q132	100	1.14	0.1204	0.34698703145794946	0.0	0.6709427609427611	0.6709427609427611	100	1.14	0.18	7.0	0.135	0.0257142857142857	0.0425	0.18	1.0
Q133	100	1.09	0.0819	0.2861817604250837	0.0	0.7967676767676775	0.7967676767676775	100	1.09	0.08	5.0	0.055	0.016	0.0242857142857142	0.08	1.0
Q134	100	1.2	0.18	0.4242640687119285	0.0	0.6707912457912473	0.6707912457912473	100	1.2	0.21	7.0	0.1316666666666666	0.03	0.0478888888888888	0.2	1.0
Q135	100	0.93	0.1051	0.32419130154894654	0.09	0.6118855218855218	0.6118855218855218	100	0.93	0.0	9.0	0.0	0.0	0.0	0.0	0.91
Q136	100	0.82	0.3676	0.6063002556489647	0.29	0.44033670033670014	0.44033670033670014	100	0.82	0.65	2.0	0.595	0.325	0.415	0.65	0.71
Q137	100	1.26	0.1924	0.4386342439892262	0.0	0.7991919191919187	0.7991919191919187	100	1.26	0.0	5.0	0.0	0.0	0.0	0.0	1.0
Q138	100	1.05	0.1275	0.3570714214271425	0.04	0.8433333333333334	0.8433333333333334	100	1.05	0.0	2.0	0.0	0.0	0.0	0.0	0.96
Q139	100	1.22	0.1716	0.4142463035441596	0.0	0.8081818181818178	0.8081818181818178	100	1.22	0.0	3.0	0.0	0.0	0.0	0.0	1.0
Q14	100	0.0	0.0	0.0	1.0	1.0	1.0	100	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0
Q140	100	1.2	0.16	0.4	0.0	0.8068686868686868	0.8068686868686868	100	1.2	0.0	2.0	0.0	0.0	0.0	0.0	1.0
Q141	100	1.12	0.1056	0.32496153618543844	0.0	0.8757575757575757	0.8757575757575757	100	1.12	0.0	4.0	0.0	0.0	0.0	0.0	1.0
Q142	100	0.21	0.1659	0.40730823708832603	0.79	0.6608080808080808	0.6608080808080808	100	0.21	0.0	2.0	0.0	0.0	0.0	0.0	0.21
Q143	100	1.19	0.1539	0.39230090491866065	0.0	0.8198989898989905	0.8198989898989905	100	1.19	0.0	1.0	0.0	0.0	0.0	0.0	1.0
Q144	100	1.06	0.1764	0.42	0.06	0.7851851851851851	0.7851851851851851	100	1.06	0.0	2.0	0.0	0.0	0.0	0.0	0.94
Q145	100	1.11	0.09789999999999999	0.3128897569432403	0.0	0.9011111111111111	0.9011111111111111	100	1.11	0.0	5.0	0.0	0.0	0.0	0.0	1.0
Q146	100	1.16	0.1344	0.3666060555964672	0.0	0.8453535353535352	0.8453535353535352	100	1.16	0.0	2.0	0.0	0.0	0.0	0.0	1.0
Q147	100	0.04	0.0984	0.31368774282716244	0.98	0.9602693602693604	0.9602693602693604	100	0.04	0.03	6.0	0.0166666666666666	0.005	0.0073015873015873	0.02	0.02
Q148	100	0.07	0.0851	0.2917190429162964	0.94	0.8847474747474747	0.8847474747474747	100	0.07	0.02	7.0	0.015	0.0028571428571428	0.0047222222222222	0.02	0.06
Q149	100	0.0	0.0	0.0	1.0	1.0	1.0	100	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
Q15	100	1.23	0.17709999999999998	0.4208325082500162	0.0	0.8127609427609436	0.8127609427609436	100	1.23	0.0	2.0	0.0	0.0	0.0	0.0	1.0
Q150	100	0.01	0.009899999999999999	0.09949874371066199	0.99	0.98	0.98	100	0.01	0.01	5.0	0.01	0.002	0.0033333333333333	0.01	0.01
Q151	100	0.0	0.0	0.0	1.0	1.0	1.0	100	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Q152	100	0.03	0.029099999999999997	0.1705872210923198	0.97	0.9406060606060606	0.9406060606060606	100	0.03	0.0	2.0	0.0	0.0	0.0	0.0	0.03
Q153	100	0.0	0.0	0.0	1.0	1.0	1.0	100	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0
Q154	100	1.07	0.1051	0.32419130154894654	0.02	0.6352525252525253	0.6352525252525253	100	1.07	0.16	5.0	0.115	0.032	0.049047619047619	0.16	0.98
Q155	100	1.46	0.4084	0.6390618123468182	0.0	0.4746464646464653	0.4746464646464653	100	1.46	0.3	4.0	0.1716666666666667	0.075	0.1008571428571428	0.3	1.0
Q156	100	0.91	0.1219	0.3491418050019218	0.11	0.5939057239057238	0.5939057239057238	100	0.91	0.01	5.0	0.005	0.002	0.0028571428571428	0.01	0.89
Q157	100	1.19	0.1739	0.41701318923986086	0.0	0.6088047138047143	0.6088047138047143	100	1.19	0.84	4.0	0.7483333333333333	0.21	0.3235238095238095	0.84	1.0
Q158	100	1.18	0.1476	0.38418745424597095	0.0	0.749259259259259	0.749259259259259	100	1.18	0.05	4.0	0.035	0.0125	0.018	0.05	1.0
Q159	100	1.01	0.1699	0.41218927691049895	0.07	0.6084511784511796	0.6084511784511796	100	1.01	0.81	5.0	0.7733333333333333	0.162	0.2663095238095238	0.81	0.93
Q16	100	0.35	0.2675	0.51720402163943	0.67	0.46525252525252525	0.46525252525252525	100	0.35	0.01	1.0	0.01	0.01	0.01	0.01	0.33
Q160	100	0.93	0.1451	0.3809199390948182	0.11	0.6672053872053872	0.6672053872053872	100	0.93	0.0	7.0	0.0	0.0	0.0	0.0	0.89
Q161	100	0.9	0.27	0.5196152422706632	0.18	0.3834175084175079	0.3834175084175079	100	0.9	0.6	7.0	0.5633333333333334	0.0857142857142857	0.1478333333333333	0.6	0.82
Q162	100	1.12	0.16560000000000002	0.40693979898751614	0.03	0.6280808080808088	0.6280808080808088	100	1.12	0.07	10.0	0.045	0.007	0.0119696969696969	0.07	0.97
Q163	100	1.34	0.2844	0.5332916650389353	0.0	0.5397474747474763	0.5397474747474763	100	1.34	0.84	7.0	0.68	0.12	0.2007222222222222	0.84	1.0
Q17	100	0.1	0.09	0.3	0.9	0.8105050505050505	0.8105050505050505	100	0.1	0.0	1.0	0.0	0.0	0.0	0.0	0.1
Q18	100	0.0	0.0	0.0	1.0	1.0	1.0	100	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Q19	100	0.01	0.009899999999999999	0.09949874371066199	0.99	0.98	0.98	100	0.01	0.01	1.0	0.01	0.01	0.01	0.01	0.01
Q2	100	1.18	0.24760000000000001	0.49759421218498917	0.05	0.7219528619528622	0.7219528619528622	100	1.18	0.0	5.0	0.0	0.0	0.0	0.0	0.95
Q20	100	0.05	0.0875	0.2958039891549808	0.97	0.9408754208754209	0.9408754208754209	100	0.05	0.0	1.0	0.0	0.0	0.0	0.0	0.03
Q21	100	1.16	0.1344	0.3666060555964672	0.0	0.8562962962962969	0.8562962962962969	100	1.16	0.0	2.0	0.0	0.0	0.0	0.0	1.0
Q22	100	1.18	0.1476	0.38418745424597095	0.0	0.8429629629629639	0.8429629629629639	100	1.18	0.0	1.0	0.0	0.0	0.0	0.0	1.0
Q23	100	0.0	0.0	0.0	1.0	1.0	1.0	100	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Q24	100	0.17	0.1411	0.375632799419859	0.83	0.695959595959596	0.695959595959596	100	0.17	0.08	8.0	0.08	0.01	0.0177777777777777	0.08	0.17
Q25	100	1.23	0.17709999999999998	0.4208325082500162	0.0	0.8044107744107752	0.8044107744107752	100	1.23	0.0	4.0	0.0	0.0	0.0	0.0	1.0
Q26	100	0.08	0.0736	0.2712931993250107	0.92	0.8466666666666667	0.8466666666666667	100	0.08	0.0	4.0	0.0	0.0	0.0	0.0	0.08
Q27	100	0.0	0.0	0.0	1.0	1.0	1.0	100	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
Q28	100	0.15	0.1875	0.4330127018922193	0.88	0.7787205387205388	0.7787205387205388	100	0.15	0.01	1.0	0.01	0.01	0.01	0.01	0.12
Q29	100	1.16	0.1344	0.3666060555964672	0.0	0.8587205387205393	0.8587205387205393	100	1.16	0.0	1.0	0.0	0.0	0.0	0.0	1.0
Q3	100	0.1	0.09	0.3	0.9	0.8117171717171717	0.8117171717171717	100	0.1	0.0	1.0	0.0	0.0	0.0	0.0	0.1
Q30	100	1.11	0.2579	0.5078385570237849	0.08	0.6941414141414145	0.6941414141414145	100	1.11	0.0	2.0	0.0	0.0	0.0	0.0	0.92
Q31	100	0.0	0.0	0.0	1.0	1.0	1.0	100	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
Q32	100	1.19	0.1539	0.39230090491866065	0.0	0.8324242424242438	0.8324242424242438	100	1.19	0.0	1.0	0.0	0.0	0.0	0.0	1.0
Q33	100	1.16	0.1344	0.3666060555964672	0.0	0.8573737373737368	0.8573737373737368	100	1.16	0.0	5.0	0.0	0.0	0.0	0.0	1.0
Q34	100	0.0	0.0	0.0	1.0	1.0	1.0	100	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
Q35	100	0.0	0.0	0.0	1.0	1.0	1.0	100	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
Q36	100	1.14	0.1204	0.34698703145794946	0.0	0.8783838383838384	0.8783838383838384	100	1.14	0.0	2.0	0.0	0.0	0.0	0.0	1.0
Q37	100	0.0	0.0	0.0	1.0	1.0	1.0	100	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
Q38	100	0.08	0.0736	0.2712931993250107	0.92	0.8482828282828283	0.8482828282828283	100	0.08	0.0	1.0	0.0	0.0	0.0	0.0	0.08
Q39	100	0.0	0.0	0.0	1.0	1.0	1.0	100	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Q4	100	0.0	0.0	0.0	1.0	1.0	1.0	100	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
Q40	100	1.14	0.1404	0.3746998799039039	0.01	0.8476094276094286	0.8476094276094286	100	1.14	0.0	2.0	0.0	0.0	0.0	0.0	0.99
Q41	100	0.01	0.009899999999999999	0.09949874371066199	0.99	0.98	0.98	100	0.01	0.0	1.0	0.0	0.0	0.0	0.0	0.01
Q42	100	0.11	0.11789999999999999	0.3433656942677879	0.9	0.8123232323232323	0.8123232323232323	100	0.11	0.0	1.0	0.0	0.0	0.0	0.0	0.1
Q43	100	0.09	0.1419	0.37669616403674727	0.94	0.8835690235690234	0.8835690235690234	100	0.09	0.0	1.0	0.0	0.0	0.0	0.0	0.06
Q44	100	1.15	0.1475	0.3840572873934304	0.01	0.8438383838383842	0.8438383838383842	100	1.15	0.0	1.0	0.0	0.0	0.0	0.0	0.99
Q45	100	0.01	0.009899999999999999	0.09949874371066199	0.99	0.98	0.98	100	0.01	0.0	2.0	0.0	0.0	0.0	0.0	0.01
Q46	100	0.13	0.1131	0.33630343441600474	0.87	0.7591919191919192	0.7591919191919192	100	0.13	0.0	1.0	0.0	0.0	0.0	0.0	0.13
Q47	100	0.01	0.009899999999999999	0.09949874371066199	0.99	0.98	0.98	100	0.01	0.0	1.0	0.0	0.0	0.0	0.0	0.01
Q48	100	1.06	0.3564	0.596992462263972	0.15	0.29097643097643056	0.29097643097643056	100	1.06	0.13	2.0	0.095	0.065	0.075	0.13	0.85
Q49	100	0.01	0.009899999999999999	0.09949874371066199	0.99	0.98	0.98	100	0.01	0.0	7.0	0.0	0.0	0.0	0.0	0.01
Q5	100	0.01	0.009899999999999999	0.09949874371066199	0.99	0.98	0.98	100	0.01	0.0	7.0	0.0	0.0	0.0	0.0	0.01
Q50	100	1.24	0.18239999999999998	0.4270831300812524	0.0	0.8005387205387219	0.8005387205387219	100	1.24	0.0	1.0	0.0	0.0	0.0	0.0	1.0
Q51	100	0.0	0.0	0.0	1.0	1.0	1.0	100	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Q52	100	1.1	0.11	0.33166247903553997	0.01	0.8797979797979798	0.8797979797979798	100	1.1	0.0	2.0	0.0	0.0	0.0	0.0	0.99
Q53	100	0.01	0.009899999999999999	0.09949874371066199	0.99	0.98	0.98	100	0.01	0.0	2.0	0.0	0.0	0.0	0.0	0.01
Q54	100	0.15	0.12749999999999997	0.3570714214271425	0.85	0.7262626262626263	0.7262626262626263	100	0.15	0.0	1.0	0.0	0.0	0.0	0.0	0.15
Q55	100	1.1	0.19	0.43588989435406733	0.05	0.7762289562289576	0.7762289562289576	100	1.1	0.0	5.0	0.0	0.0	0.0	0.0	0.95
Q56	100	0.0	0.0	0.0	1.0	1.0	1.0	100	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0
Q57	100	0.51	0.5299	0.7279423054061359	0.61	0.40038720538720485	0.40038720538720485	100	0.51	0.02	2.0	0.015	0.01	0.0116666666666666	0.02	0.39
Q58	100	0.0	0.0	0.0	1.0	1.0	1.0	100	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
Q59	100	0.12	0.1656	0.4069397989875161	0.91	0.8302356902356901	0.8302356902356901	100	0.12	0.0	1.0	0.0	0.0	0.0	0.0	0.09
Q6	100	0.0	0.0	0.0	1.0	1.0	1.0	100	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Q60	100	0.0	0.0	0.0	1.0	1.0	1.0	100	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0
Q61	100	0.46	0.4484	0.6696267617113283	0.63	0.42062289562289557	0.42062289562289557	100	0.46	0.0	1.0	0.0	0.0	0.0	0.0	0.37
Q62	100	0.01	0.009899999999999999	0.09949874371066199	0.99	0.98	0.98	100	0.01	0.0	1.0	0.0	0.0	0.0	0.0	0.01
Q63	100	0.14	0.1404	0.3746998799039039	0.87	0.7613131313131313	0.7613131313131313	100	0.14	0.0	1.0	0.0	0.0	0.0	0.0	0.13
Q64	100	0.21	0.2659	0.5156549233741495	0.84	0.7095959595959596	0.7095959595959596	100	0.21	0.01	1.0	0.005	0.01	0.0066666666666666	0.01	0.16
Q65	100	0.01	0.009899999999999999	0.09949874371066199	0.99	0.98	0.98	100	0.01	0.0	4.0	0.0	0.0	0.0	0.0	0.01
Q66	100	0.13	0.1331	0.36482872693909396	0.88	0.7762626262626262	0.7762626262626262	100	0.13	0.0	1.0	0.0	0.0	0.0	0.0	0.12
Q67	100	0.42	0.3636000000000001	0.6029925372672534	0.64	0.4481481481481482	0.4481481481481482	100	0.42	0.01	1.0	0.005	0.01	0.0066666666666666	0.01	0.36
Q68	100	0.17	0.20110000000000003	0.4484417464955733	0.86	0.7462962962962962	0.7462962962962962	100	0.17	0.0	2.0	0.0	0.0	0.0	0.0	0.14
Q69	100	0.08	0.09359999999999999	0.3059411708155671	0.93	0.8662626262626263	0.8662626262626263	100	0.08	0.0	2.0	0.0	0.0	0.0	0.0	0.07
Q7	100	0.18	0.16760000000000003	0.40938978980917445	0.83	0.6935353535353536	0.6935353535353536	100	0.18	0.0	1.0	0.0	0.0	0.0	0.0	0.17
Q70	100	0.25	0.2675	0.51720402163943	0.79	0.6321548821548822	0.6321548821548822	100	0.25	0.0	1.0	0.0	0.0	0.0	0.0	0.21
Q71	100	1.26	0.1924	0.4386342439892262	0.0	0.7888215488215503	0.7888215488215503	100	1.26	0.0	2.0	0.0	0.0	0.0	0.0	1.0
Q72	100	1.18	0.1476	0.38418745424597095	0.0	0.8405387205387215	0.8405387205387215	100	1.18	0.0	1.0	0.0	0.0	0.0	0.0	1.0
Q73	100	0.0	0.0	0.0	1.0	1.0	1.0	100	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0
Q74	100	0.1	0.11	0.33166247903553997	0.91	0.8290909090909091	0.8290909090909091	100	0.1	0.01	4.0	0.005	0.0025	0.0033333333333333	0.01	0.09
Q75	100	1.1	0.13	0.36055512754639896	0.02	0.8374074074074076	0.8374074074074076	100	1.1	0.0	3.0	0.0	0.0	0.0	0.0	0.98
Q76	100	1.24	0.18239999999999998	0.4270831300812524	0.0	0.8049831649831665	0.8049831649831665	100	1.24	0.0	2.0	0.0	0.0	0.0	0.0	1.0
Q77	100	1.24	0.18239999999999998	0.4270831300812524	0.0	0.7963636363636385	0.7963636363636385	100	1.24	0.0	5.0	0.0	0.0	0.0	0.0	1.0
Q78	100	1.13	0.1531	0.39127995093027707	0.02	0.832760942760943	0.832760942760943	100	1.13	0.0	2.0	0.0	0.0	0.0	0.0	0.98
Q79	100	1.15	0.3475	0.5894913061275798	0.11	0.6220875420875431	0.6220875420875431	100	1.15	0.0	3.0	0.0	0.0	0.0	0.0	0.89
Q8	100	1.06	0.2564	0.5063595560468865	0.1	0.6933333333333334	0.6933333333333334	100	1.06	0.0	5.0	0.0	0.0	0.0	0.0	0.9
Q80	100	1.1	0.35	0.5916079783099616	0.13	0.5917171717171725	0.5917171717171725	100	1.1	0.0	2.0	0.0	0.0	0.0	0.0	0.87
Q81	100	1.2	0.2	0.4472135954999579	0.02	0.7795286195286203	0.7795286195286203	100	1.2	0.0	2.0	0.0	0.0	0.0	0.0	0.98
Q82	100	1.08	0.0736	0.2712931993250107	0.0	0.9072727272727272	0.9072727272727272	100	1.08	0.0	3.0	0.0	0.0	0.0	0.0	1.0
Q83	100	1.08	0.1536	0.39191835884530846	0.04	0.8022558922558926	0.8022558922558926	100	1.08	0.0	3.0	0.0	0.0	0.0	0.0	0.96
Q84	100	1.18	0.2676	0.5173006862551025	0.06	0.6795286195286199	0.6795286195286199	100	1.18	0.0	1.0	0.0	0.0	0.0	0.0	0.94
Q85	100	1.11	0.09789999999999999	0.3128897569432403	0.0	0.8986868686868691	0.8986868686868691	100	1.11	0.0	1.0	0.0	0.0	0.0	0.0	1.0
Q86	100	0.06	0.0564	0.23748684174075835	0.94	0.8842424242424243	0.8842424242424243	100	0.06	0.0	1.0	0.0	0.0	0.0	0.0	0.06
Q87	100	1.1	0.09	0.3	0.0	0.6227272727272727	0.6227272727272727	100	1.1	0.82	5.0	0.77	0.164	0.2685714285714286	0.82	1.0
Q88	100	1.1	0.15	0.3872983346207417	0.03	0.8124242424242423	0.8124242424242423	100	1.1	0.0	3.0	0.0	0.0	0.0	0.0	0.97
Q89	100	1.0	0.3	0.5477225575051661	0.15	0.583030303030303	0.583030303030303	100	1.0	0.0	3.0	0.0	0.0	0.0	0.0	0.85
Q9	100	0.96	0.35840000000000005	0.5986651818838307	0.2	0.5680808080808089	0.5680808080808089	100	0.96	0.0	4.0	0.0	0.0	0.0	0.0	0.8
Q90	100	1.22	0.1716	0.4142463035441596	0.0	0.8266666666666667	0.8266666666666667	100	1.22	0.0	3.0	0.0	0.0	0.0	0.0	1.0
Q91	100	0.0	0.0	0.0	1.0	1.0	1.0	100	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
Q92	100	0.65	0.5075000000000001	0.7123903424387504	0.49	0.34326599326599294	0.34326599326599294	100	0.65	0.35	5.0	0.29	0.07	0.1109523809523809	0.35	0.51
Q93	100	1.21	0.2059	0.4537620521815371	0.01	0.6653535353535345	0.6653535353535345	100	1.21	0.91	5.0	0.8033333333333332	0.182	0.2929761904761905	0.91	0.99
Q94	100	0.96	0.15839999999999999	0.39799497484264795	0.1	0.3679797979797979	0.3679797979797979	100	0.96	0.6	3.0	0.57	0.2	0.294	0.6	0.9
Q95	100	0.4	0.26	0.5099019513592785	0.61	0.42464646464646466	0.42464646464646466	100	0.4	0.0	7.0	0.0	0.0	0.0	0.0	0.39
Q96	100	1.08	0.09359999999999999	0.3059411708155671	0.01	0.8981818181818182	0.8981818181818182	100	1.08	0.0	8.0	0.0	0.0	0.0	0.0	0.99
Q97	100	0.21	0.1859	0.431161222746202	0.8	0.6620202020202021	0.6620202020202021	100	0.21	0.0	5.0	0.0	0.0	0.0	0.0	0.2
Q98	100	0.11	0.15789999999999998	0.3973663297261105	0.92	0.8484175084175085	0.8484175084175085	100	0.11	0.0	1.0	0.0	0.0	0.0	0.0	0.08
Q99	100	0.0	0.0	0.0	1.0	1.0	1.0	100	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0
