prompt_version,question_id,n_runs,mean_precision,mean_recall,mean_jaccard,mean_f1,mean_pred_n,gold_n
v2,Q122,25,0.0,0.0,0.0,0.0,0.44,5
v2,Q123,25,0.16,0.04,0.04,0.064,0.96,4
v2,Q124,25,0.0,0.0,0.0,0.0,1.0,1
v2,Q125,25,0.52,0.13,0.13,0.20800000000000002,1.0,4
v2,Q126,25,0.36,0.09,0.09,0.14400000000000002,1.0,4
v2,Q127,25,0.56,0.09333333333333332,0.09333333333333332,0.16,1.0,6
v2,Q128,25,0.64,0.21333333333333332,0.21333333333333332,0.32,1.0,3
v2,Q129,25,0.36,0.05142857142857142,0.05142857142857142,0.09,1.0,7
v2,Q13,25,0.04,0.04,0.04,0.04,0.08,1
v2,Q130,25,0.8,0.13333333333333333,0.13333333333333333,0.22857142857142854,1.0,6
v2,Q131,25,0.72,0.18,0.18,0.28800000000000003,1.0,4
v2,Q132,25,0.44,0.07333333333333333,0.07333333333333333,0.12571428571428572,1.0,6
v2,Q133,25,0.08,0.02,0.02,0.032,0.32,4
v2,Q134,25,0.32,0.05333333333333333,0.05333333333333333,0.09142857142857143,1.0,6
v2,Q135,25,0.4,0.05,0.05,0.08888888888888889,0.48,8
v2,Q136,25,0.2,0.2,0.2,0.2,1.0,1
v2,Q137,25,0.0,0.0,0.0,0.0,1.0,5
v2,Q138,25,0.0,0.0,0.0,0.0,1.0,2
v2,Q139,25,0.0,0.0,0.0,0.0,1.0,3
v2,Q14,25,0.0,0.0,0.0,0.0,0.0,6
v2,Q140,25,0.0,0.0,0.0,0.0,1.0,2
v2,Q141,25,0.0,0.0,0.0,0.0,1.0,4
v2,Q142,25,0.0,0.0,0.0,0.0,0.88,2
v2,Q143,25,0.0,0.0,0.0,0.0,1.0,1
v2,Q144,25,0.0,0.0,0.0,0.0,1.0,2
v2,Q145,25,0.0,0.0,0.0,0.0,1.0,5
v2,Q146,25,0.0,0.0,0.0,0.0,1.0,2
v2,Q147,25,0.16,0.026666666666666665,0.026666666666666665,0.045714285714285714,0.68,6
v2,Q148,25,0.04,0.005714285714285714,0.005714285714285714,0.01,0.96,7
v2,Q149,25,0.0,0.0,0.0,0.0,0.36,1
v2,Q15,25,0.0,0.0,0.0,0.0,1.0,2
v2,Q150,25,0.36,0.07200000000000001,0.07200000000000001,0.12000000000000002,0.8,5
v2,Q151,25,0.0,0.0,0.0,0.0,0.16,1
v2,Q152,25,0.0,0.0,0.0,0.0,0.88,2
v2,Q153,25,0.0,0.0,0.0,0.0,0.0,8
v2,Q154,25,0.36,0.12,0.12,0.18,1.0,3
v2,Q155,25,0.44,0.14666666666666667,0.14666666666666667,0.22,1.0,3
v2,Q156,25,0.0,0.0,0.0,0.0,1.0,4
v2,Q157,25,0.32,0.16,0.16,0.21333333333333332,1.0,2
v2,Q158,25,0.0,0.0,0.0,0.0,1.0,3
v2,Q159,25,0.04,0.01,0.01,0.016,1.0,4
v2,Q16,25,0.0,0.0,0.0,0.0,1.0,1
v2,Q160,25,0.64,0.10666666666666666,0.10666666666666666,0.18285714285714286,0.96,6
v2,Q161,25,0.32,0.064,0.064,0.10666666666666667,0.64,5
v2,Q162,25,0.2,0.025,0.025,0.044444444444444446,1.0,8
v2,Q163,25,0.28,0.05600000000000001,0.05600000000000001,0.09333333333333334,1.0,5
v2,Q17,25,0.0,0.0,0.0,0.0,1.0,1
v2,Q18,25,0.0,0.0,0.0,0.0,0.0,1
v2,Q19,25,0.0,0.0,0.0,0.0,0.04,1
v2,Q2,25,0.0,0.0,0.0,0.0,1.0,5
v2,Q20,25,0.0,0.0,0.0,0.0,1.0,1
v2,Q21,25,0.0,0.0,0.0,0.0,1.0,2
v2,Q22,25,0.0,0.0,0.0,0.0,1.0,1
v2,Q23,25,0.0,0.0,0.0,0.0,0.4,1
v2,Q24,25,0.0,0.0,0.0,0.0,0.68,8
v2,Q25,25,0.0,0.0,0.0,0.0,1.0,4
v2,Q26,25,0.0,0.0,0.0,0.0,0.08,4
v2,Q27,25,0.0,0.0,0.0,0.0,0.0,2
v2,Q28,25,0.0,0.0,0.0,0.0,1.0,1
v2,Q29,25,0.0,0.0,0.0,0.0,1.0,1
v2,Q3,25,0.0,0.0,0.0,0.0,0.6,1
v2,Q30,25,0.0,0.0,0.0,0.0,1.0,2
v2,Q31,25,0.0,0.0,0.0,0.0,0.4,2
v2,Q32,25,0.0,0.0,0.0,0.0,1.0,1
v2,Q33,25,0.0,0.0,0.0,0.0,1.0,5
v2,Q34,25,0.0,0.0,0.0,0.0,0.12,3
v2,Q35,25,0.0,0.0,0.0,0.0,0.0,2
v2,Q36,25,0.0,0.0,0.0,0.0,1.0,2
v2,Q37,25,0.0,0.0,0.0,0.0,0.0,2
v2,Q38,25,0.0,0.0,0.0,0.0,1.0,1
v2,Q39,25,0.0,0.0,0.0,0.0,0.04,1
v2,Q4,25,0.0,0.0,0.0,0.0,0.0,3
v2,Q40,25,0.04,0.02,0.02,0.026666666666666665,1.0,2
v2,Q41,25,0.0,0.0,0.0,0.0,0.52,1
v2,Q42,25,0.0,0.0,0.0,0.0,1.0,1
v2,Q43,25,0.0,0.0,0.0,0.0,1.0,1
v2,Q44,25,0.0,0.0,0.0,0.0,1.0,1
v2,Q45,25,0.0,0.0,0.0,0.0,0.52,2
v2,Q46,25,0.0,0.0,0.0,0.0,1.0,1
v2,Q47,25,0.0,0.0,0.0,0.0,0.24,1
v2,Q48,25,0.04,0.02,0.02,0.026666666666666665,1.0,2
v2,Q49,25,0.0,0.0,0.0,0.0,0.16,7
v2,Q5,25,0.0,0.0,0.0,0.0,0.0,7
v2,Q50,25,0.0,0.0,0.0,0.0,1.0,1
v2,Q51,25,0.0,0.0,0.0,0.0,0.92,1
v2,Q52,25,0.0,0.0,0.0,0.0,1.0,2
v2,Q53,25,0.0,0.0,0.0,0.0,0.0,2
v2,Q54,25,0.0,0.0,0.0,0.0,1.0,1
v2,Q55,25,0.0,0.0,0.0,0.0,1.0,5
v2,Q56,25,0.0,0.0,0.0,0.0,0.0,9
v2,Q57,25,0.0,0.0,0.0,0.0,1.0,2
v2,Q58,25,0.0,0.0,0.0,0.0,0.0,2
v2,Q59,25,0.0,0.0,0.0,0.0,0.76,1
v2,Q6,25,0.0,0.0,0.0,0.0,0.0,1
v2,Q60,25,0.0,0.0,0.0,0.0,0.0,8
v2,Q61,25,0.0,0.0,0.0,0.0,1.0,1
v2,Q62,25,0.0,0.0,0.0,0.0,0.32,1
v2,Q63,25,0.0,0.0,0.0,0.0,0.52,1
v2,Q64,25,0.0,0.0,0.0,0.0,1.0,1
v2,Q65,25,0.0,0.0,0.0,0.0,0.0,4
v2,Q66,25,0.0,0.0,0.0,0.0,1.0,1
v2,Q67,25,0.04,0.04,0.04,0.04,1.0,1
v2,Q68,25,0.0,0.0,0.0,0.0,1.0,2
v2,Q69,25,0.0,0.0,0.0,0.0,0.88,2
v2,Q7,25,0.0,0.0,0.0,0.0,1.0,1
v2,Q70,25,0.0,0.0,0.0,0.0,1.0,1
v2,Q71,25,0.0,0.0,0.0,0.0,1.0,2
v2,Q72,25,0.0,0.0,0.0,0.0,1.0,1
v2,Q73,25,0.0,0.0,0.0,0.0,0.0,10
v2,Q74,25,0.04,0.01,0.01,0.016,0.96,4
v2,Q75,25,0.0,0.0,0.0,0.0,1.0,3
v2,Q76,25,0.0,0.0,0.0,0.0,1.0,2
v2,Q77,25,0.0,0.0,0.0,0.0,1.0,5
v2,Q78,25,0.0,0.0,0.0,0.0,1.0,2
v2,Q79,25,0.0,0.0,0.0,0.0,1.0,3
v2,Q8,25,0.0,0.0,0.0,0.0,1.0,5
v2,Q80,25,0.0,0.0,0.0,0.0,1.0,2
v2,Q81,25,0.0,0.0,0.0,0.0,1.0,2
v2,Q82,25,0.0,0.0,0.0,0.0,1.0,3
v2,Q83,25,0.0,0.0,0.0,0.0,1.0,3
v2,Q84,25,0.0,0.0,0.0,0.0,1.0,1
v2,Q85,25,0.0,0.0,0.0,0.0,1.0,1
v2,Q86,25,0.0,0.0,0.0,0.0,0.2,1
v2,Q87,25,0.0,0.0,0.0,0.0,1.0,4
v2,Q88,25,0.0,0.0,0.0,0.0,1.0,3
v2,Q89,25,0.0,0.0,0.0,0.0,1.0,3
v2,Q9,25,0.0,0.0,0.0,0.0,1.0,4
v2,Q90,25,0.0,0.0,0.0,0.0,1.0,3
v2,Q91,25,0.0,0.0,0.0,0.0,0.0,2
v2,Q92,25,0.28,0.07,0.07,0.11200000000000002,1.0,4
v2,Q93,25,0.6,0.2,0.2,0.3,1.0,3
v2,Q94,25,0.24,0.12,0.12,0.16,1.0,2
v2,Q95,25,0.0,0.0,0.0,0.0,0.0,5
v2,Q96,25,0.0,0.0,0.0,0.0,0.88,8
v2,Q97,25,0.0,0.0,0.0,0.0,0.08,5
v2,Q98,25,0.0,0.0,0.0,0.0,0.6,1
v2,Q99,25,0.0,0.0,0.0,0.0,0.08,5
v3,Q1,25,0.0,0.0,0.0,0.0,0.2,2
v3,Q10,25,0.0,0.0,0.0,0.0,0.0,1
v3,Q100,25,0.44,0.22,0.22,0.29333333333333333,0.76,2
v3,Q101,25,0.0,0.0,0.0,0.0,0.0,6
v3,Q102,25,0.08,0.026666666666666665,0.026666666666666665,0.04,0.36,3
v3,Q103,25,0.0,0.0,0.0,0.0,0.0,6
v3,Q104,25,0.08,0.016,0.016,0.02666666666666667,0.96,5
v3,Q105,25,0.0,0.0,0.0,0.0,0.64,5
v3,Q106,25,0.0,0.0,0.0,0.0,0.0,7
v3,Q107,25,0.44,0.07333333333333333,0.07333333333333333,0.12571428571428572,0.52,6
v3,Q108,25,0.0,0.0,0.0,0.0,0.24,4
v3,Q109,25,0.0,0.0,0.0,0.0,0.08,5
v3,Q11,25,0.0,0.0,0.0,0.0,0.0,5
v3,Q110,25,0.0,0.0,0.0,0.0,0.6,3
v3,Q111,25,0.0,0.0,0.0,0.0,0.68,1
v3,Q112,25,0.0,0.0,0.0,0.0,0.0,6
v3,Q113,25,0.08,0.013333333333333332,0.013333333333333332,0.022857142857142857,0.16,6
v3,Q114,25,0.12,0.024000000000000004,0.024000000000000004,0.04,0.48,5
v3,Q115,25,0.08,0.02,0.02,0.032,0.08,4
v3,Q116,25,0.08,0.011428571428571429,0.011428571428571429,0.02,0.36,7
v3,Q117,25,0.04,0.01,0.01,0.016,0.04,4
v3,Q118,25,0.0,0.0,0.0,0.0,0.44,2
v3,Q119,25,0.24,0.04800000000000001,0.04800000000000001,0.08,0.36,5
v3,Q12,25,0.0,0.0,0.0,0.0,0.0,1
v3,Q120,25,0.24,0.04,0.04,0.06857142857142856,0.24,6
v3,Q121,25,0.0,0.0,0.0,0.0,0.0,5
v3,Q122,25,0.0,0.0,0.0,0.0,0.0,5
v3,Q123,25,0.08,0.02,0.02,0.032,0.08,4
v3,Q124,25,0.0,0.0,0.0,0.0,0.32,1
v3,Q125,25,0.04,0.01,0.01,0.016,0.04,4
v3,Q126,25,0.0,0.0,0.0,0.0,0.04,4
v3,Q127,25,0.04,0.006666666666666666,0.006666666666666666,0.011428571428571429,0.08,6
v3,Q128,25,0.44,0.14666666666666667,0.14666666666666667,0.22,0.44,3
v3,Q129,25,0.02,0.005714285714285714,0.005,0.008888888888888889,0.32,7
v3,Q13,25,0.0,0.0,0.0,0.0,0.0,1
v3,Q130,25,0.0,0.0,0.0,0.0,0.08,6
v3,Q131,25,0.0,0.0,0.0,0.0,0.04,4
v3,Q132,25,0.56,0.09333333333333332,0.09333333333333332,0.16,0.64,6
v3,Q133,25,0.04,0.01,0.01,0.016,0.04,4
v3,Q134,25,0.48,0.08,0.08,0.13714285714285712,0.76,6
v3,Q135,25,0.0,0.0,0.0,0.0,0.0,8
v3,Q136,25,0.0,0.0,0.0,0.0,0.04,1
v3,Q137,25,0.0,0.0,0.0,0.0,0.2,5
v3,Q138,25,0.0,0.0,0.0,0.0,0.0,2
v3,Q139,25,0.0,0.0,0.0,0.0,0.28,3
v3,Q14,25,0.0,0.0,0.0,0.0,0.0,6
v3,Q140,25,0.0,0.0,0.0,0.0,1.0,2
v3,Q141,25,0.0,0.0,0.0,0.0,0.0,4
v3,Q142,25,0.0,0.0,0.0,0.0,0.0,2
v3,Q143,25,0.0,0.0,0.0,0.0,0.0,1
v3,Q144,25,0.0,0.0,0.0,0.0,0.4,2
v3,Q145,25,0.0,0.0,0.0,0.0,0.64,5
v3,Q146,25,0.0,0.0,0.0,0.0,0.44,2
v3,Q147,25,0.0,0.0,0.0,0.0,0.0,6
v3,Q148,25,0.0,0.0,0.0,0.0,0.0,7
v3,Q149,25,0.0,0.0,0.0,0.0,0.0,1
v3,Q15,25,0.0,0.0,0.0,0.0,0.84,2
v3,Q150,25,0.0,0.0,0.0,0.0,0.0,5
v3,Q151,25,0.0,0.0,0.0,0.0,0.0,1
v3,Q152,25,0.0,0.0,0.0,0.0,0.0,2
v3,Q153,25,0.0,0.0,0.0,0.0,0.0,8
v3,Q154,25,0.2,0.06666666666666667,0.06666666666666667,0.1,0.24,3
v3,Q155,25,0.0,0.0,0.0,0.0,0.28,3
v3,Q156,25,0.0,0.0,0.0,0.0,0.48,4
v3,Q157,25,0.04,0.02,0.02,0.026666666666666665,0.28,2
v3,Q158,25,0.0,0.0,0.0,0.0,0.32,3
v3,Q159,25,0.0,0.0,0.0,0.0,0.0,4
v3,Q16,25,0.0,0.0,0.0,0.0,0.0,1
v3,Q160,25,0.04,0.006666666666666666,0.006666666666666666,0.011428571428571429,0.04,6
v3,Q161,25,0.0,0.0,0.0,0.0,0.0,5
v3,Q162,25,0.12,0.015,0.015,0.026666666666666665,0.2,8
v3,Q163,25,0.16,0.032,0.032,0.05333333333333334,0.28,5
v3,Q17,25,0.0,0.0,0.0,0.0,0.0,1
v3,Q18,25,0.0,0.0,0.0,0.0,0.0,1
v3,Q19,25,0.0,0.0,0.0,0.0,0.0,1
v3,Q2,25,0.0,0.0,0.0,0.0,0.16,5
v3,Q20,25,0.0,0.0,0.0,0.0,0.0,1
v3,Q21,25,0.0,0.0,0.0,0.0,0.44,2
v3,Q22,25,0.0,0.0,0.0,0.0,0.84,1
v3,Q23,25,0.0,0.0,0.0,0.0,0.0,1
v3,Q24,25,0.0,0.0,0.0,0.0,0.0,8
v3,Q25,25,0.0,0.0,0.0,0.0,1.08,4
v3,Q26,25,0.0,0.0,0.0,0.0,0.0,4
v3,Q27,25,0.0,0.0,0.0,0.0,0.0,2
v3,Q28,25,0.0,0.0,0.0,0.0,0.0,1
v3,Q29,25,0.0,0.0,0.0,0.0,1.0,1
v3,Q3,25,0.0,0.0,0.0,0.0,0.0,1
v3,Q30,25,0.0,0.0,0.0,0.0,0.88,2
v3,Q31,25,0.0,0.0,0.0,0.0,0.0,2
v3,Q32,25,0.0,0.0,0.0,0.0,1.04,1
v3,Q33,25,0.0,0.0,0.0,0.0,0.44,5
v3,Q34,25,0.0,0.0,0.0,0.0,0.0,3
v3,Q35,25,0.0,0.0,0.0,0.0,0.0,2
v3,Q36,25,0.0,0.0,0.0,0.0,0.68,2
v3,Q37,25,0.0,0.0,0.0,0.0,0.0,2
v3,Q38,25,0.0,0.0,0.0,0.0,0.0,1
v3,Q39,25,0.0,0.0,0.0,0.0,0.0,1
v3,Q4,25,0.0,0.0,0.0,0.0,0.0,3
v3,Q40,25,0.0,0.0,0.0,0.0,0.04,2
v3,Q41,25,0.0,0.0,0.0,0.0,0.0,1
v3,Q42,25,0.0,0.0,0.0,0.0,0.0,1
v3,Q43,25,0.0,0.0,0.0,0.0,0.0,1
v3,Q44,25,0.0,0.0,0.0,0.0,0.76,1
v3,Q45,25,0.0,0.0,0.0,0.0,0.0,2
v3,Q46,25,0.0,0.0,0.0,0.0,0.04,1
v3,Q47,25,0.0,0.0,0.0,0.0,0.0,1
v3,Q48,25,0.08,0.04,0.04,0.05333333333333333,0.08,2
v3,Q49,25,0.0,0.0,0.0,0.0,0.0,7
v3,Q5,25,0.0,0.0,0.0,0.0,0.0,7
v3,Q50,25,0.0,0.0,0.0,0.0,1.0,1
v3,Q51,25,0.0,0.0,0.0,0.0,0.0,1
v3,Q52,25,0.0,0.0,0.0,0.0,0.08,2
v3,Q53,25,0.0,0.0,0.0,0.0,0.0,2
v3,Q54,25,0.0,0.0,0.0,0.0,0.0,1
v3,Q55,25,0.0,0.0,0.0,0.0,0.68,5
v3,Q56,25,0.0,0.0,0.0,0.0,0.0,9
v3,Q57,25,0.0,0.0,0.0,0.0,0.48,2
v3,Q58,25,0.0,0.0,0.0,0.0,0.0,2
v3,Q59,25,0.0,0.0,0.0,0.0,0.0,1
v3,Q6,25,0.0,0.0,0.0,0.0,0.0,1
v3,Q60,25,0.0,0.0,0.0,0.0,0.0,8
v3,Q61,25,0.0,0.0,0.0,0.0,0.0,1
v3,Q62,25,0.0,0.0,0.0,0.0,0.0,1
v3,Q63,25,0.0,0.0,0.0,0.0,0.0,1
v3,Q64,25,0.0,0.0,0.0,0.0,0.04,1
v3,Q65,25,0.0,0.0,0.0,0.0,0.0,4
v3,Q66,25,0.0,0.0,0.0,0.0,0.04,1
v3,Q67,25,0.0,0.0,0.0,0.0,0.0,1
v3,Q68,25,0.0,0.0,0.0,0.0,0.0,2
v3,Q69,25,0.0,0.0,0.0,0.0,0.0,2
v3,Q7,25,0.0,0.0,0.0,0.0,0.0,1
v3,Q70,25,0.0,0.0,0.0,0.0,0.44,1
v3,Q71,25,0.0,0.0,0.0,0.0,1.0,2
v3,Q72,25,0.0,0.0,0.0,0.0,0.96,1
v3,Q73,25,0.0,0.0,0.0,0.0,0.0,10
v3,Q74,25,0.0,0.0,0.0,0.0,0.0,4
v3,Q75,25,0.0,0.0,0.0,0.0,0.12,3
v3,Q76,25,0.02,0.02,0.013333333333333332,0.02,0.96,2
v3,Q77,25,0.0,0.0,0.0,0.0,1.0,5
v3,Q78,25,0.0,0.0,0.0,0.0,0.4,2
v3,Q79,25,0.0,0.0,0.0,0.0,0.12,3
v3,Q8,25,0.0,0.0,0.0,0.0,0.36,5
v3,Q80,25,0.0,0.0,0.0,0.0,0.08,2
v3,Q81,25,0.0,0.0,0.0,0.0,0.76,2
v3,Q82,25,0.0,0.0,0.0,0.0,0.12,3
v3,Q83,25,0.0,0.0,0.0,0.0,0.08,3
v3,Q84,25,0.0,0.0,0.0,0.0,1.0,1
v3,Q85,25,0.0,0.0,0.0,0.0,0.28,1
v3,Q86,25,0.0,0.0,0.0,0.0,0.0,1
v3,Q87,25,0.82,0.21,0.20800000000000002,0.33333333333333337,1.04,4
v3,Q88,25,0.0,0.0,0.0,0.0,0.04,3
v3,Q89,25,0.0,0.0,0.0,0.0,0.44,3
v3,Q9,25,0.0,0.0,0.0,0.0,0.44,4
v3,Q90,25,0.0,0.0,0.0,0.0,0.08,3
v3,Q91,25,0.0,0.0,0.0,0.0,0.0,2
v3,Q92,25,0.0,0.0,0.0,0.0,0.0,4
v3,Q93,25,0.0,0.0,0.0,0.0,0.0,3
v3,Q94,25,0.04,0.02,0.02,0.026666666666666665,0.04,2
v3,Q95,25,0.0,0.0,0.0,0.0,0.0,5
v3,Q96,25,0.0,0.0,0.0,0.0,0.0,8
v3,Q97,25,0.0,0.0,0.0,0.0,0.0,5
v3,Q98,25,0.0,0.0,0.0,0.0,0.0,1
v3,Q99,25,0.0,0.0,0.0,0.0,0.0,5
v4,Q1,25,0.0,0.0,0.0,0.0,1.0,2
v4,Q10,25,0.0,0.0,0.0,0.0,0.0,1
v4,Q100,25,0.24,0.12,0.12,0.16,0.28,2
v4,Q101,25,0.0,0.0,0.0,0.0,0.0,6
v4,Q102,25,0.08,0.026666666666666665,0.026666666666666665,0.04,0.76,3
v4,Q103,25,0.0,0.0,0.0,0.0,0.0,6
v4,Q104,25,0.48,0.09600000000000002,0.09600000000000002,0.16,0.52,5
v4,Q105,25,0.04,0.008,0.008,0.013333333333333334,1.0,5
v4,Q106,25,0.48,0.06857142857142856,0.06857142857142856,0.12,0.52,7
v4,Q107,25,0.04,0.006666666666666666,0.006666666666666666,0.011428571428571429,0.8,6
v4,Q108,25,0.08,0.02,0.02,0.032,0.08,4
v4,Q109,25,0.08,0.016,0.016,0.02666666666666667,0.2,5
v4,Q11,25,0.0,0.0,0.0,0.0,0.0,5
v4,Q110,25,0.0,0.0,0.0,0.0,0.2,3
v4,Q111,25,0.0,0.0,0.0,0.0,1.0,1
v4,Q112,25,0.72,0.12,0.12,0.20571428571428568,0.92,6
v4,Q113,25,0.4,0.06666666666666667,0.06666666666666667,0.11428571428571427,0.8,6
v4,Q114,25,0.4,0.08,0.08,0.13333333333333336,1.0,5
v4,Q115,25,0.52,0.13,0.13,0.20800000000000002,0.52,4
v4,Q116,25,0.96,0.13714285714285712,0.13714285714285712,0.24,1.0,7
v4,Q117,25,0.28,0.07,0.07,0.11200000000000002,0.56,4
v4,Q118,25,0.0,0.0,0.0,0.0,0.28,2
v4,Q119,25,0.0,0.0,0.0,0.0,0.0,5
v4,Q12,25,0.0,0.0,0.0,0.0,0.0,1
v4,Q120,25,0.68,0.11333333333333333,0.11333333333333333,0.19428571428571428,0.68,6
v4,Q121,25,0.0,0.0,0.0,0.0,0.0,5
v4,Q122,25,0.0,0.0,0.0,0.0,0.0,5
v4,Q123,25,0.52,0.13,0.13,0.20800000000000002,1.0,4
v4,Q124,25,0.0,0.0,0.0,0.0,0.28,1
v4,Q125,25,0.52,0.13,0.13,0.20800000000000002,0.72,4
v4,Q126,25,0.84,0.21,0.21,0.336,0.88,4
v4,Q127,25,0.36,0.06,0.06,0.10285714285714284,0.96,6
v4,Q128,25,0.6,0.2,0.2,0.3,0.6,3
v4,Q129,25,0.24,0.03428571428571428,0.03428571428571428,0.06,0.64,7
v4,Q13,25,0.0,0.0,0.0,0.0,0.0,1
v4,Q130,25,0.04,0.006666666666666666,0.006666666666666666,0.011428571428571429,0.28,6
v4,Q131,25,0.76,0.19,0.19,0.30400000000000005,0.76,4
v4,Q132,25,0.16,0.026666666666666665,0.026666666666666665,0.045714285714285714,0.88,6
v4,Q133,25,0.16,0.04,0.04,0.064,0.88,4
v4,Q134,25,0.2,0.03333333333333333,0.03333333333333333,0.057142857142857134,0.96,6
v4,Q135,25,0.6,0.075,0.075,0.13333333333333333,0.6,8
v4,Q136,25,0.56,0.56,0.56,0.56,0.64,1
v4,Q137,25,0.0,0.0,0.0,0.0,1.0,5
v4,Q138,25,0.0,0.0,0.0,0.0,0.96,2
v4,Q139,25,0.0,0.0,0.0,0.0,0.96,3
v4,Q14,25,0.0,0.0,0.0,0.0,0.0,6
v4,Q140,25,0.0,0.0,0.0,0.0,1.0,2
v4,Q141,25,0.0,0.0,0.0,0.0,0.92,4
v4,Q142,25,0.0,0.0,0.0,0.0,0.04,2
v4,Q143,25,0.0,0.0,0.0,0.0,1.0,1
v4,Q144,25,0.0,0.0,0.0,0.0,1.0,2
v4,Q145,25,0.0,0.0,0.0,0.0,1.0,5
v4,Q146,25,0.0,0.0,0.0,0.0,1.0,2
v4,Q147,25,0.0,0.0,0.0,0.0,0.0,6
v4,Q148,25,0.0,0.0,0.0,0.0,0.0,7
v4,Q149,25,0.0,0.0,0.0,0.0,0.0,1
v4,Q15,25,0.0,0.0,0.0,0.0,1.0,2
v4,Q150,25,0.0,0.0,0.0,0.0,0.0,5
v4,Q151,25,0.0,0.0,0.0,0.0,0.0,1
v4,Q152,25,0.0,0.0,0.0,0.0,0.0,2
v4,Q153,25,0.0,0.0,0.0,0.0,0.0,8
v4,Q154,25,0.04,0.013333333333333332,0.013333333333333332,0.02,1.0,3
v4,Q155,25,0.0,0.0,0.0,0.0,0.0,3
v4,Q156,25,0.0,0.0,0.0,0.0,1.0,4
v4,Q157,25,0.92,0.46,0.46,0.6133333333333333,1.0,2
v4,Q158,25,0.0,0.0,0.0,0.0,1.0,3
v4,Q159,25,0.44,0.11,0.11,0.17600000000000002,0.6,4
v4,Q16,25,0.0,0.0,0.0,0.0,0.0,1
v4,Q160,25,0.56,0.09333333333333332,0.09333333333333332,0.16,0.88,6
v4,Q161,25,0.08,0.016,0.016,0.02666666666666667,0.08,5
v4,Q162,25,0.08,0.01,0.01,0.017777777777777778,0.44,8
v4,Q163,25,0.2,0.04,0.04,0.06666666666666668,0.28,5
v4,Q17,25,0.0,0.0,0.0,0.0,0.0,1
v4,Q18,25,0.0,0.0,0.0,0.0,0.0,1
v4,Q19,25,0.0,0.0,0.0,0.0,0.0,1
v4,Q2,25,0.0,0.0,0.0,0.0,0.68,5
v4,Q20,25,0.0,0.0,0.0,0.0,0.0,1
v4,Q21,25,0.0,0.0,0.0,0.0,1.0,2
v4,Q22,25,0.0,0.0,0.0,0.0,0.44,1
v4,Q23,25,0.0,0.0,0.0,0.0,0.0,1
v4,Q24,25,0.0,0.0,0.0,0.0,0.0,8
v4,Q25,25,0.0,0.0,0.0,0.0,1.0,4
v4,Q26,25,0.0,0.0,0.0,0.0,0.0,4
v4,Q27,25,0.0,0.0,0.0,0.0,0.0,2
v4,Q28,25,0.0,0.0,0.0,0.0,0.0,1
v4,Q29,25,0.0,0.0,0.0,0.0,1.0,1
v4,Q3,25,0.0,0.0,0.0,0.0,0.0,1
v4,Q30,25,0.0,0.0,0.0,0.0,1.0,2
v4,Q31,25,0.0,0.0,0.0,0.0,0.0,2
v4,Q32,25,0.0,0.0,0.0,0.0,1.0,1
v4,Q33,25,0.0,0.0,0.0,0.0,0.64,5
v4,Q34,25,0.0,0.0,0.0,0.0,0.0,3
v4,Q35,25,0.0,0.0,0.0,0.0,0.0,2
v4,Q36,25,0.0,0.0,0.0,0.0,1.0,2
v4,Q37,25,0.0,0.0,0.0,0.0,0.0,2
v4,Q38,25,0.0,0.0,0.0,0.0,0.0,1
