prompt_version,question_id,run_id,pred_n,gold_n,tp,precision,recall,jaccard,f1
v2,Q107,1,1,6,1,1.0,0.16666666666666666,0.16666666666666666,0.2857142857142857
v2,Q108,1,1,4,1,1.0,0.25,0.25,0.4
v2,Q109,1,1,5,0,0.0,0.0,0.0,0.0
v2,Q110,1,1,3,0,0.0,0.0,0.0,0.0
v2,Q111,1,1,1,0,0.0,0.0,0.0,0.0
v2,Q112,1,1,6,0,0.0,0.0,0.0,0.0
v2,Q113,1,1,6,0,0.0,0.0,0.0,0.0
v2,Q114,1,1,5,1,1.0,0.2,0.2,0.33333333333333337
v2,Q115,1,1,4,0,0.0,0.0,0.0,0.0
v2,Q116,1,1,7,0,0.0,0.0,0.0,0.0
v2,Q117,1,1,4,0,0.0,0.0,0.0,0.0
v2,Q118,1,1,2,0,0.0,0.0,0.0,0.0
v2,Q119,1,1,5,0,0.0,0.0,0.0,0.0
v2,Q120,1,1,6,1,1.0,0.16666666666666666,0.16666666666666666,0.2857142857142857
v2,Q121,1,0,5,0,0.0,0.0,0.0,0.0
v2,Q122,1,0,5,0,0.0,0.0,0.0,0.0
v2,Q123,1,1,4,0,0.0,0.0,0.0,0.0
v2,Q124,1,1,1,0,0.0,0.0,0.0,0.0
v2,Q125,1,1,4,0,0.0,0.0,0.0,0.0
v2,Q126,1,1,4,0,0.0,0.0,0.0,0.0
v2,Q127,1,1,6,1,1.0,0.16666666666666666,0.16666666666666666,0.2857142857142857
v2,Q128,1,1,3,1,1.0,0.3333333333333333,0.3333333333333333,0.5
v2,Q129,1,1,7,0,0.0,0.0,0.0,0.0
v2,Q130,1,1,6,1,1.0,0.16666666666666666,0.16666666666666666,0.2857142857142857
v2,Q131,1,1,4,1,1.0,0.25,0.25,0.4
v2,Q132,1,1,6,1,1.0,0.16666666666666666,0.16666666666666666,0.2857142857142857
v2,Q133,1,0,4,0,0.0,0.0,0.0,0.0
v2,Q134,1,1,6,0,0.0,0.0,0.0,0.0
v2,Q135,1,1,8,1,1.0,0.125,0.125,0.2222222222222222
v2,Q136,1,1,1,0,0.0,0.0,0.0,0.0
v2,Q137,1,1,5,0,0.0,0.0,0.0,0.0
v2,Q138,1,1,2,0,0.0,0.0,0.0,0.0
v2,Q139,1,1,3,0,0.0,0.0,0.0,0.0
v2,Q140,1,1,2,0,0.0,0.0,0.0,0.0
v2,Q141,1,1,4,0,0.0,0.0,0.0,0.0
v2,Q142,1,1,2,0,0.0,0.0,0.0,0.0
v2,Q143,1,1,1,0,0.0,0.0,0.0,0.0
v2,Q144,1,1,2,0,0.0,0.0,0.0,0.0
v2,Q145,1,1,5,0,0.0,0.0,0.0,0.0
v2,Q146,1,1,2,0,0.0,0.0,0.0,0.0
v2,Q147,1,1,6,0,0.0,0.0,0.0,0.0
v2,Q148,1,1,7,1,1.0,0.14285714285714285,0.14285714285714285,0.25
v2,Q149,1,0,1,0,0.0,0.0,0.0,0.0
v2,Q150,1,0,5,0,0.0,0.0,0.0,0.0
v2,Q151,1,1,1,0,0.0,0.0,0.0,0.0
v2,Q152,1,1,2,0,0.0,0.0,0.0,0.0
v2,Q153,1,0,8,0,0.0,0.0,0.0,0.0
v2,Q154,1,1,3,0,0.0,0.0,0.0,0.0
v2,Q155,1,1,3,1,1.0,0.3333333333333333,0.3333333333333333,0.5
v2,Q156,1,1,4,0,0.0,0.0,0.0,0.0
v2,Q157,1,1,2,1,1.0,0.5,0.5,0.6666666666666666
v2,Q158,1,1,3,0,0.0,0.0,0.0,0.0
v2,Q159,1,1,4,0,0.0,0.0,0.0,0.0
v2,Q160,1,1,6,1,1.0,0.16666666666666666,0.16666666666666666,0.2857142857142857
v2,Q161,1,1,5,1,1.0,0.2,0.2,0.33333333333333337
v2,Q162,1,1,8,1,1.0,0.125,0.125,0.2222222222222222
v2,Q163,1,1,5,0,0.0,0.0,0.0,0.0
v2,Q1,2,1,2,0,0.0,0.0,0.0,0.0
v2,Q2,2,1,5,0,0.0,0.0,0.0,0.0
v2,Q3,2,0,1,0,0.0,0.0,0.0,0.0
v2,Q4,2,0,3,0,0.0,0.0,0.0,0.0
v2,Q5,2,0,7,0,0.0,0.0,0.0,0.0
v2,Q6,2,0,1,0,0.0,0.0,0.0,0.0
v2,Q7,2,1,1,0,0.0,0.0,0.0,0.0
v2,Q8,2,1,5,0,0.0,0.0,0.0,0.0
v2,Q9,2,1,4,0,0.0,0.0,0.0,0.0
v2,Q10,2,0,1,0,0.0,0.0,0.0,0.0
v2,Q11,2,0,5,0,0.0,0.0,0.0,0.0
v2,Q12,2,0,1,0,0.0,0.0,0.0,0.0
v2,Q13,2,0,1,0,0.0,0.0,0.0,0.0
v2,Q14,2,0,6,0,0.0,0.0,0.0,0.0
v2,Q15,2,1,2,0,0.0,0.0,0.0,0.0
v2,Q16,2,1,1,0,0.0,0.0,0.0,0.0
v2,Q17,2,1,1,0,0.0,0.0,0.0,0.0
v2,Q18,2,0,1,0,0.0,0.0,0.0,0.0
v2,Q19,2,0,1,0,0.0,0.0,0.0,0.0
v2,Q20,2,1,1,0,0.0,0.0,0.0,0.0
v2,Q21,2,1,2,0,0.0,0.0,0.0,0.0
v2,Q22,2,1,1,0,0.0,0.0,0.0,0.0
v2,Q23,2,1,1,0,0.0,0.0,0.0,0.0
v2,Q24,2,0,8,0,0.0,0.0,0.0,0.0
v2,Q25,2,1,4,0,0.0,0.0,0.0,0.0
v2,Q26,2,0,4,0,0.0,0.0,0.0,0.0
v2,Q27,2,0,2,0,0.0,0.0,0.0,0.0
v2,Q28,2,1,1,0,0.0,0.0,0.0,0.0
v2,Q29,2,1,1,0,0.0,0.0,0.0,0.0
v2,Q30,2,1,2,0,0.0,0.0,0.0,0.0
v2,Q31,2,0,2,0,0.0,0.0,0.0,0.0
v2,Q32,2,1,1,0,0.0,0.0,0.0,0.0
v2,Q33,2,1,5,0,0.0,0.0,0.0,0.0
v2,Q34,2,0,3,0,0.0,0.0,0.0,0.0
v2,Q35,2,0,2,0,0.0,0.0,0.0,0.0
v2,Q36,2,1,2,0,0.0,0.0,0.0,0.0
v2,Q37,2,0,2,0,0.0,0.0,0.0,0.0
v2,Q38,2,1,1,0,0.0,0.0,0.0,0.0
v2,Q39,2,0,1,0,0.0,0.0,0.0,0.0
v2,Q40,2,1,2,0,0.0,0.0,0.0,0.0
v2,Q41,2,0,1,0,0.0,0.0,0.0,0.0
v2,Q42,2,1,1,0,0.0,0.0,0.0,0.0
v2,Q43,2,1,1,0,0.0,0.0,0.0,0.0
v2,Q44,2,1,1,0,0.0,0.0,0.0,0.0
v2,Q45,2,0,2,0,0.0,0.0,0.0,0.0
v2,Q46,2,1,1,0,0.0,0.0,0.0,0.0
v2,Q47,2,0,1,0,0.0,0.0,0.0,0.0
v2,Q48,2,1,2,0,0.0,0.0,0.0,0.0
v2,Q49,2,1,7,0,0.0,0.0,0.0,0.0
v2,Q50,2,1,1,0,0.0,0.0,0.0,0.0
v2,Q51,2,1,1,0,0.0,0.0,0.0,0.0
v2,Q52,2,1,2,0,0.0,0.0,0.0,0.0
v2,Q53,2,0,2,0,0.0,0.0,0.0,0.0
v2,Q54,2,1,1,0,0.0,0.0,0.0,0.0
v2,Q55,2,1,5,0,0.0,0.0,0.0,0.0
v2,Q56,2,0,9,0,0.0,0.0,0.0,0.0
v2,Q57,2,1,2,0,0.0,0.0,0.0,0.0
v2,Q58,2,0,2,0,0.0,0.0,0.0,0.0
v2,Q59,2,0,1,0,0.0,0.0,0.0,0.0
v2,Q60,2,0,8,0,0.0,0.0,0.0,0.0
v2,Q61,2,1,1,0,0.0,0.0,0.0,0.0
v2,Q62,2,0,1,0,0.0,0.0,0.0,0.0
v2,Q63,2,0,1,0,0.0,0.0,0.0,0.0
v2,Q64,2,1,1,0,0.0,0.0,0.0,0.0
v2,Q65,2,0,4,0,0.0,0.0,0.0,0.0
v2,Q66,2,1,1,0,0.0,0.0,0.0,0.0
v2,Q67,2,1,1,0,0.0,0.0,0.0,0.0
v2,Q68,2,1,2,0,0.0,0.0,0.0,0.0
v2,Q69,2,1,2,0,0.0,0.0,0.0,0.0
v2,Q70,2,1,1,0,0.0,0.0,0.0,0.0
v2,Q71,2,1,2,0,0.0,0.0,0.0,0.0
v2,Q72,2,1,1,0,0.0,0.0,0.0,0.0
v2,Q73,2,0,10,0,0.0,0.0,0.0,0.0
v2,Q74,2,1,4,0,0.0,0.0,0.0,0.0
v2,Q75,2,1,3,0,0.0,0.0,0.0,0.0
v2,Q76,2,1,2,0,0.0,0.0,0.0,0.0
v2,Q77,2,1,5,0,0.0,0.0,0.0,0.0
v2,Q78,2,1,2,0,0.0,0.0,0.0,0.0
v2,Q79,2,1,3,0,0.0,0.0,0.0,0.0
v2,Q80,2,1,2,0,0.0,0.0,0.0,0.0
v2,Q81,2,1,2,0,0.0,0.0,0.0,0.0
v2,Q82,2,1,3,0,0.0,0.0,0.0,0.0
v2,Q83,2,1,3,0,0.0,0.0,0.0,0.0
v2,Q84,2,1,1,0,0.0,0.0,0.0,0.0
v2,Q85,2,1,1,0,0.0,0.0,0.0,0.0
v2,Q86,2,0,1,0,0.0,0.0,0.0,0.0
v2,Q87,2,1,4,0,0.0,0.0,0.0,0.0
v2,Q88,2,1,3,0,0.0,0.0,0.0,0.0
v2,Q89,2,1,3,0,0.0,0.0,0.0,0.0
v2,Q90,2,1,3,0,0.0,0.0,0.0,0.0
v2,Q91,2,0,2,0,0.0,0.0,0.0,0.0
v2,Q92,2,1,4,0,0.0,0.0,0.0,0.0
v2,Q93,2,1,3,1,1.0,0.3333333333333333,0.3333333333333333,0.5
v2,Q94,2,1,2,1,1.0,0.5,0.5,0.6666666666666666
v2,Q95,2,0,5,0,0.0,0.0,0.0,0.0
v2,Q96,2,1,8,0,0.0,0.0,0.0,0.0
v2,Q97,2,0,5,0,0.0,0.0,0.0,0.0
v2,Q98,2,0,1,0,0.0,0.0,0.0,0.0
v2,Q99,2,0,5,0,0.0,0.0,0.0,0.0
v2,Q100,2,1,2,0,0.0,0.0,0.0,0.0
v2,Q101,2,0,6,0,0.0,0.0,0.0,0.0
v2,Q102,2,1,3,0,0.0,0.0,0.0,0.0
v2,Q103,2,0,6,0,0.0,0.0,0.0,0.0
v2,Q104,2,1,5,0,0.0,0.0,0.0,0.0
v2,Q105,2,1,5,0,0.0,0.0,0.0,0.0
v2,Q106,2,1,7,1,1.0,0.14285714285714285,0.14285714285714285,0.25
v2,Q107,2,1,6,1,1.0,0.16666666666666666,0.16666666666666666,0.2857142857142857
v2,Q108,2,0,4,0,0.0,0.0,0.0,0.0
v2,Q109,2,1,5,1,1.0,0.2,0.2,0.33333333333333337
v2,Q110,2,1,3,0,0.0,0.0,0.0,0.0
v2,Q111,2,1,1,0,0.0,0.0,0.0,0.0
v2,Q112,2,1,6,1,1.0,0.16666666666666666,0.16666666666666666,0.2857142857142857
v2,Q113,2,1,6,1,1.0,0.16666666666666666,0.16666666666666666,0.2857142857142857
v2,Q114,2,1,5,0,0.0,0.0,0.0,0.0
v2,Q115,2,1,4,0,0.0,0.0,0.0,0.0
v2,Q116,2,1,7,0,0.0,0.0,0.0,0.0
v2,Q117,2,1,4,1,1.0,0.25,0.25,0.4
v2,Q118,2,1,2,0,0.0,0.0,0.0,0.0
v2,Q119,2,1,5,0,0.0,0.0,0.0,0.0
v2,Q120,2,1,6,1,1.0,0.16666666666666666,0.16666666666666666,0.2857142857142857
v2,Q121,2,0,5,0,0.0,0.0,0.0,0.0
v2,Q122,2,1,5,0,0.0,0.0,0.0,0.0
v2,Q123,2,1,4,0,0.0,0.0,0.0,0.0
v2,Q124,2,1,1,0,0.0,0.0,0.0,0.0
v2,Q125,2,1,4,0,0.0,0.0,0.0,0.0
v2,Q126,2,1,4,1,1.0,0.25,0.25,0.4
v2,Q127,2,1,6,1,1.0,0.16666666666666666,0.16666666666666666,0.2857142857142857
v2,Q128,2,1,3,0,0.0,0.0,0.0,0.0
v2,Q129,2,1,7,0,0.0,0.0,0.0,0.0
v2,Q130,2,1,6,1,1.0,0.16666666666666666,0.16666666666666666,0.2857142857142857
v2,Q131,2,1,4,0,0.0,0.0,0.0,0.0
v2,Q132,2,1,6,1,1.0,0.16666666666666666,0.16666666666666666,0.2857142857142857
v2,Q133,2,0,4,0,0.0,0.0,0.0,0.0
v2,Q134,2,1,6,0,0.0,0.0,0.0,0.0
v2,Q135,2,1,8,1,1.0,0.125,0.125,0.2222222222222222
v2,Q136,2,1,1,0,0.0,0.0,0.0,0.0
v2,Q137,2,1,5,0,0.0,0.0,0.0,0.0
v2,Q138,2,1,2,0,0.0,0.0,0.0,0.0
v2,Q139,2,1,3,0,0.0,0.0,0.0,0.0
v2,Q140,2,1,2,0,0.0,0.0,0.0,0.0
v2,Q141,2,1,4,0,0.0,0.0,0.0,0.0
v2,Q142,2,1,2,0,0.0,0.0,0.0,0.0
v2,Q143,2,1,1,0,0.0,0.0,0.0,0.0
v2,Q144,2,1,2,0,0.0,0.0,0.0,0.0
v2,Q145,2,1,5,0,0.0,0.0,0.0,0.0
v2,Q146,2,1,2,0,0.0,0.0,0.0,0.0
v2,Q147,2,1,6,1,1.0,0.16666666666666666,0.16666666666666666,0.2857142857142857
v2,Q148,2,1,7,0,0.0,0.0,0.0,0.0
v2,Q149,2,0,1,0,0.0,0.0,0.0,0.0
v2,Q150,2,1,5,1,1.0,0.2,0.2,0.33333333333333337
v2,Q151,2,0,1,0,0.0,0.0,0.0,0.0
v2,Q152,2,1,2,0,0.0,0.0,0.0,0.0
v2,Q153,2,0,8,0,0.0,0.0,0.0,0.0
v2,Q154,2,1,3,0,0.0,0.0,0.0,0.0
v2,Q155,2,1,3,1,1.0,0.3333333333333333,0.3333333333333333,0.5
v2,Q156,2,1,4,0,0.0,0.0,0.0,0.0
v2,Q157,2,1,2,0,0.0,0.0,0.0,0.0
v2,Q158,2,1,3,0,0.0,0.0,0.0,0.0
v2,Q159,2,1,4,1,1.0,0.25,0.25,0.4
v2,Q160,2,1,6,1,1.0,0.16666666666666666,0.16666666666666666,0.2857142857142857
v2,Q161,2,1,5,0,0.0,0.0,0.0,0.0
v2,Q162,2,1,8,0,0.0,0.0,0.0,0.0
v2,Q163,2,1,5,0,0.0,0.0,0.0,0.0
v2,Q1,3,1,2,0,0.0,0.0,0.0,0.0
v2,Q2,3,1,5,0,0.0,0.0,0.0,0.0
v2,Q3,3,0,1,0,0.0,0.0,0.0,0.0
v2,Q4,3,0,3,0,0.0,0.0,0.0,0.0
v2,Q5,3,0,7,0,0.0,0.0,0.0,0.0
v2,Q6,3,0,1,0,0.0,0.0,0.0,0.0
v2,Q7,3,1,1,0,0.0,0.0,0.0,0.0
v2,Q8,3,1,5,0,0.0,0.0,0.0,0.0
v2,Q9,3,1,4,0,0.0,0.0,0.0,0.0
v2,Q10,3,0,1,0,0.0,0.0,0.0,0.0
v2,Q11,3,0,5,0,0.0,0.0,0.0,0.0
v2,Q12,3,1,1,0,0.0,0.0,0.0,0.0
v2,Q13,3,0,1,0,0.0,0.0,0.0,0.0
v2,Q14,3,0,6,0,0.0,0.0,0.0,0.0
v2,Q15,3,1,2,0,0.0,0.0,0.0,0.0
v2,Q16,3,1,1,0,0.0,0.0,0.0,0.0
v2,Q17,3,1,1,0,0.0,0.0,0.0,0.0
v2,Q18,3,0,1,0,0.0,0.0,0.0,0.0
v2,Q19,3,0,1,0,0.0,0.0,0.0,0.0
v2,Q20,3,1,1,0,0.0,0.0,0.0,0.0
v2,Q21,3,1,2,0,0.0,0.0,0.0,0.0
v2,Q22,3,1,1,0,0.0,0.0,0.0,0.0
v2,Q23,3,0,1,0,0.0,0.0,0.0,0.0
v2,Q24,3,0,8,0,0.0,0.0,0.0,0.0
v2,Q25,3,1,4,0,0.0,0.0,0.0,0.0
v2,Q26,3,0,4,0,0.0,0.0,0.0,0.0
v2,Q27,3,0,2,0,0.0,0.0,0.0,0.0
v2,Q28,3,1,1,0,0.0,0.0,0.0,0.0
v2,Q29,3,1,1,0,0.0,0.0,0.0,0.0
v2,Q30,3,1,2,0,0.0,0.0,0.0,0.0
v2,Q31,3,0,2,0,0.0,0.0,0.0,0.0
v2,Q32,3,1,1,0,0.0,0.0,0.0,0.0
v2,Q33,3,1,5,0,0.0,0.0,0.0,0.0
v2,Q34,3,0,3,0,0.0,0.0,0.0,0.0
v2,Q35,3,0,2,0,0.0,0.0,0.0,0.0
v2,Q36,3,1,2,0,0.0,0.0,0.0,0.0
v2,Q37,3,0,2,0,0.0,0.0,0.0,0.0
v2,Q38,3,1,1,0,0.0,0.0,0.0,0.0
v2,Q39,3,1,1,0,0.0,0.0,0.0,0.0
v2,Q40,3,1,2,0,0.0,0.0,0.0,0.0
v2,Q41,3,0,1,0,0.0,0.0,0.0,0.0
v2,Q42,3,1,1,0,0.0,0.0,0.0,0.0
v2,Q43,3,1,1,0,0.0,0.0,0.0,0.0
v2,Q44,3,1,1,0,0.0,0.0,0.0,0.0
v2,Q45,3,1,2,0,0.0,0.0,0.0,0.0
v2,Q46,3,1,1,0,0.0,0.0,0.0,0.0
v2,Q47,3,0,1,0,0.0,0.0,0.0,0.0
v2,Q48,3,1,2,0,0.0,0.0,0.0,0.0
v2,Q49,3,0,7,0,0.0,0.0,0.0,0.0
v2,Q50,3,1,1,0,0.0,0.0,0.0,0.0
v2,Q51,3,1,1,0,0.0,0.0,0.0,0.0
v2,Q52,3,1,2,0,0.0,0.0,0.0,0.0
v2,Q53,3,0,2,0,0.0,0.0,0.0,0.0
v2,Q54,3,1,1,0,0.0,0.0,0.0,0.0
v2,Q55,3,1,5,0,0.0,0.0,0.0,0.0
v2,Q56,3,0,9,0,0.0,0.0,0.0,0.0
v2,Q57,3,1,2,0,0.0,0.0,0.0,0.0
v2,Q58,3,0,2,0,0.0,0.0,0.0,0.0
v2,Q59,3,1,1,0,0.0,0.0,0.0,0.0
v2,Q60,3,0,8,0,0.0,0.0,0.0,0.0
v2,Q61,3,1,1,0,0.0,0.0,0.0,0.0
v2,Q62,3,0,1,0,0.0,0.0,0.0,0.0
v2,Q63,3,0,1,0,0.0,0.0,0.0,0.0
v2,Q64,3,1,1,0,0.0,0.0,0.0,0.0
v2,Q65,3,0,4,0,0.0,0.0,0.0,0.0
v2,Q66,3,1,1,0,0.0,0.0,0.0,0.0
v2,Q67,3,1,1,0,0.0,0.0,0.0,0.0
v2,Q68,3,1,2,0,0.0,0.0,0.0,0.0
v2,Q69,3,1,2,0,0.0,0.0,0.0,0.0
v2,Q70,3,1,1,0,0.0,0.0,0.0,0.0
v2,Q71,3,1,2,0,0.0,0.0,0.0,0.0
v2,Q72,3,1,1,0,0.0,0.0,0.0,0.0
v2,Q73,3,0,10,0,0.0,0.0,0.0,0.0
v2,Q74,3,1,4,0,0.0,0.0,0.0,0.0
v2,Q75,3,1,3,0,0.0,0.0,0.0,0.0
v2,Q76,3,1,2,0,0.0,0.0,0.0,0.0
v2,Q77,3,1,5,0,0.0,0.0,0.0,0.0
v2,Q78,3,1,2,0,0.0,0.0,0.0,0.0
v2,Q79,3,1,3,0,0.0,0.0,0.0,0.0
v2,Q80,3,1,2,0,0.0,0.0,0.0,0.0
v2,Q81,3,1,2,0,0.0,0.0,0.0,0.0
v2,Q82,3,1,3,0,0.0,0.0,0.0,0.0
v2,Q83,3,1,3,0,0.0,0.0,0.0,0.0
v2,Q84,3,1,1,0,0.0,0.0,0.0,0.0
v2,Q85,3,1,1,0,0.0,0.0,0.0,0.0
v2,Q86,3,0,1,0,0.0,0.0,0.0,0.0
v2,Q87,3,1,4,0,0.0,0.0,0.0,0.0
v2,Q88,3,1,3,0,0.0,0.0,0.0,0.0
v2,Q89,3,1,3,0,0.0,0.0,0.0,0.0
v2,Q90,3,1,3,0,0.0,0.0,0.0,0.0
v2,Q91,3,0,2,0,0.0,0.0,0.0,0.0
v2,Q92,3,1,4,0,0.0,0.0,0.0,0.0
v2,Q93,3,1,3,1,1.0,0.3333333333333333,0.3333333333333333,0.5
v2,Q94,3,1,2,0,0.0,0.0,0.0,0.0
v2,Q95,3,0,5,0,0.0,0.0,0.0,0.0
v2,Q96,3,1,8,0,0.0,0.0,0.0,0.0
v2,Q97,3,0,5,0,0.0,0.0,0.0,0.0
v2,Q98,3,1,1,0,0.0,0.0,0.0,0.0
v2,Q99,3,0,5,0,0.0,0.0,0.0,0.0
v2,Q100,3,1,2,0,0.0,0.0,0.0,0.0
v2,Q101,3,0,6,0,0.0,0.0,0.0,0.0
v2,Q102,3,1,3,0,0.0,0.0,0.0,0.0
v2,Q103,3,1,6,1,1.0,0.16666666666666666,0.16666666666666666,0.2857142857142857
v2,Q104,3,1,5,1,1.0,0.2,0.2,0.33333333333333337
v2,Q105,3,1,5,1,1.0,0.2,0.2,0.33333333333333337
v2,Q106,3,1,7,1,1.0,0.14285714285714285,0.14285714285714285,0.25
v2,Q107,3,1,6,1,1.0,0.16666666666666666,0.16666666666666666,0.2857142857142857
v2,Q108,3,1,4,1,1.0,0.25,0.25,0.4
v2,Q109,3,1,5,0,0.0,0.0,0.0,0.0
