question_id	n_runs	mean_gpt_edges	mean_matched_edges	kg_edges	mean_precision	mean_recall	mean_f1	match_rate	gpt_edge_rate
Q153	25	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0
Q154	25	1.0	0.36	5.0	0.36	0.07200000000000001	0.12000000000000002	0.36	1.0
Q155	25	1.0	0.44	4.0	0.44	0.11	0.17600000000000002	0.44	1.0
Q156	25	1.0	0.0	5.0	0.0	0.0	0.0	0.0	1.0
Q157	25	1.0	0.32	4.0	0.32	0.08	0.128	0.32	1.0
Q158	25	1.0	0.0	4.0	0.0	0.0	0.0	0.0	1.0
Q159	25	1.0	0.04	5.0	0.04	0.008	0.013333333333333334	0.04	1.0
Q16	25	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
Q160	25	0.96	0.64	7.0	0.64	0.09142857142857143	0.16	0.64	0.96
Q161	25	0.64	0.32	7.0	0.32	0.045714285714285714	0.08	0.32	0.64
Q162	25	1.0	0.2	10.0	0.2	0.02	0.03636363636363637	0.2	1.0
Q163	25	1.0	0.28	7.0	0.28	0.04	0.07	0.28	1.0
Q17	25	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
Q18	25	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Q19	25	0.04	0.0	1.0	0.0	0.0	0.0	0.0	0.04
Q2	25	1.0	0.0	5.0	0.0	0.0	0.0	0.0	1.0
Q20	25	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
Q21	25	1.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0
Q22	25	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
Q23	25	0.4	0.0	1.0	0.0	0.0	0.0	0.0	0.4
Q24	25	0.68	0.0	8.0	0.0	0.0	0.0	0.0	0.68
Q25	25	1.0	0.0	4.0	0.0	0.0	0.0	0.0	1.0
Q26	25	0.08	0.0	4.0	0.0	0.0	0.0	0.0	0.08
Q27	25	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
Q28	25	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
Q29	25	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
Q3	25	0.6	0.0	1.0	0.0	0.0	0.0	0.0	0.6
Q30	25	1.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0
Q31	25	0.4	0.0	2.0	0.0	0.0	0.0	0.0	0.4
Q32	25	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
Q33	25	1.0	0.0	5.0	0.0	0.0	0.0	0.0	1.0
Q34	25	0.12	0.0	3.0	0.0	0.0	0.0	0.0	0.12
Q35	25	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
Q36	25	1.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0
Q37	25	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
Q38	25	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
Q39	25	0.04	0.0	1.0	0.0	0.0	0.0	0.0	0.04
Q4	25	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
Q40	25	1.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0
Q41	25	0.52	0.0	1.0	0.0	0.0	0.0	0.0	0.52
Q42	25	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
Q43	25	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
Q44	25	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
Q45	25	0.52	0.0	2.0	0.0	0.0	0.0	0.0	0.52
Q46	25	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
Q47	25	0.24	0.0	1.0	0.0	0.0	0.0	0.0	0.24
Q48	25	1.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0
Q49	25	0.16	0.0	7.0	0.0	0.0	0.0	0.0	0.16
Q5	25	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0
Q50	25	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
Q51	25	0.92	0.0	1.0	0.0	0.0	0.0	0.0	0.92
Q52	25	1.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0
Q53	25	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
Q54	25	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
Q55	25	1.0	0.0	5.0	0.0	0.0	0.0	0.0	1.0
Q56	25	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0
Q57	25	1.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0
Q58	25	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
Q59	25	0.76	0.0	1.0	0.0	0.0	0.0	0.0	0.76
Q6	25	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Q60	25	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0
Q61	25	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
Q62	25	0.32	0.0	1.0	0.0	0.0	0.0	0.0	0.32
Q63	25	0.52	0.0	1.0	0.0	0.0	0.0	0.0	0.52
Q64	25	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
Q65	25	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
Q66	25	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
Q67	25	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
Q68	25	1.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0
Q69	25	0.88	0.0	2.0	0.0	0.0	0.0	0.0	0.88
Q7	25	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
Q70	25	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
Q71	25	1.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0
Q72	25	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
Q73	25	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0
Q74	25	0.96	0.0	4.0	0.0	0.0	0.0	0.0	0.96
Q75	25	1.0	0.0	3.0	0.0	0.0	0.0	0.0	1.0
Q76	25	1.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0
Q77	25	1.0	0.0	5.0	0.0	0.0	0.0	0.0	1.0
Q78	25	1.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0
Q79	25	1.0	0.0	3.0	0.0	0.0	0.0	0.0	1.0
Q8	25	1.0	0.0	5.0	0.0	0.0	0.0	0.0	1.0
Q80	25	1.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0
Q81	25	1.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0
Q82	25	1.0	0.0	3.0	0.0	0.0	0.0	0.0	1.0
Q83	25	1.0	0.0	3.0	0.0	0.0	0.0	0.0	1.0
Q84	25	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
Q85	25	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
Q86	25	0.2	0.0	1.0	0.0	0.0	0.0	0.0	0.2
Q87	25	1.0	0.0	5.0	0.0	0.0	0.0	0.0	1.0
Q88	25	1.0	0.0	3.0	0.0	0.0	0.0	0.0	1.0
Q89	25	1.0	0.0	3.0	0.0	0.0	0.0	0.0	1.0
Q9	25	1.0	0.0	4.0	0.0	0.0	0.0	0.0	1.0
Q90	25	1.0	0.0	3.0	0.0	0.0	0.0	0.0	1.0
Q91	25	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
Q92	25	1.0	0.0	5.0	0.0	0.0	0.0	0.0	1.0
Q93	25	1.0	0.6	5.0	0.6	0.12	0.20000000000000004	0.6	1.0
Q94	25	1.0	0.24	3.0	0.24	0.08	0.12	0.24	1.0
Q95	25	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0
Q96	25	0.88	0.0	8.0	0.0	0.0	0.0	0.0	0.88
Q97	25	0.08	0.0	5.0	0.0	0.0	0.0	0.0	0.08
Q98	25	0.6	0.0	1.0	0.0	0.0	0.0	0.0	0.6
Q99	25	0.08	0.0	5.0	0.0	0.0	0.0	0.0	0.08
