prompt_version	question_id	run_id	predicate	subject	object	edge_key
v2	Q42	1	biolink:interacts_with	NCBIGene:7422	CHEBI:5855	biolink:interacts_with|NCBIGene:7422|CHEBI:5855
v2	Q43	1	biolink:interacts_with	NCBIGene:7124	CHEBI:3756	biolink:interacts_with|NCBIGene:7124|CHEBI:3756
v2	Q44	1	biolink:gene_associated_with_condition	MONDO:0005148	NCBIGene:1636	biolink:gene_associated_with_condition|MONDO:0005148|NCBIGene:1636
v2	Q45	1	biolink:directly_physically_interacts_with	NCBIGene:7422	CHEBI:41774	biolink:directly_physically_interacts_with|NCBIGene:7422|CHEBI:41774
v2	Q46	1	biolink:directly_physically_interacts_with	NCBIGene:675	CHEBI:41774	biolink:directly_physically_interacts_with|NCBIGene:675|CHEBI:41774
v2	Q48	1	biolink:interacts_with	NCBIGene:7157	CHEBI:15365	biolink:interacts_with|NCBIGene:7157|CHEBI:15365
v2	Q50	1	biolink:gene_associated_with_condition	MONDO:0004979	NCBIGene:1956	biolink:gene_associated_with_condition|MONDO:0004979|NCBIGene:1956
v2	Q52	1	biolink:gene_associated_with_condition	MONDO:0005148	NCBIGene:348	biolink:gene_associated_with_condition|MONDO:0005148|NCBIGene:348
v2	Q54	1	biolink:produces	NCBIGene:348	CHEBI:15365	biolink:produces|NCBIGene:348|CHEBI:15365
v2	Q55	1	biolink:gene_associated_with_condition	MONDO:0004975	NCBIGene:7124	biolink:gene_associated_with_condition|MONDO:0004975|NCBIGene:7124
v2	Q57	1	biolink:directly_physically_interacts_with	NCBIGene:672	CHEBI:6801	biolink:directly_physically_interacts_with|NCBIGene:672|CHEBI:6801
v2	Q61	1	biolink:directly_physically_interacts_with	NCBIGene:675	CHEBI:15365	biolink:directly_physically_interacts_with|NCBIGene:675|CHEBI:15365
v2	Q63	1	biolink:directly_physically_interacts_with	NCBIGene:348	CHEBI:5855	biolink:directly_physically_interacts_with|NCBIGene:348|CHEBI:5855
v2	Q64	1	biolink:directly_physically_interacts_with	NCBIGene:1956	CHEBI:6801	biolink:directly_physically_interacts_with|NCBIGene:1956|CHEBI:6801
v2	Q66	1	biolink:directly_physically_interacts_with	NCBIGene:675	CHEBI:6801	biolink:directly_physically_interacts_with|NCBIGene:675|CHEBI:6801
v2	Q67	1	biolink:physically_interacts_with	NCBIGene:3569	CHEBI:15365	biolink:physically_interacts_with|NCBIGene:3569|CHEBI:15365
v2	Q68	1	biolink:directly_physically_interacts_with	NCBIGene:7157	CHEBI:41774	biolink:directly_physically_interacts_with|NCBIGene:7157|CHEBI:41774
v2	Q69	1	biolink:catalyzes	NCBIGene:3569	CHEBI:27899	biolink:catalyzes|NCBIGene:3569|CHEBI:27899
v2	Q70	1	biolink:interacts_with	NCBIGene:672	CHEBI:41879	biolink:interacts_with|NCBIGene:672|CHEBI:41879
v2	Q71	1	biolink:gene_associated_with_condition	MONDO:0005180	NCBIGene:7124	biolink:gene_associated_with_condition|MONDO:0005180|NCBIGene:7124
v2	Q72	1	biolink:gene_associated_with_condition	MONDO:0008383	NCBIGene:1956	biolink:gene_associated_with_condition|MONDO:0008383|NCBIGene:1956
v2	Q74	1	biolink:associated_with	MONDO:0005180	CHEBI:15365	biolink:associated_with|MONDO:0005180|CHEBI:15365
v2	Q75	1	biolink:gene_associated_with_condition	MONDO:0007254	NCBIGene:348	biolink:gene_associated_with_condition|MONDO:0007254|NCBIGene:348
v2	Q76	1	biolink:gene_associated_with_condition	MONDO:0005148	NCBIGene:3630	biolink:gene_associated_with_condition|MONDO:0005148|NCBIGene:3630
v2	Q77	1	biolink:gene_associated_with_condition	MONDO:0005061	NCBIGene:1956	biolink:gene_associated_with_condition|MONDO:0005061|NCBIGene:1956
v2	Q78	1	biolink:gene_associated_with_condition	MONDO:0004979	NCBIGene:3565	biolink:gene_associated_with_condition|MONDO:0004979|NCBIGene:3565
v2	Q79	1	biolink:gene_associated_with_condition	MONDO:0007915	NCBIGene:6775	biolink:gene_associated_with_condition|MONDO:0007915|NCBIGene:6775
v2	Q80	1	biolink:gene_associated_with_condition	MONDO:0005301	NCBIGene:3123	biolink:gene_associated_with_condition|MONDO:0005301|NCBIGene:3123
v2	Q81	1	biolink:gene_associated_with_condition	MONDO:0005148	NCBIGene:3952	biolink:gene_associated_with_condition|MONDO:0005148|NCBIGene:3952
v2	Q82	1	biolink:gene_associated_with_condition	MONDO:0005090	NCBIGene:1813	biolink:gene_associated_with_condition|MONDO:0005090|NCBIGene:1813
v2	Q83	1	biolink:gene_associated_with_condition	MONDO:0005147	NCBIGene:3119	biolink:gene_associated_with_condition|MONDO:0005147|NCBIGene:3119
v2	Q84	1	biolink:gene_associated_with_condition	MONDO:0005083	NCBIGene:3605	biolink:gene_associated_with_condition|MONDO:0005083|NCBIGene:3605
v2	Q85	1	biolink:gene_associated_with_condition	MONDO:0005140	NCBIGene:675	biolink:gene_associated_with_condition|MONDO:0005140|NCBIGene:675
v2	Q87	1	biolink:physically_interacts_with	NCBIGene:1029	NCBIGene:5925	biolink:physically_interacts_with|NCBIGene:1029|NCBIGene:5925
v2	Q88	1	biolink:disease_has_basis_in	MONDO:0005089	NCBIGene:5979	biolink:disease_has_basis_in|MONDO:0005089|NCBIGene:5979
v2	Q89	1	biolink:gene_associated_with_condition	MONDO:0005130	NCBIGene:3117	biolink:gene_associated_with_condition|MONDO:0005130|NCBIGene:3117
v2	Q90	1	biolink:gene_associated_with_condition	MONDO:0005148	NCBIGene:4160	biolink:gene_associated_with_condition|MONDO:0005148|NCBIGene:4160
v2	Q92	1	biolink:produces	NCBIGene:1565	CHEBI:16714	biolink:produces|NCBIGene:1565|CHEBI:16714
v2	Q93	1	biolink:interacts_with	NCBIGene:7471	NCBIGene:1499	biolink:interacts_with|NCBIGene:7471|NCBIGene:1499
v2	Q94	1	biolink:interacts_with	NCBIGene:9451	NCBIGene:468	biolink:interacts_with|NCBIGene:9451|NCBIGene:468
v2	Q96	1	biolink:gene_associated_with_condition	MONDO:0004985	NCBIGene:775	biolink:gene_associated_with_condition|MONDO:0004985|NCBIGene:775
v2	Q100	1	biolink:physically_interacts_with	NCBIGene:348	NCBIGene:4023	biolink:physically_interacts_with|NCBIGene:348|NCBIGene:4023
v2	Q102	1	biolink:interacts_with	NCBIGene:2247	NCBIGene:2260	biolink:interacts_with|NCBIGene:2247|NCBIGene:2260
v2	Q104	1	biolink:interacts_with	NCBIGene:3091	NCBIGene:2034	biolink:interacts_with|NCBIGene:3091|NCBIGene:2034
v2	Q105	1	biolink:physically_interacts_with	NCBIGene:7099	NCBIGene:4615	biolink:physically_interacts_with|NCBIGene:7099|NCBIGene:4615
v2	Q106	1	biolink:physically_interacts_with	NCBIGene:5728	NCBIGene:5290	biolink:physically_interacts_with|NCBIGene:5728|NCBIGene:5290
v2	Q107	1	biolink:physically_interacts_with	NCBIGene:5562	NCBIGene:2475	biolink:physically_interacts_with|NCBIGene:5562|NCBIGene:2475
v2	Q108	1	biolink:interacts_with	NCBIGene:9451	NCBIGene:7494	biolink:interacts_with|NCBIGene:9451|NCBIGene:7494
v2	Q109	1	biolink:physically_interacts_with	NCBIGene:3902	NCBIGene:3958	biolink:physically_interacts_with|NCBIGene:3902|NCBIGene:3958
v2	Q110	1	biolink:gene_associated_with_condition	MONDO:0005113	NCBIGene:5743	biolink:gene_associated_with_condition|MONDO:0005113|NCBIGene:5743
v2	Q111	1	biolink:disease_has_basis_in	MONDO:0005149	NCBIGene:4846	biolink:disease_has_basis_in|MONDO:0005149|NCBIGene:4846
v2	Q112	1	biolink:directly_physically_interacts_with	NCBIGene:6774	NCBIGene:3572	biolink:directly_physically_interacts_with|NCBIGene:6774|NCBIGene:3572
v2	Q113	1	biolink:physically_interacts_with	NCBIGene:7048	NCBIGene:4092	biolink:physically_interacts_with|NCBIGene:7048|NCBIGene:4092
v2	Q114	1	biolink:physically_interacts_with	NCBIGene:2308	NCBIGene:3643	biolink:physically_interacts_with|NCBIGene:2308|NCBIGene:3643
v2	Q115	1	biolink:directly_physically_interacts_with	NCBIGene:2645	NCBIGene:2538	biolink:directly_physically_interacts_with|NCBIGene:2645|NCBIGene:2538
v2	Q116	1	biolink:directly_physically_interacts_with	NCBIGene:6720	NCBIGene:2194	biolink:directly_physically_interacts_with|NCBIGene:6720|NCBIGene:2194
v2	Q117	1	biolink:physically_interacts_with	NCBIGene:5468	NCBIGene:1149	biolink:physically_interacts_with|NCBIGene:5468|NCBIGene:1149
v2	Q118	1	biolink:interacts_with	NCBIGene:6927	NCBIGene:3172	biolink:interacts_with|NCBIGene:6927|NCBIGene:3172
v2	Q119	1	biolink:physically_interacts_with	NCBIGene:9314	NCBIGene:6657	biolink:physically_interacts_with|NCBIGene:9314|NCBIGene:6657
v2	Q120	1	biolink:directly_physically_interacts_with	NCBIGene:1869	NCBIGene:5925	biolink:directly_physically_interacts_with|NCBIGene:1869|NCBIGene:5925
v2	Q123	1	biolink:directly_physically_interacts_with	NCBIGene:489	NCBIGene:5350	biolink:directly_physically_interacts_with|NCBIGene:489|NCBIGene:5350
v2	Q124	1	biolink:physically_interacts_with	NCBIGene:6262	NCBIGene:801	biolink:physically_interacts_with|NCBIGene:6262|NCBIGene:801
v2	Q125	1	biolink:directly_physically_interacts_with	NCBIGene:6331	NCBIGene:287	biolink:directly_physically_interacts_with|NCBIGene:6331|NCBIGene:287
v2	Q126	1	biolink:directly_physically_interacts_with	NCBIGene:3757	NCBIGene:783	biolink:directly_physically_interacts_with|NCBIGene:3757|NCBIGene:783
v2	Q127	1	biolink:physically_interacts_with	NCBIGene:2554	NCBIGene:2561	biolink:physically_interacts_with|NCBIGene:2554|NCBIGene:2561
v2	Q128	1	biolink:interacts_with	NCBIGene:6857	NCBIGene:6844	biolink:interacts_with|NCBIGene:6857|NCBIGene:6844
v2	Q129	1	biolink:physically_interacts_with	NCBIGene:3356	NCBIGene:2776	biolink:physically_interacts_with|NCBIGene:3356|NCBIGene:2776
v2	Q130	1	biolink:physically_interacts_with	NCBIGene:1813	NCBIGene:2771	biolink:physically_interacts_with|NCBIGene:1813|NCBIGene:2771
v2	Q131	1	biolink:interacts_with	NCBIGene:4988	NCBIGene:409	biolink:interacts_with|NCBIGene:4988|NCBIGene:409
v2	Q132	1	biolink:physically_interacts_with	NCBIGene:1268	NCBIGene:2775	biolink:physically_interacts_with|NCBIGene:1268|NCBIGene:2775
v2	Q134	1	biolink:directly_physically_interacts_with	NCBIGene:1129	NCBIGene:2770	biolink:directly_physically_interacts_with|NCBIGene:1129|NCBIGene:2770
v2	Q135	1	biolink:interacts_with	NCBIGene:2263	NCBIGene:10818	biolink:interacts_with|NCBIGene:2263|NCBIGene:10818
v2	Q136	1	biolink:physically_interacts_with	NCBIGene:1856	NCBIGene:8324	biolink:physically_interacts_with|NCBIGene:1856|NCBIGene:8324
v2	Q137	1	biolink:gene_associated_with_condition	MONDO:0005301	NCBIGene:3559	biolink:gene_associated_with_condition|MONDO:0005301|NCBIGene:3559
v2	Q138	1	biolink:gene_associated_with_condition	MONDO:0008383	NCBIGene:3553	biolink:gene_associated_with_condition|MONDO:0008383|NCBIGene:3553
v2	Q139	1	biolink:gene_associated_with_condition	MONDO:0004979	NCBIGene:3596	biolink:gene_associated_with_condition|MONDO:0004979|NCBIGene:3596
v2	Q140	1	biolink:gene_associated_with_condition	MONDO:0005148	NCBIGene:6517	biolink:gene_associated_with_condition|MONDO:0005148|NCBIGene:6517
v2	Q141	1	biolink:gene_associated_with_condition	MONDO:0005148	NCBIGene:6934	biolink:gene_associated_with_condition|MONDO:0005148|NCBIGene:6934
v2	Q142	1	biolink:gene_associated_with_condition	MONDO:0005148	NCBIGene:79068	biolink:gene_associated_with_condition|MONDO:0005148|NCBIGene:79068
v2	Q143	1	biolink:gene_associated_with_condition	MONDO:0005061	NCBIGene:238	biolink:gene_associated_with_condition|MONDO:0005061|NCBIGene:238
v2	Q144	1	biolink:gene_associated_with_condition	MONDO:0005090	NCBIGene:2903	biolink:gene_associated_with_condition|MONDO:0005090|NCBIGene:2903
v2	Q145	1	biolink:disease_has_basis_in	MONDO:0005083	NCBIGene:7124	biolink:disease_has_basis_in|MONDO:0005083|NCBIGene:7124
v2	Q146	1	biolink:gene_associated_with_condition	MONDO:0007915	NCBIGene:3663	biolink:gene_associated_with_condition|MONDO:0007915|NCBIGene:3663
v2	Q147	1	biolink:associated_with	MONDO:0005148	CHEBI:6801	biolink:associated_with|MONDO:0005148|CHEBI:6801
v2	Q148	1	biolink:treats_or_applied_or_studied_to_treat	MONDO:0005061	CHEBI:49668	biolink:treats_or_applied_or_studied_to_treat|MONDO:0005061|CHEBI:49668
v2	Q151	1	biolink:produces	NCBIGene:6323	CHEBI:39867	biolink:produces|NCBIGene:6323|CHEBI:39867
v2	Q152	1	biolink:catalyzes	NCBIGene:6323	CHEBI:3387	biolink:catalyzes|NCBIGene:6323|CHEBI:3387
v2	Q154	1	biolink:interacts_with	NCBIGene:5290	NCBIGene:2475	biolink:interacts_with|NCBIGene:5290|NCBIGene:2475
v2	Q155	1	biolink:directly_physically_interacts_with	NCBIGene:3845	NCBIGene:673	biolink:directly_physically_interacts_with|NCBIGene:3845|NCBIGene:673
v2	Q156	1	biolink:directly_physically_interacts_with	NCBIGene:673	NCBIGene:5594	biolink:directly_physically_interacts_with|NCBIGene:673|NCBIGene:5594
v2	Q157	1	biolink:interacts_with	NCBIGene:3458	NCBIGene:3716	biolink:interacts_with|NCBIGene:3458|NCBIGene:3716
v2	Q158	1	biolink:directly_physically_interacts_with	NCBIGene:3091	NCBIGene:7422	biolink:directly_physically_interacts_with|NCBIGene:3091|NCBIGene:7422
v2	Q159	1	biolink:physically_interacts_with	NCBIGene:2099	NCBIGene:5290	biolink:physically_interacts_with|NCBIGene:2099|NCBIGene:5290
v2	Q160	1	biolink:interacts_with	NCBIGene:367	NCBIGene:2308	biolink:interacts_with|NCBIGene:367|NCBIGene:2308
v2	Q161	1	biolink:interacts_with	NCBIGene:5468	NCBIGene:9370	biolink:interacts_with|NCBIGene:5468|NCBIGene:9370
v2	Q162	1	biolink:directly_physically_interacts_with	NCBIGene:3949	NCBIGene:338	biolink:directly_physically_interacts_with|NCBIGene:3949|NCBIGene:338
v2	Q163	1	biolink:physically_interacts_with	NCBIGene:1636	NCBIGene:185	biolink:physically_interacts_with|NCBIGene:1636|NCBIGene:185
v2	Q1	2	biolink:gene_associated_with_condition	MONDO:0005180	NCBIGene:348	biolink:gene_associated_with_condition|MONDO:0005180|NCBIGene:348
v2	Q2	2	biolink:gene_associated_with_condition	MONDO:0005300	NCBIGene:3569	biolink:gene_associated_with_condition|MONDO:0005300|NCBIGene:3569
v2	Q7	2	biolink:interacts_with	NCBIGene:7422	CHEBI:15365	biolink:interacts_with|NCBIGene:7422|CHEBI:15365
v2	Q8	2	biolink:gene_associated_with_condition	MONDO:0007254	NCBIGene:3569	biolink:gene_associated_with_condition|MONDO:0007254|NCBIGene:3569
v2	Q9	2	biolink:gene_associated_with_condition	MONDO:0005300	NCBIGene:7422	biolink:gene_associated_with_condition|MONDO:0005300|NCBIGene:7422
v2	Q15	2	biolink:gene_associated_with_condition	MONDO:0005010	NCBIGene:3569	biolink:gene_associated_with_condition|MONDO:0005010|NCBIGene:3569
v2	Q16	2	biolink:directly_physically_interacts_with	NCBIGene:673	CHEBI:6801	biolink:directly_physically_interacts_with|NCBIGene:673|CHEBI:6801
v2	Q17	2	biolink:directly_physically_interacts_with	NCBIGene:1636	CHEBI:6801	biolink:directly_physically_interacts_with|NCBIGene:1636|CHEBI:6801
v2	Q20	2	biolink:directly_physically_interacts_with	NCBIGene:7422	CHEBI:6801	biolink:directly_physically_interacts_with|NCBIGene:7422|CHEBI:6801
v2	Q21	2	biolink:gene_associated_with_condition	MONDO:0008383	NCBIGene:7422	biolink:gene_associated_with_condition|MONDO:0008383|NCBIGene:7422
v2	Q22	2	biolink:gene_associated_with_condition	MONDO:0001134	NCBIGene:1636	biolink:gene_associated_with_condition|MONDO:0001134|NCBIGene:1636
v2	Q23	2	biolink:directly_physically_interacts_with	NCBIGene:7124	CHEBI:41774	biolink:directly_physically_interacts_with|NCBIGene:7124|CHEBI:41774
v2	Q25	2	biolink:gene_associated_with_condition	MONDO:0005233	NCBIGene:7157	biolink:gene_associated_with_condition|MONDO:0005233|NCBIGene:7157
v2	Q28	2	biolink:directly_physically_interacts_with	NCBIGene:348	CHEBI:6801	biolink:directly_physically_interacts_with|NCBIGene:348|CHEBI:6801
v2	Q29	2	biolink:gene_associated_with_condition	MONDO:0005180	NCBIGene:1956	biolink:gene_associated_with_condition|MONDO:0005180|NCBIGene:1956
v2	Q30	2	biolink:gene_associated_with_condition	MONDO:0004979	NCBIGene:3569	biolink:gene_associated_with_condition|MONDO:0004979|NCBIGene:3569
v2	Q32	2	biolink:gene_associated_with_condition	MONDO:0008383	NCBIGene:7157	biolink:gene_associated_with_condition|MONDO:0008383|NCBIGene:7157
v2	Q33	2	biolink:gene_associated_with_condition	MONDO:0005300	NCBIGene:7124	biolink:gene_associated_with_condition|MONDO:0005300|NCBIGene:7124
v2	Q36	2	biolink:gene_associated_with_condition	MONDO:0005148	NCBIGene:673	biolink:gene_associated_with_condition|MONDO:0005148|NCBIGene:673
v2	Q38	2	biolink:directly_physically_interacts_with	NCBIGene:7157	CHEBI:41879	biolink:directly_physically_interacts_with|NCBIGene:7157|CHEBI:41879
v2	Q40	2	biolink:gene_associated_with_condition	MONDO:0004979	NCBIGene:7422	biolink:gene_associated_with_condition|MONDO:0004979|NCBIGene:7422
v2	Q42	2	biolink:directly_physically_interacts_with	NCBIGene:7422	CHEBI:5855	biolink:directly_physically_interacts_with|NCBIGene:7422|CHEBI:5855
v2	Q43	2	biolink:directly_physically_interacts_with	NCBIGene:7124	CHEBI:3756	biolink:directly_physically_interacts_with|NCBIGene:7124|CHEBI:3756
v2	Q44	2	biolink:gene_associated_with_condition	MONDO:0005148	NCBIGene:1636	biolink:gene_associated_with_condition|MONDO:0005148|NCBIGene:1636
v2	Q46	2	biolink:directly_physically_interacts_with	NCBIGene:675	CHEBI:41774	biolink:directly_physically_interacts_with|NCBIGene:675|CHEBI:41774
v2	Q48	2	biolink:interacts_with	NCBIGene:7157	CHEBI:15365	biolink:interacts_with|NCBIGene:7157|CHEBI:15365
v2	Q49	2	biolink:treats	MONDO:0004979	CHEBI:6801	biolink:treats|MONDO:0004979|CHEBI:6801
v2	Q50	2	biolink:gene_associated_with_condition	MONDO:0004979	NCBIGene:1956	biolink:gene_associated_with_condition|MONDO:0004979|NCBIGene:1956
v2	Q51	2	biolink:interacts_with	NCBIGene:3569	CHEBI:10033	biolink:interacts_with|NCBIGene:3569|CHEBI:10033
v2	Q52	2	biolink:gene_associated_with_condition	MONDO:0005148	NCBIGene:348	biolink:gene_associated_with_condition|MONDO:0005148|NCBIGene:348
v2	Q54	2	biolink:physically_interacts_with	NCBIGene:348	CHEBI:15365	biolink:physically_interacts_with|NCBIGene:348|CHEBI:15365
v2	Q55	2	biolink:gene_associated_with_condition	MONDO:0004975	NCBIGene:7124	biolink:gene_associated_with_condition|MONDO:0004975|NCBIGene:7124
v2	Q57	2	biolink:directly_physically_interacts_with	NCBIGene:672	CHEBI:6801	biolink:directly_physically_interacts_with|NCBIGene:672|CHEBI:6801
v2	Q61	2	biolink:directly_physically_interacts_with	NCBIGene:675	CHEBI:15365	biolink:directly_physically_interacts_with|NCBIGene:675|CHEBI:15365
v2	Q64	2	biolink:directly_physically_interacts_with	NCBIGene:1956	CHEBI:6801	biolink:directly_physically_interacts_with|NCBIGene:1956|CHEBI:6801
v2	Q66	2	biolink:directly_physically_interacts_with	NCBIGene:675	CHEBI:6801	biolink:directly_physically_interacts_with|NCBIGene:675|CHEBI:6801
v2	Q67	2	biolink:catalyzes	NCBIGene:3569	CHEBI:15365	biolink:catalyzes|NCBIGene:3569|CHEBI:15365
v2	Q68	2	biolink:directly_physically_interacts_with	NCBIGene:7157	CHEBI:41774	biolink:directly_physically_interacts_with|NCBIGene:7157|CHEBI:41774
v2	Q69	2	biolink:produces	NCBIGene:3569	CHEBI:27899	biolink:produces|NCBIGene:3569|CHEBI:27899
v2	Q70	2	biolink:directly_physically_interacts_with	NCBIGene:672	CHEBI:41879	biolink:directly_physically_interacts_with|NCBIGene:672|CHEBI:41879
v2	Q71	2	biolink:gene_associated_with_condition	MONDO:0005180	NCBIGene:7124	biolink:gene_associated_with_condition|MONDO:0005180|NCBIGene:7124
v2	Q72	2	biolink:gene_associated_with_condition	MONDO:0008383	NCBIGene:1956	biolink:gene_associated_with_condition|MONDO:0008383|NCBIGene:1956
v2	Q74	2	biolink:treats	MONDO:0005180	CHEBI:15365	biolink:treats|MONDO:0005180|CHEBI:15365
v2	Q75	2	biolink:gene_associated_with_condition	MONDO:0007254	NCBIGene:348	biolink:gene_associated_with_condition|MONDO:0007254|NCBIGene:348
v2	Q76	2	biolink:gene_associated_with_condition	MONDO:0005148	NCBIGene:3630	biolink:gene_associated_with_condition|MONDO:0005148|NCBIGene:3630
v2	Q77	2	biolink:gene_associated_with_condition	MONDO:0005061	NCBIGene:1956	biolink:gene_associated_with_condition|MONDO:0005061|NCBIGene:1956
v2	Q78	2	biolink:gene_associated_with_condition	MONDO:0004979	NCBIGene:3565	biolink:gene_associated_with_condition|MONDO:0004979|NCBIGene:3565
v2	Q79	2	biolink:gene_associated_with_condition	MONDO:0007915	NCBIGene:6775	biolink:gene_associated_with_condition|MONDO:0007915|NCBIGene:6775
v2	Q80	2	biolink:gene_associated_with_condition	MONDO:0005301	NCBIGene:3123	biolink:gene_associated_with_condition|MONDO:0005301|NCBIGene:3123
v2	Q81	2	biolink:gene_associated_with_condition	MONDO:0005148	NCBIGene:3952	biolink:gene_associated_with_condition|MONDO:0005148|NCBIGene:3952
v2	Q82	2	biolink:gene_associated_with_condition	MONDO:0005090	NCBIGene:1813	biolink:gene_associated_with_condition|MONDO:0005090|NCBIGene:1813
v2	Q83	2	biolink:gene_associated_with_condition	MONDO:0005147	NCBIGene:3119	biolink:gene_associated_with_condition|MONDO:0005147|NCBIGene:3119
v2	Q84	2	biolink:gene_associated_with_condition	MONDO:0005083	NCBIGene:3605	biolink:gene_associated_with_condition|MONDO:0005083|NCBIGene:3605
v2	Q85	2	biolink:gene_associated_with_condition	MONDO:0005140	NCBIGene:675	biolink:gene_associated_with_condition|MONDO:0005140|NCBIGene:675
v2	Q87	2	biolink:directly_physically_interacts_with	NCBIGene:1029	NCBIGene:5925	biolink:directly_physically_interacts_with|NCBIGene:1029|NCBIGene:5925
v2	Q88	2	biolink:gene_associated_with_condition	MONDO:0005089	NCBIGene:5979	biolink:gene_associated_with_condition|MONDO:0005089|NCBIGene:5979
v2	Q89	2	biolink:gene_associated_with_condition	MONDO:0005130	NCBIGene:3117	biolink:gene_associated_with_condition|MONDO:0005130|NCBIGene:3117
v2	Q90	2	biolink:gene_associated_with_condition	MONDO:0005148	NCBIGene:4160	biolink:gene_associated_with_condition|MONDO:0005148|NCBIGene:4160
v2	Q92	2	biolink:active_in	NCBIGene:1565	CHEBI:16714	biolink:active_in|NCBIGene:1565|CHEBI:16714
v2	Q93	2	biolink:interacts_with	NCBIGene:7471	NCBIGene:1499	biolink:interacts_with|NCBIGene:7471|NCBIGene:1499
v2	Q94	2	biolink:interacts_with	NCBIGene:9451	NCBIGene:468	biolink:interacts_with|NCBIGene:9451|NCBIGene:468
v2	Q96	2	biolink:gene_associated_with_condition	MONDO:0004985	NCBIGene:775	biolink:gene_associated_with_condition|MONDO:0004985|NCBIGene:775
v2	Q100	2	biolink:physically_interacts_with	NCBIGene:348	NCBIGene:4023	biolink:physically_interacts_with|NCBIGene:348|NCBIGene:4023
v2	Q102	2	biolink:physically_interacts_with	NCBIGene:2247	NCBIGene:2260	biolink:physically_interacts_with|NCBIGene:2247|NCBIGene:2260
v2	Q104	2	biolink:physically_interacts_with	NCBIGene:3091	NCBIGene:2034	biolink:physically_interacts_with|NCBIGene:3091|NCBIGene:2034
