question_id	query_edge_key	edge_id	subject	predicate	object	subject_label	object_label	provenance	key_exact
Q107	e0	e_3	NCBIGene:5562	biolink:affects	NCBIGene:2475	PRKAA1	MTOR	infores:epsd(primary_knowledge_source);infores:kinace(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)	Q107||NCBIGene:5562||biolink:affects||NCBIGene:2475
Q109	e0	e_1	NCBIGene:3902	biolink:affects	NCBIGene:3958	LAG3	LGALS3	infores:text-mining-provider-targeted(primary_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)	Q109||NCBIGene:3902||biolink:affects||NCBIGene:3958
Q109	e0	e_2	NCBIGene:3902	biolink:affects	NCBIGene:3958	LAG3	LGALS3	infores:text-mining-provider-targeted(primary_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)	Q109||NCBIGene:3902||biolink:affects||NCBIGene:3958
Q11	e0	e_1	CHEBI:5855	biolink:contributes_to	MONDO:0005300	Ibuprofen	chronic kidney disease	infores:text-mining-provider-targeted(primary_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)	Q11||CHEBI:5855||biolink:contributes_to||MONDO:0005300
Q11	e0	e_2	CHEBI:5855	biolink:contributes_to	MONDO:0005300	Ibuprofen	chronic kidney disease	infores:ctd(primary_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)	Q11||CHEBI:5855||biolink:contributes_to||MONDO:0005300
Q111	e0	e_1	NCBIGene:4846	biolink:genetically_associated_with	MONDO:0005149	NOS3	pulmonary hypertension	infores:disgenet(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)	Q111||NCBIGene:4846||biolink:genetically_associated_with||MONDO:0005149
Q111	e0	e_2	NCBIGene:4846	biolink:genetically_associated_with	MONDO:0005149	NOS3	pulmonary hypertension	infores:ctd(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)	Q111||NCBIGene:4846||biolink:genetically_associated_with||MONDO:0005149
Q112	e0	e_1	NCBIGene:3572	biolink:affects	NCBIGene:6774	IL6ST	STAT3	infores:ccidb(primary_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)	Q112||NCBIGene:3572||biolink:affects||NCBIGene:6774
Q112	e0	e_2	NCBIGene:3572	biolink:affects	NCBIGene:6774	IL6ST	STAT3	infores:text-mining-provider-targeted(primary_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)	Q112||NCBIGene:3572||biolink:affects||NCBIGene:6774
Q112	e0	e_4_e_6_e_7	NCBIGene:6774	biolink:interacts_with	NCBIGene:3572	STAT3	IL6ST	infores:automat-robokop(primary_knowledge_source)	Q112||NCBIGene:6774||biolink:interacts_with||NCBIGene:3572
Q112	e0	e_5_e_6_e_7	NCBIGene:6774	biolink:interacts_with	NCBIGene:3572	STAT3	IL6ST	infores:automat-robokop(primary_knowledge_source)	Q112||NCBIGene:6774||biolink:interacts_with||NCBIGene:3572
Q113	e0	e_4_e_6_e_7	NCBIGene:7048	biolink:interacts_with	NCBIGene:4092	TGFBR2	SMAD7	infores:automat-robokop(primary_knowledge_source)	Q113||NCBIGene:7048||biolink:interacts_with||NCBIGene:4092
Q113	e0	e_5_e_6_e_7	NCBIGene:7048	biolink:interacts_with	NCBIGene:4092	TGFBR2	SMAD7	infores:automat-robokop(primary_knowledge_source)	Q113||NCBIGene:7048||biolink:interacts_with||NCBIGene:4092
Q114	e0	e_1	NCBIGene:2308	biolink:affects	NCBIGene:3643	FOXO1	INSR	infores:text-mining-provider-targeted(primary_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)	Q114||NCBIGene:2308||biolink:affects||NCBIGene:3643
Q114	e0	e_2	NCBIGene:2308	biolink:affects	NCBIGene:3643	FOXO1	INSR	infores:text-mining-provider-targeted(primary_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)	Q114||NCBIGene:2308||biolink:affects||NCBIGene:3643
Q115	e0	e_1_e_3_e_4	NCBIGene:2645	biolink:interacts_with	NCBIGene:2538	GCK	G6PC1	infores:automat-robokop(primary_knowledge_source)	Q115||NCBIGene:2645||biolink:interacts_with||NCBIGene:2538
Q115	e0	e_2_e_3_e_4	NCBIGene:2645	biolink:interacts_with	NCBIGene:2538	GCK	G6PC1	infores:automat-robokop(primary_knowledge_source)	Q115||NCBIGene:2645||biolink:interacts_with||NCBIGene:2538
Q116	e0	e_1	NCBIGene:6720	biolink:affects	NCBIGene:2194	SREBF1	FASN	infores:text-mining-provider-targeted(primary_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)	Q116||NCBIGene:6720||biolink:affects||NCBIGene:2194
Q116	e0	e_2	NCBIGene:6720	biolink:affects	NCBIGene:2194	SREBF1	FASN	infores:signor(primary_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)	Q116||NCBIGene:6720||biolink:affects||NCBIGene:2194
Q118	e0	e_3	NCBIGene:3172	biolink:affects	NCBIGene:6927	HNF4A	HNF1A	infores:text-mining-provider-targeted(primary_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)	Q118||NCBIGene:3172||biolink:affects||NCBIGene:6927
Q118	e0	e_4	NCBIGene:3172	biolink:affects	NCBIGene:6927	HNF4A	HNF1A	infores:text-mining-provider-targeted(primary_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)	Q118||NCBIGene:3172||biolink:affects||NCBIGene:6927
Q118	e0	e_1	NCBIGene:6927	biolink:affects	NCBIGene:3172	HNF1A	HNF4A	infores:text-mining-provider-targeted(primary_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)	Q118||NCBIGene:6927||biolink:affects||NCBIGene:3172
Q118	e0	e_2	NCBIGene:6927	biolink:affects	NCBIGene:3172	HNF1A	HNF4A	infores:text-mining-provider-targeted(primary_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)	Q118||NCBIGene:6927||biolink:affects||NCBIGene:3172
Q119	e0	e_3	NCBIGene:6657	biolink:affects	NCBIGene:9314	SOX2	KLF4	infores:text-mining-provider-targeted(primary_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)	Q119||NCBIGene:6657||biolink:affects||NCBIGene:9314
Q119	e0	e_4	NCBIGene:6657	biolink:affects	NCBIGene:9314	SOX2	KLF4	infores:text-mining-provider-targeted(primary_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)	Q119||NCBIGene:6657||biolink:affects||NCBIGene:9314
Q119	e0	e_1	NCBIGene:9314	biolink:affects	NCBIGene:6657	KLF4	SOX2	infores:text-mining-provider-targeted(primary_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)	Q119||NCBIGene:9314||biolink:affects||NCBIGene:6657
Q119	e0	e_2	NCBIGene:9314	biolink:affects	NCBIGene:6657	KLF4	SOX2	infores:text-mining-provider-targeted(primary_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)	Q119||NCBIGene:9314||biolink:affects||NCBIGene:6657
Q122	e0	e_1_e_3	MONDO:0000001	biolink:regulates	NCBIGene:1025	disease	CDK9	infores:automat-robokop(primary_knowledge_source)	Q122||MONDO:0000001||biolink:regulates||NCBIGene:1025
Q122	e0	e_2_e_4	MONDO:0000001	biolink:regulates	NCBIGene:1025	disease	CDK9	infores:automat-robokop(primary_knowledge_source)	Q122||MONDO:0000001||biolink:regulates||NCBIGene:1025
Q125	e0	e_1_e_3_e_4	NCBIGene:6331	biolink:interacts_with	NCBIGene:287	SCN5A	ANK2	infores:automat-robokop(primary_knowledge_source)	Q125||NCBIGene:6331||biolink:interacts_with||NCBIGene:287
Q125	e0	e_2_e_3_e_4	NCBIGene:6331	biolink:interacts_with	NCBIGene:287	SCN5A	ANK2	infores:automat-robokop(primary_knowledge_source)	Q125||NCBIGene:6331||biolink:interacts_with||NCBIGene:287
Q126	e0	e_1_e_3_e_4	NCBIGene:3757	biolink:interacts_with	NCBIGene:783	KCNH2	CACNB2	infores:automat-robokop(primary_knowledge_source)	Q126||NCBIGene:3757||biolink:interacts_with||NCBIGene:783
Q126	e0	e_2_e_3_e_4	NCBIGene:3757	biolink:interacts_with	NCBIGene:783	KCNH2	CACNB2	infores:automat-robokop(primary_knowledge_source)	Q126||NCBIGene:3757||biolink:interacts_with||NCBIGene:783
Q130	e0	e_4_e_6_e_7	NCBIGene:1813	biolink:physically_interacts_with	NCBIGene:2771	DRD2	GNAI2	infores:automat-robokop(primary_knowledge_source)	Q130||NCBIGene:1813||biolink:physically_interacts_with||NCBIGene:2771
Q130	e0	e_5_e_6_e_7	NCBIGene:1813	biolink:physically_interacts_with	NCBIGene:2771	DRD2	GNAI2	infores:automat-robokop(primary_knowledge_source)	Q130||NCBIGene:1813||biolink:physically_interacts_with||NCBIGene:2771
Q131	e0	e_1_e_3_e_4	NCBIGene:4988	biolink:interacts_with	NCBIGene:409	OPRM1	ARRB2	infores:automat-robokop(primary_knowledge_source)	Q131||NCBIGene:4988||biolink:interacts_with||NCBIGene:409
Q131	e0	e_2_e_3_e_4	NCBIGene:4988	biolink:interacts_with	NCBIGene:409	OPRM1	ARRB2	infores:automat-robokop(primary_knowledge_source)	Q131||NCBIGene:4988||biolink:interacts_with||NCBIGene:409
Q132	e0	e_4_e_6_e_7	NCBIGene:1268	biolink:physically_interacts_with	NCBIGene:2775	CNR1	GNAO1	infores:automat-robokop(primary_knowledge_source)	Q132||NCBIGene:1268||biolink:physically_interacts_with||NCBIGene:2775
Q132	e0	e_5_e_6_e_7	NCBIGene:1268	biolink:physically_interacts_with	NCBIGene:2775	CNR1	GNAO1	infores:automat-robokop(primary_knowledge_source)	Q132||NCBIGene:1268||biolink:physically_interacts_with||NCBIGene:2775
Q132	e0	e_1	NCBIGene:1268	biolink:regulates	NCBIGene:2775	CNR1	GNAO1	infores:signor(primary_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)	Q132||NCBIGene:1268||biolink:regulates||NCBIGene:2775
Q132	e0	e_2	NCBIGene:1268	biolink:regulates	NCBIGene:2775	CNR1	GNAO1	infores:signor(primary_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)	Q132||NCBIGene:1268||biolink:regulates||NCBIGene:2775
Q135	e0	e_1	NCBIGene:2263	biolink:affects	NCBIGene:10818	FGFR2	FRS2	infores:text-mining-provider-targeted(primary_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)	Q135||NCBIGene:2263||biolink:affects||NCBIGene:10818
Q135	e0	e_2	NCBIGene:2263	biolink:affects	NCBIGene:10818	FGFR2	FRS2	infores:text-mining-provider-targeted(primary_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)	Q135||NCBIGene:2263||biolink:affects||NCBIGene:10818
Q137	e0	e_5_e_7	MONDO:0005301	biolink:target_for	MONDO:0005314	multiple sclerosis	relapsing-remitting multiple sclerosis	infores:automat-robokop(primary_knowledge_source)	Q137||MONDO:0005301||biolink:target_for||MONDO:0005314
Q137	e0	e_6_e_7	MONDO:0005301	biolink:target_for	MONDO:0005314	multiple sclerosis	relapsing-remitting multiple sclerosis	infores:automat-robokop(primary_knowledge_source)	Q137||MONDO:0005301||biolink:target_for||MONDO:0005314
Q137	e0	e_2	NCBIGene:3559	biolink:genetically_associated_with	MONDO:0005301	IL2RA	multiple sclerosis	infores:ctd(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)	Q137||NCBIGene:3559||biolink:genetically_associated_with||MONDO:0005301
Q137	e0	e_3	NCBIGene:3559	biolink:genetically_associated_with	MONDO:0005301	IL2RA	multiple sclerosis	infores:disgenet(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)	Q137||NCBIGene:3559||biolink:genetically_associated_with||MONDO:0005301
Q137	e0	e_4	NCBIGene:3559	biolink:genetically_associated_with	MONDO:0005301	IL2RA	multiple sclerosis	infores:diseases(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)	Q137||NCBIGene:3559||biolink:genetically_associated_with||MONDO:0005301
Q137	e0	e_5	NCBIGene:3559	biolink:target_for	MONDO:0005314	IL2RA	relapsing-remitting multiple sclerosis	infores:drugmechdb(primary_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)	Q137||NCBIGene:3559||biolink:target_for||MONDO:0005314
Q137	e0	e_6	NCBIGene:3559	biolink:target_for	MONDO:0005314	IL2RA	relapsing-remitting multiple sclerosis	infores:drugcentral(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)	Q137||NCBIGene:3559||biolink:target_for||MONDO:0005314
Q138	e0	e_2	NCBIGene:3553	biolink:genetically_associated_with	MONDO:0008383	IL1B	rheumatoid arthritis	infores:eram(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)	Q138||NCBIGene:3553||biolink:genetically_associated_with||MONDO:0008383
Q138	e0	e_3	NCBIGene:3553	biolink:genetically_associated_with	MONDO:0008383	IL1B	rheumatoid arthritis	infores:disgenet(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)	Q138||NCBIGene:3553||biolink:genetically_associated_with||MONDO:0008383
Q138	e0	e_4	NCBIGene:3553	biolink:genetically_associated_with	MONDO:0008383	IL1B	rheumatoid arthritis	infores:ctd(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)	Q138||NCBIGene:3553||biolink:genetically_associated_with||MONDO:0008383
Q139	e0	e_3	NCBIGene:3596	biolink:genetically_associated_with	MONDO:0004979	IL13	asthma	infores:disgenet(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)	Q139||NCBIGene:3596||biolink:genetically_associated_with||MONDO:0004979
Q139	e0	e_4	NCBIGene:3596	biolink:genetically_associated_with	MONDO:0004979	IL13	asthma	infores:ctd(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)	Q139||NCBIGene:3596||biolink:genetically_associated_with||MONDO:0004979
Q139	e0	e_5	NCBIGene:3596	biolink:genetically_associated_with	MONDO:0004979	IL13	asthma	infores:diseases(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)	Q139||NCBIGene:3596||biolink:genetically_associated_with||MONDO:0004979
Q140	e0	e_2	NCBIGene:6517	biolink:genetically_associated_with	MONDO:0005148	SLC2A4	type 2 diabetes mellitus	infores:disgenet(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)	Q140||NCBIGene:6517||biolink:genetically_associated_with||MONDO:0005148
Q140	e0	e_3	NCBIGene:6517	biolink:genetically_associated_with	MONDO:0005148	SLC2A4	type 2 diabetes mellitus	infores:ctd(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)	Q140||NCBIGene:6517||biolink:genetically_associated_with||MONDO:0005148
Q140	e0	e_4	NCBIGene:6517	biolink:genetically_associated_with	MONDO:0005148	SLC2A4	type 2 diabetes mellitus	infores:uniprot(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)	Q140||NCBIGene:6517||biolink:genetically_associated_with||MONDO:0005148
Q140	e0	e_5	NCBIGene:6517	biolink:genetically_associated_with	MONDO:0005148	SLC2A4	type 2 diabetes mellitus	infores:diseases(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)	Q140||NCBIGene:6517||biolink:genetically_associated_with||MONDO:0005148
Q140	e0	e_6	NCBIGene:6517	biolink:genetically_associated_with	MONDO:0005148	SLC2A4	type 2 diabetes mellitus	infores:eram(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)	Q140||NCBIGene:6517||biolink:genetically_associated_with||MONDO:0005148
Q141	e0	e_4	NCBIGene:6934	biolink:genetically_associated_with	MONDO:0005148	TCF7L2	type 2 diabetes mellitus	infores:disgenet(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)	Q141||NCBIGene:6934||biolink:genetically_associated_with||MONDO:0005148
Q141	e0	e_5	NCBIGene:6934	biolink:genetically_associated_with	MONDO:0005148	TCF7L2	type 2 diabetes mellitus	infores:eram(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)	Q141||NCBIGene:6934||biolink:genetically_associated_with||MONDO:0005148
Q141	e0	e_6	NCBIGene:6934	biolink:genetically_associated_with	MONDO:0005148	TCF7L2	type 2 diabetes mellitus	infores:monarchinitiative(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)	Q141||NCBIGene:6934||biolink:genetically_associated_with||MONDO:0005148
Q141	e0	e_7	NCBIGene:6934	biolink:genetically_associated_with	MONDO:0005148	TCF7L2	type 2 diabetes mellitus	infores:ctd(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)	Q141||NCBIGene:6934||biolink:genetically_associated_with||MONDO:0005148
Q141	e0	e_8	NCBIGene:6934	biolink:genetically_associated_with	MONDO:0005148	TCF7L2	type 2 diabetes mellitus	infores:diseases(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)	Q141||NCBIGene:6934||biolink:genetically_associated_with||MONDO:0005148
Q141	e0	e_9	NCBIGene:6934	biolink:genetically_associated_with	MONDO:0005148	TCF7L2	type 2 diabetes mellitus	infores:uniprot(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)	Q141||NCBIGene:6934||biolink:genetically_associated_with||MONDO:0005148
Q142	e0	e_2	NCBIGene:79068	biolink:genetically_associated_with	MONDO:0005148	FTO	type 2 diabetes mellitus	infores:eram(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)	Q142||NCBIGene:79068||biolink:genetically_associated_with||MONDO:0005148
Q142	e0	e_3	NCBIGene:79068	biolink:genetically_associated_with	MONDO:0005148	FTO	type 2 diabetes mellitus	infores:ctd(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)	Q142||NCBIGene:79068||biolink:genetically_associated_with||MONDO:0005148
Q142	e0	e_4	NCBIGene:79068	biolink:genetically_associated_with	MONDO:0005148	FTO	type 2 diabetes mellitus	infores:disgenet(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)	Q142||NCBIGene:79068||biolink:genetically_associated_with||MONDO:0005148
Q142	e0	e_5	NCBIGene:79068	biolink:genetically_associated_with	MONDO:0005148	FTO	type 2 diabetes mellitus	infores:diseases(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)	Q142||NCBIGene:79068||biolink:genetically_associated_with||MONDO:0005148
Q143	e0	e_1	NCBIGene:238	biolink:genetically_associated_with	MONDO:0005061	ALK	lung adenocarcinoma	infores:ctd(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)	Q143||NCBIGene:238||biolink:genetically_associated_with||MONDO:0005061
Q143	e0	e_2	NCBIGene:238	biolink:genetically_associated_with	MONDO:0005061	ALK	lung adenocarcinoma	infores:disgenet(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)	Q143||NCBIGene:238||biolink:genetically_associated_with||MONDO:0005061
Q144	e0	e_2	NCBIGene:2903	biolink:genetically_associated_with	MONDO:0005090	GRIN2A	schizophrenia	infores:disgenet(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)	Q144||NCBIGene:2903||biolink:genetically_associated_with||MONDO:0005090
Q144	e0	e_3	NCBIGene:2903	biolink:genetically_associated_with	MONDO:0005090	GRIN2A	schizophrenia	infores:diseases(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)	Q144||NCBIGene:2903||biolink:genetically_associated_with||MONDO:0005090
Q145	e0	e_3_e_7	MONDO:0005083	biolink:genetically_associated_with	MONDO:0015597	psoriasis	pustulosis palmaris et plantaris	infores:automat-robokop(primary_knowledge_source)	Q145||MONDO:0005083||biolink:genetically_associated_with||MONDO:0015597
Q145	e0	e_4_e_7	MONDO:0005083	biolink:genetically_associated_with	MONDO:0015597	psoriasis	pustulosis palmaris et plantaris	infores:automat-robokop(primary_knowledge_source)	Q145||MONDO:0005083||biolink:genetically_associated_with||MONDO:0015597
Q145	e0	e_2	NCBIGene:7124	biolink:genetically_associated_with	MONDO:0005083	TNF	psoriasis	infores:eram(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)	Q145||NCBIGene:7124||biolink:genetically_associated_with||MONDO:0005083
Q145	e0	e_5	NCBIGene:7124	biolink:genetically_associated_with	MONDO:0005083	TNF	psoriasis	infores:ctd(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)	Q145||NCBIGene:7124||biolink:genetically_associated_with||MONDO:0005083
Q145	e0	e_6	NCBIGene:7124	biolink:genetically_associated_with	MONDO:0005083	TNF	psoriasis	infores:disgenet(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)	Q145||NCBIGene:7124||biolink:genetically_associated_with||MONDO:0005083
Q145	e0	e_3	NCBIGene:7124	biolink:genetically_associated_with	MONDO:0015597	TNF	pustulosis palmaris et plantaris	infores:disgenet(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)	Q145||NCBIGene:7124||biolink:genetically_associated_with||MONDO:0015597
Q145	e0	e_4	NCBIGene:7124	biolink:genetically_associated_with	MONDO:0015597	TNF	pustulosis palmaris et plantaris	infores:ctd(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)	Q145||NCBIGene:7124||biolink:genetically_associated_with||MONDO:0015597
Q146	e0	e_2	NCBIGene:3663	biolink:genetically_associated_with	MONDO:0007915	IRF5	EXCESS LMW-DNA	infores:diseases(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)	Q146||NCBIGene:3663||biolink:genetically_associated_with||MONDO:0007915
Q146	e0	e_3	NCBIGene:3663	biolink:genetically_associated_with	MONDO:0007915	IRF5	EXCESS LMW-DNA	infores:disgenet(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)	Q146||NCBIGene:3663||biolink:genetically_associated_with||MONDO:0007915
