question_id	n_rows_total	n_unique_exact	n_unique_directionless	n_unique_directionless_inv	dup_rows_exact	dup_rows_directionless	dup_rows_directionless_inv
Q83	5	3	3	3	2	2	2
Q84	1	1	1	1	0	0	0
Q85	1	1	1	1	0	0	0
Q86	3	1	1	1	2	2	2
Q87	5	5	4	4	0	1	1
Q88	3	3	3	3	0	0	0
Q89	5	3	3	3	2	2	2
Q9	6	4	4	4	2	2	2
Q90	3	3	3	3	0	0	0
Q91	3	2	2	2	1	1	1
Q92	6	5	4	4	1	2	2
Q93	6	5	3	3	1	3	3
Q94	3	3	2	2	0	1	1
Q95	7	7	5	5	0	2	2
Q96	10	8	8	8	2	2	2
Q97	5	5	5	5	0	0	0
Q98	1	1	1	1	0	0	0
Q99	5	5	5	5	0	0	0
