edge	count_before_dedup	count_after_exact_dedup	rows_removed
NCBIGene:3902 | biolink:affects | NCBIGene:3958	2	1	1
NCBIGene:4615 | biolink:affects | NCBIGene:7099	2	1	1
NCBIGene:4846 | biolink:genetically_associated_with | MONDO:0005149	2	1	1
NCBIGene:4988 | biolink:interacts_with | NCBIGene:409	2	1	1
NCBIGene:5468 | biolink:affects | NCBIGene:9370	2	1	1
NCBIGene:5594 | biolink:regulates | NCBIGene:673	2	1	1
NCBIGene:5594 | biolink:related_to | NCBIGene:673	2	1	1
NCBIGene:6331 | biolink:interacts_with | NCBIGene:287	2	1	1
NCBIGene:65018 | biolink:affects | NCBIGene:11315	2	1	1
NCBIGene:6657 | biolink:affects | NCBIGene:9314	2	1	1
NCBIGene:6720 | biolink:affects | NCBIGene:2194	2	1	1
NCBIGene:673 | biolink:genetically_associated_with | MONDO:0005148	2	1	1
NCBIGene:6774 | biolink:interacts_with | NCBIGene:3572	2	1	1
NCBIGene:6927 | biolink:affects | NCBIGene:3172	2	1	1
NCBIGene:7048 | biolink:interacts_with | NCBIGene:4092	2	1	1
NCBIGene:7099 | biolink:affects | NCBIGene:4615	2	1	1
NCBIGene:7124 | biolink:genetically_associated_with | MONDO:0005180	2	1	1
NCBIGene:7124 | biolink:genetically_associated_with | MONDO:0015597	2	1	1
NCBIGene:7157 | biolink:has_phenotype | MONDO:0005061	2	1	1
NCBIGene:7422 | biolink:affects | NCBIGene:3091	2	1	1
NCBIGene:7422 | biolink:genetically_associated_with | MONDO:0004979	2	1	1
NCBIGene:7422 | biolink:genetically_associated_with | MONDO:0005016	2	1	1
NCBIGene:7471 | biolink:affects | NCBIGene:1499	2	1	1
NCBIGene:9314 | biolink:affects | NCBIGene:6657	2	1	1
CHEBI:43415 | biolink:subclass_of | CHEBI:5855	2	2	0
MONDO:0004375 | biolink:subclass_of | MONDO:0005300	2	2	0
MONDO:0004991 | biolink:subclass_of | MONDO:0005061	2	2	0
MONDO:0005016 | biolink:subclass_of | MONDO:0005300	2	2	0
MONDO:0005300 | biolink:genetically_associated_with | MONDO:0024327	2	2	0
MONDO:0005300 | biolink:treats_or_applied_or_studied_to_treat | MONDO:0004375	2	2	0
MONDO:0005300 | biolink:treats_or_applied_or_studied_to_treat | MONDO:0024327	2	2	0
NCBIGene:5468 | biolink:interacts_with | UniProtKB:P37231-1	2	2	0
UniProtKB:P10275-1 | biolink:subclass_of | NCBIGene:367	2	2	0
UniProtKB:P37231-1 | biolink:subclass_of | NCBIGene:5468	2	2	0
CHEBI:10033 | biolink:contributes_to | MONDO:0004979	1	1	0
CHEBI:10033 | biolink:contributes_to | MONDO:0008383	1	1	0
CHEBI:10033 | biolink:has_adverse_event | MONDO:0004979	1	1	0
CHEBI:10033 | biolink:has_adverse_event | MONDO:0005148	1	1	0
CHEBI:10033 | biolink:has_adverse_event | MONDO:0008383	1	1	0
CHEBI:10033 | biolink:has_adverse_event | MONDO:0011849	1	1	0
CHEBI:10033 | biolink:treats_or_applied_or_studied_to_treat | MONDO:0004375	1	1	0
CHEBI:10033 | biolink:treats_or_applied_or_studied_to_treat | MONDO:0004979	1	1	0
CHEBI:10033 | biolink:treats_or_applied_or_studied_to_treat | MONDO:0005016	1	1	0
CHEBI:10033 | biolink:treats_or_applied_or_studied_to_treat | MONDO:0005148	1	1	0
CHEBI:10033 | biolink:treats_or_applied_or_studied_to_treat | MONDO:0005300	1	1	0
CHEBI:10033 | biolink:treats_or_applied_or_studied_to_treat | MONDO:0005306	1	1	0
CHEBI:10033 | biolink:treats_or_applied_or_studied_to_treat | MONDO:0005405	1	1	0
CHEBI:10033 | biolink:treats_or_applied_or_studied_to_treat | MONDO:0008383	1	1	0
CHEBI:10033 | biolink:treats_or_applied_or_studied_to_treat | MONDO:0024327	1	1	0
CHEBI:15365 | biolink:affects | NCBIGene:675	1	1	0
CHEBI:15365 | biolink:affects | NCBIGene:7422	1	1	0
CHEBI:15365 | biolink:directly_physically_interacts_with | NCBIGene:7157	1	1	0
CHEBI:15365 | biolink:has_adverse_event | MONDO:0004975	1	1	0
CHEBI:15365 | biolink:treats_or_applied_or_studied_to_treat | MONDO:0004975	1	1	0
CHEBI:15365 | biolink:treats_or_applied_or_studied_to_treat | MONDO:0010422	1	1	0
CHEBI:15365 | biolink:treats_or_applied_or_studied_to_treat | MONDO:0011764	1	1	0
CHEBI:15365 | biolink:treats_or_applied_or_studied_to_treat | MONDO:0012630	1	1	0
CHEBI:16714 | biolink:directly_physically_interacts_with | NCBIGene:1565	1	1	0
CHEBI:16714 | biolink:related_to | NCBIGene:1565	1	1	0
CHEBI:27899 | biolink:contributes_to | MONDO:0004975	1	1	0
CHEBI:27899 | biolink:contributes_to | MONDO:0005180	1	1	0
CHEBI:27899 | biolink:treats_or_applied_or_studied_to_treat | MONDO:0004975	1	1	0
CHEBI:27899 | biolink:treats_or_applied_or_studied_to_treat | MONDO:0005180	1	1	0
CHEBI:27899 | biolink:treats_or_applied_or_studied_to_treat | MONDO:0008383	1	1	0
CHEBI:3387 | biolink:affects | NCBIGene:6323	1	1	0
CHEBI:3756 | biolink:affects | NCBIGene:3569	1	1	0
CHEBI:3756 | biolink:affects | NCBIGene:7124	1	1	0
CHEBI:3756 | biolink:ameliorates_condition | MONDO:0005180	1	1	0
CHEBI:3756 | biolink:has_adverse_event | MONDO:0005010	1	1	0
CHEBI:3756 | biolink:has_adverse_event | MONDO:0005180	1	1	0
CHEBI:3756 | biolink:has_adverse_event | MONDO:0005300	1	1	0
CHEBI:3756 | biolink:has_adverse_event | MONDO:0024327	1	1	0
CHEBI:3756 | biolink:treats_or_applied_or_studied_to_treat | MONDO:0004375	1	1	0
CHEBI:3756 | biolink:treats_or_applied_or_studied_to_treat | MONDO:0005148	1	1	0
CHEBI:3756 | biolink:treats_or_applied_or_studied_to_treat | MONDO:0007254	1	1	0
CHEBI:3766 | biolink:directly_physically_interacts_with | NCBIGene:1813	1	1	0
CHEBI:3766 | biolink:related_to | NCBIGene:1813	1	1	0
CHEBI:39867 | biolink:affects | NCBIGene:6323	1	1	0
CHEBI:41774 | biolink:affects | NCBIGene:348	1	1	0
CHEBI:41774 | biolink:affects | NCBIGene:675	1	1	0
CHEBI:41774 | biolink:affects | NCBIGene:7124	1	1	0
CHEBI:41774 | biolink:affects | NCBIGene:7422	1	1	0
CHEBI:41774 | biolink:treats_or_applied_or_studied_to_treat | MONDO:0004975	1	1	0
CHEBI:41774 | biolink:treats_or_applied_or_studied_to_treat | MONDO:0005148	1	1	0
CHEBI:41774 | biolink:treats_or_applied_or_studied_to_treat | MONDO:0008383	1	1	0
CHEBI:41879 | biolink:affects | NCBIGene:672	1	1	0
CHEBI:41879 | biolink:contributes_to | MONDO:0004975	1	1	0
CHEBI:41879 | biolink:contributes_to | MONDO:0005148	1	1	0
CHEBI:41879 | biolink:has_adverse_event | MONDO:0005148	1	1	0
CHEBI:41879 | biolink:regulates | NCBIGene:7422	1	1	0
CHEBI:41879 | biolink:treats_or_applied_or_studied_to_treat | MONDO:0004975	1	1	0
CHEBI:41879 | biolink:treats_or_applied_or_studied_to_treat | MONDO:0005148	1	1	0
CHEBI:43415 | biolink:affects | CHEBI:5855	1	1	0
CHEBI:43415 | biolink:affects | NCBIGene:7124	1	1	0
CHEBI:43415 | biolink:contributes_to | CHEBI:5855	1	1	0
CHEBI:43415 | biolink:contributes_to | MONDO:0005148	1	1	0
CHEBI:45783 | biolink:directly_physically_interacts_with | NCBIGene:613	1	1	0
CHEBI:49668 | biolink:treats_or_applied_or_studied_to_treat | MONDO:0004991	1	1	0
CHEBI:49668 | biolink:treats_or_applied_or_studied_to_treat | MONDO:0005616	1	1	0
CHEBI:5855 | biolink:affects | NCBIGene:3569	1	1	0
CHEBI:5855 | biolink:affects | NCBIGene:7124	1	1	0
CHEBI:5855 | biolink:causes | MONDO:0004979	1	1	0
CHEBI:5855 | biolink:causes | MONDO:0850283	1	1	0
CHEBI:5855 | biolink:contraindicated_in | MONDO:0850283	1	1	0
CHEBI:5855 | biolink:treats_or_applied_or_studied_to_treat | MONDO:0004979	1	1	0
CHEBI:5855 | biolink:treats_or_applied_or_studied_to_treat | MONDO:0005148	1	1	0
CHEBI:5855 | biolink:treats_or_applied_or_studied_to_treat | MONDO:0005300	1	1	0
CHEBI:5855 | biolink:treats_or_applied_or_studied_to_treat | MONDO:0024327	1	1	0
CHEBI:6801 | biolink:affects | NCBIGene:1636	1	1	0
CHEBI:6801 | biolink:affects | NCBIGene:1956	1	1	0
CHEBI:6801 | biolink:affects | NCBIGene:348	1	1	0
CHEBI:6801 | biolink:affects | NCBIGene:3569	1	1	0
CHEBI:6801 | biolink:affects | NCBIGene:673	1	1	0
CHEBI:6801 | biolink:affects | NCBIGene:675	1	1	0
CHEBI:6801 | biolink:affects | NCBIGene:7124	1	1	0
CHEBI:6801 | biolink:affects | NCBIGene:7422	1	1	0
CHEBI:6801 | biolink:has_adverse_event | MONDO:0005148	1	1	0
CHEBI:6801 | biolink:regulates | NCBIGene:672	1	1	0
CHEBI:6801 | biolink:treats_or_applied_or_studied_to_treat | MONDO:0004784	1	1	0
CHEBI:6801 | biolink:treats_or_applied_or_studied_to_treat | MONDO:0004979	1	1	0
CHEBI:6801 | biolink:treats_or_applied_or_studied_to_treat | MONDO:0011363	1	1	0
CHEBI:6801 | biolink:treats_or_applied_or_studied_to_treat | MONDO:0850282	1	1	0
MONDO:0002334 | biolink:regulates | NCBIGene:1025	1	1	0
MONDO:0002334 | biolink:subclass_of | MONDO:0000001	1	1	0
MONDO:0004784 | biolink:subclass_of | MONDO:0004979	1	1	0
MONDO:0004975 | biolink:genetically_associated_with | MONDO:0100087	1	1	0
MONDO:0004975 | biolink:related_to | NCBIGene:7124	1	1	0
MONDO:0004975 | biolink:treats_or_applied_or_studied_to_treat | MONDO:0010422	1	1	0
MONDO:0004975 | biolink:treats_or_applied_or_studied_to_treat | MONDO:0012630	1	1	0
MONDO:0004979 | biolink:causes | MONDO:0850283	1	1	0
MONDO:0004979 | biolink:contraindicated_in | MONDO:0850283	1	1	0
MONDO:0004979 | biolink:related_to | NCBIGene:1956	1	1	0
MONDO:0004979 | biolink:related_to | NCBIGene:3565	1	1	0
MONDO:0004979 | biolink:related_to | NCBIGene:3569	1	1	0
MONDO:0004979 | biolink:related_to | NCBIGene:3596	1	1	0
MONDO:0004979 | biolink:related_to | NCBIGene:7422	1	1	0
MONDO:0004979 | biolink:treats_or_applied_or_studied_to_treat | MONDO:0004784	1	1	0
MONDO:0004979 | biolink:treats_or_applied_or_studied_to_treat | MONDO:0005405	1	1	0
MONDO:0004979 | biolink:treats_or_applied_or_studied_to_treat | MONDO:0850282	1	1	0
MONDO:0004985 | biolink:genetically_associated_with | MONDO:0024612	1	1	0
MONDO:0004985 | biolink:genetically_associated_with | MONDO:0024613	1	1	0
MONDO:0004985 | biolink:related_to | NCBIGene:775	1	1	0
MONDO:0004989 | biolink:subclass_of | MONDO:0007254	1	1	0
MONDO:0005010 | biolink:related_to | NCBIGene:3569	1	1	0
MONDO:0005061 | biolink:has_phenotype | MONDO:0004991	1	1	0
MONDO:0005061 | biolink:subclass_of | MONDO:0005233	1	1	0
MONDO:0005061 | biolink:treats_or_applied_or_studied_to_treat | MONDO:0004991	1	1	0
MONDO:0005061 | biolink:treats_or_applied_or_studied_to_treat | MONDO:0005616	1	1	0
MONDO:0005083 | biolink:related_to | NCBIGene:3605	1	1	0
MONDO:0005083 | biolink:related_to | NCBIGene:7124	1	1	0
MONDO:0005089 | biolink:target_for | MONDO:0011719	1	1	0
MONDO:0005090 | biolink:related_to | NCBIGene:1813	1	1	0
MONDO:0005090 | biolink:related_to | NCBIGene:2903	1	1	0
MONDO:0005109 | biolink:genetically_associated_with | MONDO:0012268	1	1	0
MONDO:0005109 | biolink:related_to | NCBIGene:1234	1	1	0
MONDO:0005113 | biolink:target_for | MONDO:0006052	1	1	0
MONDO:0005130 | biolink:related_to | NCBIGene:3117	1	1	0
MONDO:0005147 | biolink:related_to | NCBIGene:3119	1	1	0
MONDO:0005148 | biolink:related_to | NCBIGene:1636	1	1	0
MONDO:0005148 | biolink:related_to | NCBIGene:348	1	1	0
MONDO:0005148 | biolink:related_to | NCBIGene:3630	1	1	0
MONDO:0005148 | biolink:related_to | NCBIGene:3952	1	1	0
MONDO:0005148 | biolink:related_to | NCBIGene:4160	1	1	0
MONDO:0005148 | biolink:related_to | NCBIGene:6517	1	1	0
MONDO:0005148 | biolink:related_to | NCBIGene:6934	1	1	0
MONDO:0005148 | biolink:related_to | NCBIGene:79068	1	1	0
MONDO:0005148 | biolink:treats_or_applied_or_studied_to_treat | MONDO:0011363	1	1	0
MONDO:0005180 | biolink:regulates | NCBIGene:1956	1	1	0
MONDO:0005180 | biolink:related_to | NCBIGene:348	1	1	0
MONDO:0005180 | biolink:related_to | NCBIGene:7124	1	1	0
MONDO:0005180 | biolink:treats_or_applied_or_studied_to_treat | MONDO:0011764	1	1	0
MONDO:0005300 | biolink:has_adverse_event | MONDO:0024327	1	1	0
MONDO:0005300 | biolink:related_to | NCBIGene:3569	1	1	0
MONDO:0005300 | biolink:related_to | NCBIGene:7124	1	1	0
MONDO:0005300 | biolink:related_to | NCBIGene:7422	1	1	0
MONDO:0005300 | biolink:treats_or_applied_or_studied_to_treat | MONDO:0005016	1	1	0
MONDO:0005301 | biolink:related_to | NCBIGene:3123	1	1	0
MONDO:0005301 | biolink:related_to | NCBIGene:3559	1	1	0
MONDO:0005306 | biolink:subclass_of | MONDO:0008383	1	1	0
MONDO:0005314 | biolink:subclass_of | MONDO:0005301	1	1	0
MONDO:0005405 | biolink:subclass_of | MONDO:0004979	1	1	0
MONDO:0005616 | biolink:subclass_of | MONDO:0005061	1	1	0
MONDO:0006052 | biolink:subclass_of | MONDO:0005113	1	1	0
MONDO:0007254 | biolink:genetically_associated_with | MONDO:0045059	1	1	0
MONDO:0007254 | biolink:related_to | NCBIGene:3569	1	1	0
MONDO:0007915 | biolink:related_to | NCBIGene:3663	1	1	0
MONDO:0007915 | biolink:related_to | NCBIGene:6775	1	1	0
MONDO:0008383 | biolink:has_adverse_event | MONDO:0011849	1	1	0
MONDO:0008383 | biolink:regulates | NCBIGene:1025	1	1	0
MONDO:0008383 | biolink:regulates | NCBIGene:1956	1	1	0
MONDO:0008383 | biolink:related_to | NCBIGene:3553	1	1	0
MONDO:0008383 | biolink:related_to | NCBIGene:7157	1	1	0
MONDO:0008383 | biolink:related_to | NCBIGene:7422	1	1	0
MONDO:0008383 | biolink:subclass_of | MONDO:0000001	1	1	0
MONDO:0008383 | biolink:treats_or_applied_or_studied_to_treat | MONDO:0005306	1	1	0
MONDO:0010422 | biolink:subclass_of | MONDO:0004975	1	1	0
MONDO:0011363 | biolink:subclass_of | MONDO:0005148	1	1	0
MONDO:0011719 | biolink:subclass_of | MONDO:0005089	1	1	0
MONDO:0011764 | biolink:subclass_of | MONDO:0005180	1	1	0
MONDO:0011849 | biolink:subclass_of | MONDO:0008383	1	1	0
MONDO:0012268 | biolink:related_to | NCBIGene:1234	1	1	0
MONDO:0012268 | biolink:subclass_of | MONDO:0005109	1	1	0
MONDO:0012630 | biolink:subclass_of | MONDO:0004975	1	1	0
MONDO:0015597 | biolink:subclass_of | MONDO:0005083	1	1	0
MONDO:0024612 | biolink:subclass_of | MONDO:0004985	1	1	0
MONDO:0024613 | biolink:subclass_of | MONDO:0004985	1	1	0
MONDO:0045059 | biolink:subclass_of | MONDO:0007254	1	1	0
MONDO:0100087 | biolink:subclass_of | MONDO:0004975	1	1	0
MONDO:0100096 | biolink:genetically_associated_with | MONDO:0100233	1	1	0
MONDO:0100096 | biolink:has_part | NCBIGene:59272	1	1	0
MONDO:0100233 | biolink:subclass_of | MONDO:0100096	1	1	0
MONDO:0850282 | biolink:subclass_of | MONDO:0004979	1	1	0
MONDO:0850283 | biolink:subclass_of | MONDO:0004979	1	1	0
NCBIGene:1029 | biolink:interacts_with | NCBIGene:5925	1	1	0
NCBIGene:1029 | biolink:interacts_with | UniProtKB:P42771-4	1	1	0
NCBIGene:10818 | biolink:interacts_with | UniProtKB:P21802-3	1	1	0
NCBIGene:1129 | biolink:physically_interacts_with | NCBIGene:2770	1	1	0
NCBIGene:1129 | biolink:physically_interacts_with | UniProtKB:P63096-1	1	1	0
NCBIGene:1129 | biolink:regulates | NCBIGene:2770	1	1	0
NCBIGene:1129 | biolink:related_to | NCBIGene:2770	1	1	0
NCBIGene:11315 | biolink:genetically_interacts_with | NCBIGene:65018	1	1	0
NCBIGene:11315 | biolink:interacts_with | UniProtKB:Q9BXM7-1	1	1	0
NCBIGene:1149 | biolink:interacts_with | UniProtKB:P37231-1	1	1	0
NCBIGene:120892 | biolink:directly_physically_interacts_with | NCBIGene:6622	1	1	0
NCBIGene:120892 | biolink:interacts_with | UniProtKB:P37840-1	1	1	0
NCBIGene:120892 | biolink:regulates | NCBIGene:6622	1	1	0
NCBIGene:120892 | biolink:related_to | NCBIGene:6622	1	1	0
NCBIGene:1234 | biolink:genetically_associated_with | MONDO:0012268	1	1	0
NCBIGene:1268 | biolink:related_to | NCBIGene:2775	1	1	0
NCBIGene:148 | biolink:physically_interacts_with | NCBIGene:2767	1	1	0
NCBIGene:148 | biolink:physically_interacts_with | UniProtKB:P35348-2	1	1	0
NCBIGene:1499 | biolink:affects | NCBIGene:7471	1	1	0
NCBIGene:1499 | biolink:interacts_with | NCBIGene:7471	1	1	0
NCBIGene:1565 | biolink:affects | CHEBI:16714	1	1	0
NCBIGene:1565 | biolink:affects_response_to | CHEBI:16714	1	1	0
NCBIGene:1636 | biolink:interacts_with | NCBIGene:185	1	1	0
NCBIGene:1636 | biolink:interacts_with | UniProtKB:P12821-1	1	1	0
NCBIGene:1636 | biolink:target_for | MONDO:0001134	1	1	0
NCBIGene:1813 | biolink:affects | NCBIGene:2771	1	1	0
NCBIGene:1813 | biolink:affects_response_to | CHEBI:3766	1	1	0
NCBIGene:1813 | biolink:genetically_interacts_with | NCBIGene:2771	1	1	0
NCBIGene:1813 | biolink:increases_response_to | CHEBI:3766	1	1	0
NCBIGene:185 | biolink:interacts_with | UniProtKB:P12821-1	1	1	0
NCBIGene:1856 | biolink:interacts_with | NCBIGene:8324	1	1	0
NCBIGene:1869 | biolink:directly_physically_interacts_with | NCBIGene:5925	1	1	0
NCBIGene:1869 | biolink:genetically_interacts_with | NCBIGene:5925	1	1	0
NCBIGene:1869 | biolink:interacts_with | NCBIGene:5925	1	1	0
NCBIGene:1869 | biolink:physically_interacts_with | NCBIGene:5925	1	1	0
NCBIGene:1956 | biolink:has_phenotype | MONDO:0004991	1	1	0
NCBIGene:1956 | biolink:has_phenotype | MONDO:0005061	1	1	0
NCBIGene:2034 | biolink:interacts_with | UniProtKB:Q16665-3	1	1	0
NCBIGene:2099 | biolink:interacts_with | NCBIGene:5290	1	1	0
NCBIGene:2099 | biolink:interacts_with | UniProtKB:P03372-1	1	1	0
NCBIGene:2194 | biolink:interacts_with | UniProtKB:P36956-4	1	1	0
NCBIGene:2247 | biolink:affects | NCBIGene:2260	1	1	0
NCBIGene:2247 | biolink:genetically_interacts_with | NCBIGene:2260	1	1	0
NCBIGene:2260 | biolink:directly_physically_interacts_with | NCBIGene:2247	1	1	0
NCBIGene:2263 | biolink:directly_physically_interacts_with | NCBIGene:10818	1	1	0
NCBIGene:2263 | biolink:interacts_with | NCBIGene:10818	1	1	0
NCBIGene:2263 | biolink:interacts_with | UniProtKB:P21802-3	1	1	0
NCBIGene:2263 | biolink:regulates | NCBIGene:10818	1	1	0
NCBIGene:2263 | biolink:related_to | NCBIGene:10818	1	1	0
NCBIGene:23028 | biolink:directly_physically_interacts_with | NCBIGene:367	1	1	0
NCBIGene:2308 | biolink:interacts_with | UniProtKB:P10275-1	1	1	0
NCBIGene:2308 | biolink:physically_interacts_with | NCBIGene:3643	1	1	0
NCBIGene:2308 | biolink:physically_interacts_with | UniProtKB:P06213-1	1	1	0
NCBIGene:2475 | biolink:affects | NCBIGene:5290	1	1	0
NCBIGene:2475 | biolink:genetically_interacts_with | NCBIGene:5562	1	1	0
NCBIGene:2475 | biolink:physically_interacts_with | NCBIGene:5290	1	1	0
NCBIGene:2475 | biolink:physically_interacts_with | UniProtKB:Q13131-2	1	1	0
NCBIGene:2554 | biolink:directly_physically_interacts_with | NCBIGene:2561	1	1	0
NCBIGene:2554 | biolink:genetically_interacts_with | NCBIGene:2561	1	1	0
NCBIGene:2554 | biolink:physically_interacts_with | NCBIGene:2561	1	1	0
NCBIGene:2554 | biolink:physically_interacts_with | UniProtKB:P47870-2	1	1	0
NCBIGene:25942 | biolink:affects | NCBIGene:3065	1	1	0
NCBIGene:25942 | biolink:directly_physically_interacts_with | NCBIGene:3065	1	1	0
NCBIGene:25942 | biolink:interacts_with | NCBIGene:3065	1	1	0
NCBIGene:25942 | biolink:physically_interacts_with | NCBIGene:3065	1	1	0
NCBIGene:2767 | biolink:physically_interacts_with | UniProtKB:P35348-2	1	1	0
NCBIGene:2771 | biolink:affects | NCBIGene:1813	1	1	0
NCBIGene:2776 | biolink:genetically_interacts_with | NCBIGene:3356	1	1	0
NCBIGene:2776 | biolink:interacts_with | UniProtKB:P28223-1	1	1	0
NCBIGene:3065 | biolink:affects | NCBIGene:25942	1	1	0
NCBIGene:3065 | biolink:directly_physically_interacts_with | NCBIGene:25942	1	1	0
NCBIGene:3065 | biolink:genetically_interacts_with | NCBIGene:25942	1	1	0
NCBIGene:3065 | biolink:interacts_with | NCBIGene:25942	1	1	0
NCBIGene:3065 | biolink:physically_interacts_with | NCBIGene:25942	1	1	0
NCBIGene:3091 | biolink:affects | NCBIGene:2034	1	1	0
NCBIGene:3091 | biolink:affects | NCBIGene:7422	1	1	0
NCBIGene:3091 | biolink:interacts_with | NCBIGene:2034	1	1	0
NCBIGene:3091 | biolink:interacts_with | UniProtKB:Q16665-3	1	1	0
NCBIGene:3091 | biolink:regulates | NCBIGene:7422	1	1	0
